bucket_open_et,segment_id,open,high,low,close,volume,n_source_minutes,norm_segment_id,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,spans_segment_boundary,complete
2025-01-01 18:00:00-05:00,0,21269.0,21320.5,21243.75,21268.0,6461,60,0,2025-01-01 18:00:00-05:00,2025-01-01 18:59:00-05:00,2025-01-01 19:00:00-05:00,2025-01-01 19:00:00-05:00,1h,False,True
2025-01-01 19:00:00-05:00,0,21266.5,21268.0,21121.75,21230.75,12103,60,0,2025-01-01 19:00:00-05:00,2025-01-01 19:59:00-05:00,2025-01-01 20:00:00-05:00,2025-01-01 20:00:00-05:00,1h,False,True
2025-01-01 20:00:00-05:00,0,21232.0,21313.5,21232.0,21295.0,8776,60,0,2025-01-01 20:00:00-05:00,2025-01-01 20:59:00-05:00,2025-01-01 21:00:00-05:00,2025-01-01 21:00:00-05:00,1h,False,True
2025-01-01 21:00:00-05:00,0,21294.25,21333.0,21287.75,21322.25,5438,60,0,2025-01-01 21:00:00-05:00,2025-01-01 21:59:00-05:00,2025-01-01 22:00:00-05:00,2025-01-01 22:00:00-05:00,1h,False,True
2025-01-01 22:00:00-05:00,0,21321.75,21339.75,21294.5,21306.5,5275,60,0,2025-01-01 22:00:00-05:00,2025-01-01 22:59:00-05:00,2025-01-01 23:00:00-05:00,2025-01-01 23:00:00-05:00,1h,False,True
2025-01-01 23:00:00-05:00,0,21306.5,21335.5,21287.0,21324.0,4749,60,0,2025-01-01 23:00:00-05:00,2025-01-01 23:59:00-05:00,2025-01-02 00:00:00-05:00,2025-01-02 00:00:00-05:00,1h,False,True
2025-01-02 00:00:00-05:00,0,21324.75,21376.5,21320.75,21370.5,5858,60,0,2025-01-02 00:00:00-05:00,2025-01-02 00:59:00-05:00,2025-01-02 01:00:00-05:00,2025-01-02 01:00:00-05:00,1h,False,True
2025-01-02 01:00:00-05:00,0,21371.0,21396.75,21356.0,21389.5,4779,60,0,2025-01-02 01:00:00-05:00,2025-01-02 01:59:00-05:00,2025-01-02 02:00:00-05:00,2025-01-02 02:00:00-05:00,1h,False,True
2025-01-02 02:00:00-05:00,0,21389.25,21398.75,21346.0,21357.75,6196,60,0,2025-01-02 02:00:00-05:00,2025-01-02 02:59:00-05:00,2025-01-02 03:00:00-05:00,2025-01-02 03:00:00-05:00,1h,False,True
2025-01-02 03:00:00-05:00,0,21357.25,21424.5,21318.0,21375.5,16972,60,0,2025-01-02 03:00:00-05:00,2025-01-02 03:59:00-05:00,2025-01-02 04:00:00-05:00,2025-01-02 04:00:00-05:00,1h,False,True
2025-01-02 04:00:00-05:00,0,21374.5,21405.5,21350.25,21402.5,10485,60,0,2025-01-02 04:00:00-05:00,2025-01-02 04:59:00-05:00,2025-01-02 05:00:00-05:00,2025-01-02 05:00:00-05:00,1h,False,True
2025-01-02 05:00:00-05:00,0,21402.75,21411.0,21359.5,21397.75,6712,60,0,2025-01-02 05:00:00-05:00,2025-01-02 05:59:00-05:00,2025-01-02 06:00:00-05:00,2025-01-02 06:00:00-05:00,1h,False,True
2025-01-02 06:00:00-05:00,0,21398.0,21470.0,21370.5,21467.75,9231,60,0,2025-01-02 06:00:00-05:00,2025-01-02 06:59:00-05:00,2025-01-02 07:00:00-05:00,2025-01-02 07:00:00-05:00,1h,False,True
2025-01-02 07:00:00-05:00,0,21467.0,21490.5,21413.75,21444.25,13725,60,0,2025-01-02 07:00:00-05:00,2025-01-02 07:59:00-05:00,2025-01-02 08:00:00-05:00,2025-01-02 08:00:00-05:00,1h,False,True
2025-01-02 08:00:00-05:00,0,21443.75,21466.5,21404.25,21417.5,14877,60,0,2025-01-02 08:00:00-05:00,2025-01-02 08:59:00-05:00,2025-01-02 09:00:00-05:00,2025-01-02 09:00:00-05:00,1h,False,True
2025-01-02 09:00:00-05:00,0,21417.75,21420.0,21166.5,21391.25,97770,60,0,2025-01-02 09:00:00-05:00,2025-01-02 09:59:00-05:00,2025-01-02 10:00:00-05:00,2025-01-02 10:00:00-05:00,1h,False,True
2025-01-02 10:00:00-05:00,0,21392.5,21444.0,21209.75,21277.25,97678,60,0,2025-01-02 10:00:00-05:00,2025-01-02 10:59:00-05:00,2025-01-02 11:00:00-05:00,2025-01-02 11:00:00-05:00,1h,False,True
2025-01-02 11:00:00-05:00,0,21278.25,21357.5,21186.25,21316.25,62750,60,0,2025-01-02 11:00:00-05:00,2025-01-02 11:59:00-05:00,2025-01-02 12:00:00-05:00,2025-01-02 12:00:00-05:00,1h,False,True
2025-01-02 12:00:00-05:00,0,21316.25,21342.5,20983.75,21075.75,87195,60,0,2025-01-02 12:00:00-05:00,2025-01-02 12:59:00-05:00,2025-01-02 13:00:00-05:00,2025-01-02 13:00:00-05:00,1h,False,True
2025-01-02 13:00:00-05:00,0,21076.5,21090.25,20987.75,21047.5,61500,60,0,2025-01-02 13:00:00-05:00,2025-01-02 13:59:00-05:00,2025-01-02 14:00:00-05:00,2025-01-02 14:00:00-05:00,1h,False,True
2025-01-02 14:00:00-05:00,0,21047.75,21145.5,21028.0,21064.0,52517,60,0,2025-01-02 14:00:00-05:00,2025-01-02 14:59:00-05:00,2025-01-02 15:00:00-05:00,2025-01-02 15:00:00-05:00,1h,False,True
2025-01-02 15:00:00-05:00,0,21063.25,21195.75,21062.0,21169.0,56838,60,0,2025-01-02 15:00:00-05:00,2025-01-02 15:59:00-05:00,2025-01-02 16:00:00-05:00,2025-01-02 16:00:00-05:00,1h,False,True
