bucket_open_et,segment_id,open,high,low,close,volume,n_source_minutes,norm_segment_id,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,spans_segment_boundary,complete
2025-01-02 16:00:00-05:00,0,21169.5,21203.5,21168.75,21182.5,10980,60,0,2025-01-02 16:00:00-05:00,2025-01-02 16:59:00-05:00,2025-01-02 17:00:00-05:00,2025-01-02 17:00:00-05:00,1h,False,True
2025-01-02 18:00:00-05:00,0,21186.75,21188.75,21144.0,21163.5,4219,60,0,2025-01-02 18:00:00-05:00,2025-01-02 18:59:00-05:00,2025-01-02 19:00:00-05:00,2025-01-02 19:00:00-05:00,1h,False,True
2025-01-02 19:00:00-05:00,0,21162.75,21240.75,21153.25,21239.0,6082,60,0,2025-01-02 19:00:00-05:00,2025-01-02 19:59:00-05:00,2025-01-02 20:00:00-05:00,2025-01-02 20:00:00-05:00,1h,False,True
2025-01-02 20:00:00-05:00,0,21239.25,21249.0,21206.0,21224.0,4060,60,0,2025-01-02 20:00:00-05:00,2025-01-02 20:59:00-05:00,2025-01-02 21:00:00-05:00,2025-01-02 21:00:00-05:00,1h,False,True
2025-01-02 21:00:00-05:00,0,21224.5,21250.0,21221.25,21242.5,4514,60,0,2025-01-02 21:00:00-05:00,2025-01-02 21:59:00-05:00,2025-01-02 22:00:00-05:00,2025-01-02 22:00:00-05:00,1h,False,True
2025-01-02 22:00:00-05:00,0,21243.0,21260.0,21242.5,21248.0,3217,60,0,2025-01-02 22:00:00-05:00,2025-01-02 22:59:00-05:00,2025-01-02 23:00:00-05:00,2025-01-02 23:00:00-05:00,1h,False,True
2025-01-02 23:00:00-05:00,0,21249.0,21255.25,21223.0,21223.75,2022,59,0,2025-01-02 23:00:00-05:00,2025-01-02 23:59:00-05:00,2025-01-03 00:00:00-05:00,2025-01-03 00:00:00-05:00,1h,False,False
2025-01-03 00:00:00-05:00,0,21225.0,21231.75,21207.5,21225.75,2612,60,0,2025-01-03 00:00:00-05:00,2025-01-03 00:59:00-05:00,2025-01-03 01:00:00-05:00,2025-01-03 01:00:00-05:00,1h,False,True
2025-01-03 01:00:00-05:00,0,21225.5,21256.75,21219.0,21237.25,2625,60,0,2025-01-03 01:00:00-05:00,2025-01-03 01:59:00-05:00,2025-01-03 02:00:00-05:00,2025-01-03 02:00:00-05:00,1h,False,True
2025-01-03 02:00:00-05:00,0,21237.25,21254.0,21210.5,21246.0,4596,60,0,2025-01-03 02:00:00-05:00,2025-01-03 02:59:00-05:00,2025-01-03 03:00:00-05:00,2025-01-03 03:00:00-05:00,1h,False,True
2025-01-03 03:00:00-05:00,0,21245.75,21275.5,21213.0,21236.75,9402,60,0,2025-01-03 03:00:00-05:00,2025-01-03 03:59:00-05:00,2025-01-03 04:00:00-05:00,2025-01-03 04:00:00-05:00,1h,False,True
2025-01-03 04:00:00-05:00,0,21237.25,21288.0,21228.25,21271.25,7168,60,0,2025-01-03 04:00:00-05:00,2025-01-03 04:59:00-05:00,2025-01-03 05:00:00-05:00,2025-01-03 05:00:00-05:00,1h,False,True
2025-01-03 05:00:00-05:00,0,21270.25,21272.75,21227.0,21237.0,4501,60,0,2025-01-03 05:00:00-05:00,2025-01-03 05:59:00-05:00,2025-01-03 06:00:00-05:00,2025-01-03 06:00:00-05:00,1h,False,True
2025-01-03 06:00:00-05:00,0,21237.75,21252.5,21219.25,21246.75,4125,60,0,2025-01-03 06:00:00-05:00,2025-01-03 06:59:00-05:00,2025-01-03 07:00:00-05:00,2025-01-03 07:00:00-05:00,1h,False,True
2025-01-03 07:00:00-05:00,0,21246.5,21246.5,21208.5,21242.25,5939,60,0,2025-01-03 07:00:00-05:00,2025-01-03 07:59:00-05:00,2025-01-03 08:00:00-05:00,2025-01-03 08:00:00-05:00,1h,False,True
2025-01-03 08:00:00-05:00,0,21241.75,21273.5,21227.0,21227.75,9761,60,0,2025-01-03 08:00:00-05:00,2025-01-03 08:59:00-05:00,2025-01-03 09:00:00-05:00,2025-01-03 09:00:00-05:00,1h,False,True
2025-01-03 09:00:00-05:00,0,21228.25,21434.5,21228.0,21382.25,76084,60,0,2025-01-03 09:00:00-05:00,2025-01-03 09:59:00-05:00,2025-01-03 10:00:00-05:00,2025-01-03 10:00:00-05:00,1h,False,True
2025-01-03 10:00:00-05:00,0,21382.75,21440.75,21261.5,21377.5,90262,60,0,2025-01-03 10:00:00-05:00,2025-01-03 10:59:00-05:00,2025-01-03 11:00:00-05:00,2025-01-03 11:00:00-05:00,1h,False,True
2025-01-03 11:00:00-05:00,0,21376.5,21492.25,21337.25,21464.0,65292,60,0,2025-01-03 11:00:00-05:00,2025-01-03 11:59:00-05:00,2025-01-03 12:00:00-05:00,2025-01-03 12:00:00-05:00,1h,False,True
2025-01-03 12:00:00-05:00,0,21464.75,21487.0,21441.5,21471.0,33931,60,0,2025-01-03 12:00:00-05:00,2025-01-03 12:59:00-05:00,2025-01-03 13:00:00-05:00,2025-01-03 13:00:00-05:00,1h,False,True
2025-01-03 13:00:00-05:00,0,21470.5,21531.25,21449.75,21509.25,34771,60,0,2025-01-03 13:00:00-05:00,2025-01-03 13:59:00-05:00,2025-01-03 14:00:00-05:00,2025-01-03 14:00:00-05:00,1h,False,True
2025-01-03 14:00:00-05:00,0,21509.5,21559.25,21496.75,21534.5,30748,60,0,2025-01-03 14:00:00-05:00,2025-01-03 14:59:00-05:00,2025-01-03 15:00:00-05:00,2025-01-03 15:00:00-05:00,1h,False,True
2025-01-03 15:00:00-05:00,0,21534.5,21534.5,21474.75,21508.25,58054,60,0,2025-01-03 15:00:00-05:00,2025-01-03 15:59:00-05:00,2025-01-03 16:00:00-05:00,2025-01-03 16:00:00-05:00,1h,False,True
2025-01-03 16:00:00-05:00,0,21508.0,21513.75,21476.5,21493.0,15440,60,0,2025-01-03 16:00:00-05:00,2025-01-03 16:59:00-05:00,2025-01-03 17:00:00-05:00,2025-01-03 17:00:00-05:00,1h,False,True
2025-01-05 18:00:00-05:00,0,21532.25,21544.75,21501.75,21524.25,4698,60,0,2025-01-05 18:00:00-05:00,2025-01-05 18:59:00-05:00,2025-01-05 19:00:00-05:00,2025-01-05 19:00:00-05:00,1h,False,True
2025-01-05 19:00:00-05:00,0,21525.75,21536.25,21478.25,21495.75,4538,60,0,2025-01-05 19:00:00-05:00,2025-01-05 19:59:00-05:00,2025-01-05 20:00:00-05:00,2025-01-05 20:00:00-05:00,1h,False,True
2025-01-05 20:00:00-05:00,0,21496.0,21507.0,21482.5,21500.5,3782,60,0,2025-01-05 20:00:00-05:00,2025-01-05 20:59:00-05:00,2025-01-05 21:00:00-05:00,2025-01-05 21:00:00-05:00,1h,False,True
2025-01-05 21:00:00-05:00,0,21499.75,21518.75,21483.25,21509.5,4529,60,0,2025-01-05 21:00:00-05:00,2025-01-05 21:59:00-05:00,2025-01-05 22:00:00-05:00,2025-01-05 22:00:00-05:00,1h,False,True
2025-01-05 22:00:00-05:00,0,21510.25,21517.5,21501.0,21508.5,2242,60,0,2025-01-05 22:00:00-05:00,2025-01-05 22:59:00-05:00,2025-01-05 23:00:00-05:00,2025-01-05 23:00:00-05:00,1h,False,True
2025-01-05 23:00:00-05:00,0,21509.0,21524.0,21504.0,21523.0,1694,60,0,2025-01-05 23:00:00-05:00,2025-01-05 23:59:00-05:00,2025-01-06 00:00:00-05:00,2025-01-06 00:00:00-05:00,1h,False,True
2025-01-06 00:00:00-05:00,0,21523.25,21551.75,21520.5,21539.0,3255,60,0,2025-01-06 00:00:00-05:00,2025-01-06 00:59:00-05:00,2025-01-06 01:00:00-05:00,2025-01-06 01:00:00-05:00,1h,False,True
2025-01-06 01:00:00-05:00,0,21539.5,21555.5,21530.0,21549.25,2935,60,0,2025-01-06 01:00:00-05:00,2025-01-06 01:59:00-05:00,2025-01-06 02:00:00-05:00,2025-01-06 02:00:00-05:00,1h,False,True
2025-01-06 02:00:00-05:00,0,21549.0,21577.0,21540.25,21565.25,4979,60,0,2025-01-06 02:00:00-05:00,2025-01-06 02:59:00-05:00,2025-01-06 03:00:00-05:00,2025-01-06 03:00:00-05:00,1h,False,True
2025-01-06 03:00:00-05:00,0,21565.25,21625.0,21564.5,21618.75,8472,60,0,2025-01-06 03:00:00-05:00,2025-01-06 03:59:00-05:00,2025-01-06 04:00:00-05:00,2025-01-06 04:00:00-05:00,1h,False,True
2025-01-06 04:00:00-05:00,0,21617.75,21673.0,21616.5,21669.5,8638,60,0,2025-01-06 04:00:00-05:00,2025-01-06 04:59:00-05:00,2025-01-06 05:00:00-05:00,2025-01-06 05:00:00-05:00,1h,False,True
2025-01-06 05:00:00-05:00,0,21669.0,21693.25,21655.0,21671.0,7847,60,0,2025-01-06 05:00:00-05:00,2025-01-06 05:59:00-05:00,2025-01-06 06:00:00-05:00,2025-01-06 06:00:00-05:00,1h,False,True
2025-01-06 06:00:00-05:00,0,21670.25,21745.0,21642.0,21730.0,16703,60,0,2025-01-06 06:00:00-05:00,2025-01-06 06:59:00-05:00,2025-01-06 07:00:00-05:00,2025-01-06 07:00:00-05:00,1h,False,True
2025-01-06 07:00:00-05:00,0,21730.25,21760.5,21711.0,21735.25,11607,60,0,2025-01-06 07:00:00-05:00,2025-01-06 07:59:00-05:00,2025-01-06 08:00:00-05:00,2025-01-06 08:00:00-05:00,1h,False,True
2025-01-06 08:00:00-05:00,0,21735.0,21751.25,21707.0,21749.5,14183,60,0,2025-01-06 08:00:00-05:00,2025-01-06 08:59:00-05:00,2025-01-06 09:00:00-05:00,2025-01-06 09:00:00-05:00,1h,False,True
2025-01-06 09:00:00-05:00,0,21749.5,21848.75,21641.75,21819.5,91773,60,0,2025-01-06 09:00:00-05:00,2025-01-06 09:59:00-05:00,2025-01-06 10:00:00-05:00,2025-01-06 10:00:00-05:00,1h,False,True
2025-01-06 10:00:00-05:00,0,21818.25,21892.75,21780.25,21869.5,81308,60,0,2025-01-06 10:00:00-05:00,2025-01-06 10:59:00-05:00,2025-01-06 11:00:00-05:00,2025-01-06 11:00:00-05:00,1h,False,True
2025-01-06 11:00:00-05:00,0,21870.25,21896.75,21844.5,21857.5,45205,60,0,2025-01-06 11:00:00-05:00,2025-01-06 11:59:00-05:00,2025-01-06 12:00:00-05:00,2025-01-06 12:00:00-05:00,1h,False,True
2025-01-06 12:00:00-05:00,0,21857.25,21869.25,21768.75,21794.5,51229,60,0,2025-01-06 12:00:00-05:00,2025-01-06 12:59:00-05:00,2025-01-06 13:00:00-05:00,2025-01-06 13:00:00-05:00,1h,False,True
2025-01-06 13:00:00-05:00,0,21795.0,21795.75,21701.5,21707.25,55663,60,0,2025-01-06 13:00:00-05:00,2025-01-06 13:59:00-05:00,2025-01-06 14:00:00-05:00,2025-01-06 14:00:00-05:00,1h,False,True
2025-01-06 14:00:00-05:00,0,21706.75,21723.25,21657.5,21659.25,51687,60,0,2025-01-06 14:00:00-05:00,2025-01-06 14:59:00-05:00,2025-01-06 15:00:00-05:00,2025-01-06 15:00:00-05:00,1h,False,True
2025-01-06 15:00:00-05:00,0,21659.25,21756.0,21647.75,21750.5,67308,60,0,2025-01-06 15:00:00-05:00,2025-01-06 15:59:00-05:00,2025-01-06 16:00:00-05:00,2025-01-06 16:00:00-05:00,1h,False,True
2025-01-06 16:00:00-05:00,0,21750.5,21786.25,21750.0,21780.5,17988,60,0,2025-01-06 16:00:00-05:00,2025-01-06 16:59:00-05:00,2025-01-06 17:00:00-05:00,2025-01-06 17:00:00-05:00,1h,False,True
2025-01-06 18:00:00-05:00,0,21781.25,21796.25,21768.75,21771.75,3675,60,0,2025-01-06 18:00:00-05:00,2025-01-06 18:59:00-05:00,2025-01-06 19:00:00-05:00,2025-01-06 19:00:00-05:00,1h,False,True
2025-01-06 19:00:00-05:00,0,21770.25,21782.0,21750.0,21761.5,3744,60,0,2025-01-06 19:00:00-05:00,2025-01-06 19:59:00-05:00,2025-01-06 20:00:00-05:00,2025-01-06 20:00:00-05:00,1h,False,True
2025-01-06 20:00:00-05:00,0,21761.5,21772.75,21746.0,21768.75,3479,60,0,2025-01-06 20:00:00-05:00,2025-01-06 20:59:00-05:00,2025-01-06 21:00:00-05:00,2025-01-06 21:00:00-05:00,1h,False,True
2025-01-06 21:00:00-05:00,0,21768.0,21785.5,21733.75,21737.75,3889,60,0,2025-01-06 21:00:00-05:00,2025-01-06 21:59:00-05:00,2025-01-06 22:00:00-05:00,2025-01-06 22:00:00-05:00,1h,False,True
2025-01-06 22:00:00-05:00,0,21738.5,21752.0,21715.75,21747.25,5212,60,0,2025-01-06 22:00:00-05:00,2025-01-06 22:59:00-05:00,2025-01-06 23:00:00-05:00,2025-01-06 23:00:00-05:00,1h,False,True
2025-01-06 23:00:00-05:00,0,21747.25,21747.75,21719.0,21720.5,2751,60,0,2025-01-06 23:00:00-05:00,2025-01-06 23:59:00-05:00,2025-01-07 00:00:00-05:00,2025-01-07 00:00:00-05:00,1h,False,True
2025-01-07 00:00:00-05:00,0,21720.25,21727.5,21661.0,21706.25,6222,60,0,2025-01-07 00:00:00-05:00,2025-01-07 00:59:00-05:00,2025-01-07 01:00:00-05:00,2025-01-07 01:00:00-05:00,1h,False,True
2025-01-07 01:00:00-05:00,0,21705.25,21716.0,21684.25,21690.75,3630,60,0,2025-01-07 01:00:00-05:00,2025-01-07 01:59:00-05:00,2025-01-07 02:00:00-05:00,2025-01-07 02:00:00-05:00,1h,False,True
2025-01-07 02:00:00-05:00,0,21690.25,21733.0,21688.5,21728.75,5073,60,0,2025-01-07 02:00:00-05:00,2025-01-07 02:59:00-05:00,2025-01-07 03:00:00-05:00,2025-01-07 03:00:00-05:00,1h,False,True
2025-01-07 03:00:00-05:00,0,21728.75,21765.5,21705.5,21757.75,8060,60,0,2025-01-07 03:00:00-05:00,2025-01-07 03:59:00-05:00,2025-01-07 04:00:00-05:00,2025-01-07 04:00:00-05:00,1h,False,True
2025-01-07 04:00:00-05:00,0,21757.5,21774.5,21724.25,21727.5,7604,60,0,2025-01-07 04:00:00-05:00,2025-01-07 04:59:00-05:00,2025-01-07 05:00:00-05:00,2025-01-07 05:00:00-05:00,1h,False,True
2025-01-07 05:00:00-05:00,0,21728.25,21771.0,21717.0,21768.25,5001,60,0,2025-01-07 05:00:00-05:00,2025-01-07 05:59:00-05:00,2025-01-07 06:00:00-05:00,2025-01-07 06:00:00-05:00,1h,False,True
2025-01-07 06:00:00-05:00,0,21768.0,21771.5,21720.5,21736.25,6251,60,0,2025-01-07 06:00:00-05:00,2025-01-07 06:59:00-05:00,2025-01-07 07:00:00-05:00,2025-01-07 07:00:00-05:00,1h,False,True
2025-01-07 07:00:00-05:00,0,21736.5,21763.75,21718.75,21745.5,7111,60,0,2025-01-07 07:00:00-05:00,2025-01-07 07:59:00-05:00,2025-01-07 08:00:00-05:00,2025-01-07 08:00:00-05:00,1h,False,True
2025-01-07 08:00:00-05:00,0,21744.75,21779.0,21731.25,21778.25,9504,60,0,2025-01-07 08:00:00-05:00,2025-01-07 08:59:00-05:00,2025-01-07 09:00:00-05:00,2025-01-07 09:00:00-05:00,1h,False,True
2025-01-07 09:00:00-05:00,0,21778.25,21806.0,21695.25,21709.75,74427,60,0,2025-01-07 09:00:00-05:00,2025-01-07 09:59:00-05:00,2025-01-07 10:00:00-05:00,2025-01-07 10:00:00-05:00,1h,False,True
2025-01-07 10:00:00-05:00,0,21710.25,21710.25,21399.5,21549.75,165597,60,0,2025-01-07 10:00:00-05:00,2025-01-07 10:59:00-05:00,2025-01-07 11:00:00-05:00,2025-01-07 11:00:00-05:00,1h,False,True
2025-01-07 11:00:00-05:00,0,21548.5,21573.25,21425.5,21435.0,84998,60,0,2025-01-07 11:00:00-05:00,2025-01-07 11:59:00-05:00,2025-01-07 12:00:00-05:00,2025-01-07 12:00:00-05:00,1h,False,True
2025-01-07 12:00:00-05:00,0,21435.75,21475.75,21387.0,21445.0,51588,60,0,2025-01-07 12:00:00-05:00,2025-01-07 12:59:00-05:00,2025-01-07 13:00:00-05:00,2025-01-07 13:00:00-05:00,1h,False,True
2025-01-07 13:00:00-05:00,0,21445.5,21517.25,21427.75,21440.0,39518,60,0,2025-01-07 13:00:00-05:00,2025-01-07 13:59:00-05:00,2025-01-07 14:00:00-05:00,2025-01-07 14:00:00-05:00,1h,False,True
2025-01-07 14:00:00-05:00,0,21439.25,21474.75,21403.0,21417.5,39134,60,0,2025-01-07 14:00:00-05:00,2025-01-07 14:59:00-05:00,2025-01-07 15:00:00-05:00,2025-01-07 15:00:00-05:00,1h,False,True
2025-01-07 15:00:00-05:00,0,21417.75,21423.0,21279.5,21359.0,80701,60,0,2025-01-07 15:00:00-05:00,2025-01-07 15:59:00-05:00,2025-01-07 16:00:00-05:00,2025-01-07 16:00:00-05:00,1h,False,True
2025-01-07 16:00:00-05:00,0,21359.0,21394.5,21358.25,21375.5,15405,60,0,2025-01-07 16:00:00-05:00,2025-01-07 16:59:00-05:00,2025-01-07 17:00:00-05:00,2025-01-07 17:00:00-05:00,1h,False,True
2025-01-07 18:00:00-05:00,0,21380.75,21395.75,21344.5,21392.25,5370,60,0,2025-01-07 18:00:00-05:00,2025-01-07 18:59:00-05:00,2025-01-07 19:00:00-05:00,2025-01-07 19:00:00-05:00,1h,False,True
2025-01-07 19:00:00-05:00,0,21393.5,21414.25,21388.0,21405.75,4310,60,0,2025-01-07 19:00:00-05:00,2025-01-07 19:59:00-05:00,2025-01-07 20:00:00-05:00,2025-01-07 20:00:00-05:00,1h,False,True
2025-01-07 20:00:00-05:00,0,21406.75,21435.25,21394.75,21430.0,4663,60,0,2025-01-07 20:00:00-05:00,2025-01-07 20:59:00-05:00,2025-01-07 21:00:00-05:00,2025-01-07 21:00:00-05:00,1h,False,True
2025-01-07 21:00:00-05:00,0,21429.0,21437.0,21402.0,21419.5,4057,60,0,2025-01-07 21:00:00-05:00,2025-01-07 21:59:00-05:00,2025-01-07 22:00:00-05:00,2025-01-07 22:00:00-05:00,1h,False,True
2025-01-07 22:00:00-05:00,0,21419.0,21424.25,21389.75,21406.0,4082,60,0,2025-01-07 22:00:00-05:00,2025-01-07 22:59:00-05:00,2025-01-07 23:00:00-05:00,2025-01-07 23:00:00-05:00,1h,False,True
2025-01-07 23:00:00-05:00,0,21407.0,21419.25,21384.5,21393.75,2956,60,0,2025-01-07 23:00:00-05:00,2025-01-07 23:59:00-05:00,2025-01-08 00:00:00-05:00,2025-01-08 00:00:00-05:00,1h,False,True
2025-01-08 00:00:00-05:00,0,21393.75,21433.0,21393.75,21430.25,2380,60,0,2025-01-08 00:00:00-05:00,2025-01-08 00:59:00-05:00,2025-01-08 01:00:00-05:00,2025-01-08 01:00:00-05:00,1h,False,True
2025-01-08 01:00:00-05:00,0,21429.5,21435.0,21396.75,21400.0,2975,60,0,2025-01-08 01:00:00-05:00,2025-01-08 01:59:00-05:00,2025-01-08 02:00:00-05:00,2025-01-08 02:00:00-05:00,1h,False,True
2025-01-08 02:00:00-05:00,0,21399.75,21401.0,21360.5,21390.25,5984,60,0,2025-01-08 02:00:00-05:00,2025-01-08 02:59:00-05:00,2025-01-08 03:00:00-05:00,2025-01-08 03:00:00-05:00,1h,False,True
2025-01-08 03:00:00-05:00,0,21390.0,21420.25,21379.25,21411.75,6736,60,0,2025-01-08 03:00:00-05:00,2025-01-08 03:59:00-05:00,2025-01-08 04:00:00-05:00,2025-01-08 04:00:00-05:00,1h,False,True
2025-01-08 04:00:00-05:00,0,21411.5,21433.5,21406.0,21429.75,5841,60,0,2025-01-08 04:00:00-05:00,2025-01-08 04:59:00-05:00,2025-01-08 05:00:00-05:00,2025-01-08 05:00:00-05:00,1h,False,True
2025-01-08 05:00:00-05:00,0,21430.25,21448.25,21424.0,21443.75,4576,60,0,2025-01-08 05:00:00-05:00,2025-01-08 05:59:00-05:00,2025-01-08 06:00:00-05:00,2025-01-08 06:00:00-05:00,1h,False,True
2025-01-08 06:00:00-05:00,0,21443.5,21448.0,21284.5,21364.25,24064,60,0,2025-01-08 06:00:00-05:00,2025-01-08 06:59:00-05:00,2025-01-08 07:00:00-05:00,2025-01-08 07:00:00-05:00,1h,False,True
2025-01-08 07:00:00-05:00,0,21364.75,21367.0,21221.5,21257.25,27325,60,0,2025-01-08 07:00:00-05:00,2025-01-08 07:59:00-05:00,2025-01-08 08:00:00-05:00,2025-01-08 08:00:00-05:00,1h,False,True
2025-01-08 08:00:00-05:00,0,21257.0,21393.5,21254.75,21377.0,34734,60,0,2025-01-08 08:00:00-05:00,2025-01-08 08:59:00-05:00,2025-01-08 09:00:00-05:00,2025-01-08 09:00:00-05:00,1h,False,True
2025-01-08 09:00:00-05:00,0,21376.75,21388.0,21286.0,21344.25,83386,60,0,2025-01-08 09:00:00-05:00,2025-01-08 09:59:00-05:00,2025-01-08 10:00:00-05:00,2025-01-08 10:00:00-05:00,1h,False,True
2025-01-08 10:00:00-05:00,0,21343.5,21406.25,21231.0,21358.0,92488,60,0,2025-01-08 10:00:00-05:00,2025-01-08 10:59:00-05:00,2025-01-08 11:00:00-05:00,2025-01-08 11:00:00-05:00,1h,False,True
2025-01-08 11:00:00-05:00,0,21358.25,21419.0,21285.5,21385.5,50864,60,0,2025-01-08 11:00:00-05:00,2025-01-08 11:59:00-05:00,2025-01-08 12:00:00-05:00,2025-01-08 12:00:00-05:00,1h,False,True
2025-01-08 12:00:00-05:00,0,21385.75,21387.5,21166.25,21268.5,65192,60,0,2025-01-08 12:00:00-05:00,2025-01-08 12:59:00-05:00,2025-01-08 13:00:00-05:00,2025-01-08 13:00:00-05:00,1h,False,True
2025-01-08 13:00:00-05:00,0,21268.0,21408.0,21264.75,21325.5,60381,60,0,2025-01-08 13:00:00-05:00,2025-01-08 13:59:00-05:00,2025-01-08 14:00:00-05:00,2025-01-08 14:00:00-05:00,1h,False,True
2025-01-08 14:00:00-05:00,0,21327.25,21431.75,21287.5,21337.0,67713,60,0,2025-01-08 14:00:00-05:00,2025-01-08 14:59:00-05:00,2025-01-08 15:00:00-05:00,2025-01-08 15:00:00-05:00,1h,False,True
2025-01-08 15:00:00-05:00,0,21337.25,21378.0,21301.25,21360.25,49842,60,0,2025-01-08 15:00:00-05:00,2025-01-08 15:59:00-05:00,2025-01-08 16:00:00-05:00,2025-01-08 16:00:00-05:00,1h,False,True
