ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,ts_utc,ts_open_et,gday,selected,minor_gap_before,segment_id,ts_close_et,globex_day,session,minutes_of_day
2026-07-06T00:00:00.000000000Z,33,1,42004177,29987.75,29988.75,29946.25,29947.75,443,NQU6,2026-07-06 00:00:00+00:00,2026-07-05 20:00:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:01:00-04:00,2026-07-06,overnight,1200
2026-07-06T00:01:00.000000000Z,33,1,42004177,29948.25,29948.5,29915.25,29916.75,494,NQU6,2026-07-06 00:01:00+00:00,2026-07-05 20:01:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:02:00-04:00,2026-07-06,overnight,1201
2026-07-06T00:02:00.000000000Z,33,1,42004177,29915.0,29934.5,29900.0,29931.25,495,NQU6,2026-07-06 00:02:00+00:00,2026-07-05 20:02:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:03:00-04:00,2026-07-06,overnight,1202
2026-07-06T00:03:00.000000000Z,33,1,42004177,29932.0,29945.0,29930.5,29938.5,276,NQU6,2026-07-06 00:03:00+00:00,2026-07-05 20:03:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:04:00-04:00,2026-07-06,overnight,1203
2026-07-06T00:04:00.000000000Z,33,1,42004177,29940.0,29953.25,29929.75,29948.5,229,NQU6,2026-07-06 00:04:00+00:00,2026-07-05 20:04:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:05:00-04:00,2026-07-06,overnight,1204
2026-07-06T00:05:00.000000000Z,33,1,42004177,29950.25,29954.0,29933.25,29937.25,175,NQU6,2026-07-06 00:05:00+00:00,2026-07-05 20:05:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:06:00-04:00,2026-07-06,overnight,1205
2026-07-06T00:06:00.000000000Z,33,1,42004177,29940.0,29948.0,29928.5,29931.5,170,NQU6,2026-07-06 00:06:00+00:00,2026-07-05 20:06:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:07:00-04:00,2026-07-06,overnight,1206
2026-07-06T00:07:00.000000000Z,33,1,42004177,29934.0,29950.0,29929.0,29943.75,122,NQU6,2026-07-06 00:07:00+00:00,2026-07-05 20:07:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:08:00-04:00,2026-07-06,overnight,1207
2026-07-06T00:08:00.000000000Z,33,1,42004177,29946.0,29962.75,29943.75,29955.75,202,NQU6,2026-07-06 00:08:00+00:00,2026-07-05 20:08:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:09:00-04:00,2026-07-06,overnight,1208
2026-07-06T00:09:00.000000000Z,33,1,42004177,29958.75,29971.5,29955.25,29967.0,207,NQU6,2026-07-06 00:09:00+00:00,2026-07-05 20:09:00-04:00,2026-07-06,NQU6,False,25,2026-07-05 20:10:00-04:00,2026-07-06,overnight,1209
