bucket_open_et,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,complete
2026-07-05 20:00:00-04:00,29987.75,30004.75,29879.75,29882.75,6259,30,2026-07-05 20:00:00-04:00,2026-07-05 20:29:00-04:00,2026-07-05 20:30:00-04:00,2026-07-05 20:30:00-04:00,30m,True
2026-07-05 20:30:00-04:00,29882.25,29969.75,29845.0,29928.25,5393,30,2026-07-05 20:30:00-04:00,2026-07-05 20:59:00-04:00,2026-07-05 21:00:00-04:00,2026-07-05 21:00:00-04:00,30m,True
2026-07-05 21:00:00-04:00,29926.5,29932.0,29773.75,29814.25,6172,30,2026-07-05 21:00:00-04:00,2026-07-05 21:29:00-04:00,2026-07-05 21:30:00-04:00,2026-07-05 21:30:00-04:00,30m,True
2026-07-05 21:30:00-04:00,29813.25,29855.25,29750.0,29792.75,5187,30,2026-07-05 21:30:00-04:00,2026-07-05 21:59:00-04:00,2026-07-05 22:00:00-04:00,2026-07-05 22:00:00-04:00,30m,True
2026-07-05 22:00:00-04:00,29793.25,29818.75,29735.0,29736.25,5484,30,2026-07-05 22:00:00-04:00,2026-07-05 22:29:00-04:00,2026-07-05 22:30:00-04:00,2026-07-05 22:30:00-04:00,30m,True
2026-07-05 22:30:00-04:00,29737.0,29747.5,29683.0,29725.25,4569,30,2026-07-05 22:30:00-04:00,2026-07-05 22:59:00-04:00,2026-07-05 23:00:00-04:00,2026-07-05 23:00:00-04:00,30m,True
2026-07-05 23:00:00-04:00,29726.5,29790.5,29716.75,29788.0,3876,30,2026-07-05 23:00:00-04:00,2026-07-05 23:29:00-04:00,2026-07-05 23:30:00-04:00,2026-07-05 23:30:00-04:00,30m,True
2026-07-05 23:30:00-04:00,29789.5,29806.5,29693.25,29730.25,4732,30,2026-07-05 23:30:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,30m,True
2026-07-06 00:00:00-04:00,29730.25,29801.0,29703.0,29794.75,3466,30,2026-07-06 00:00:00-04:00,2026-07-06 00:29:00-04:00,2026-07-06 00:30:00-04:00,2026-07-06 00:30:00-04:00,30m,True
2026-07-06 00:30:00-04:00,29795.5,29840.5,29788.5,29828.25,2430,30,2026-07-06 00:30:00-04:00,2026-07-06 00:59:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,30m,True
2026-07-06 01:00:00-04:00,29829.5,29830.5,29767.75,29769.5,2028,30,2026-07-06 01:00:00-04:00,2026-07-06 01:29:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,30m,True
2026-07-06 01:30:00-04:00,29770.0,29801.5,29752.5,29790.5,1994,30,2026-07-06 01:30:00-04:00,2026-07-06 01:59:00-04:00,2026-07-06 02:00:00-04:00,2026-07-06 02:00:00-04:00,30m,True
2026-07-06 02:00:00-04:00,29791.5,29807.5,29754.75,29790.5,1960,30,2026-07-06 02:00:00-04:00,2026-07-06 02:29:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 02:30:00-04:00,30m,True
2026-07-06 02:30:00-04:00,29789.0,29858.25,29784.5,29847.25,3197,30,2026-07-06 02:30:00-04:00,2026-07-06 02:59:00-04:00,2026-07-06 03:00:00-04:00,2026-07-06 03:00:00-04:00,30m,True
2026-07-06 03:00:00-04:00,29846.25,29863.75,29817.75,29820.25,2130,30,2026-07-06 03:00:00-04:00,2026-07-06 03:29:00-04:00,2026-07-06 03:30:00-04:00,2026-07-06 03:30:00-04:00,30m,True
2026-07-06 03:30:00-04:00,29822.0,29876.25,29816.25,29852.5,1452,30,2026-07-06 03:30:00-04:00,2026-07-06 03:59:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 04:00:00-04:00,30m,True
2026-07-06 04:00:00-04:00,29852.75,29884.0,29780.0,29833.25,3003,30,2026-07-06 04:00:00-04:00,2026-07-06 04:29:00-04:00,2026-07-06 04:30:00-04:00,2026-07-06 04:30:00-04:00,30m,True
2026-07-06 04:30:00-04:00,29831.0,29870.75,29807.75,29867.0,1664,30,2026-07-06 04:30:00-04:00,2026-07-06 04:59:00-04:00,2026-07-06 05:00:00-04:00,2026-07-06 05:00:00-04:00,30m,True
2026-07-06 05:00:00-04:00,29869.75,29875.0,29844.0,29863.5,1558,30,2026-07-06 05:00:00-04:00,2026-07-06 05:29:00-04:00,2026-07-06 05:30:00-04:00,2026-07-06 05:30:00-04:00,30m,True
2026-07-06 05:30:00-04:00,29864.75,29888.5,29827.5,29877.0,1884,30,2026-07-06 05:30:00-04:00,2026-07-06 05:59:00-04:00,2026-07-06 06:00:00-04:00,2026-07-06 06:00:00-04:00,30m,True
2026-07-06 06:00:00-04:00,29878.0,29891.5,29852.25,29864.75,1626,30,2026-07-06 06:00:00-04:00,2026-07-06 06:29:00-04:00,2026-07-06 06:30:00-04:00,2026-07-06 06:30:00-04:00,30m,True
2026-07-06 06:30:00-04:00,29864.0,29885.0,29847.25,29884.5,1465,30,2026-07-06 06:30:00-04:00,2026-07-06 06:59:00-04:00,2026-07-06 07:00:00-04:00,2026-07-06 07:00:00-04:00,30m,True
2026-07-06 07:00:00-04:00,29884.25,29896.0,29841.75,29880.75,2660,30,2026-07-06 07:00:00-04:00,2026-07-06 07:29:00-04:00,2026-07-06 07:30:00-04:00,2026-07-06 07:30:00-04:00,30m,True
