tf,bucket_open_et,bucket_close_et,open,high,low,close,volume,segment_id,norm_segment_id,n_source_minutes,source_first_ts,source_last_ts,availability_et,complete,spans_segment_boundary
1m,2026-07-05 18:00:00-04:00,2026-07-05 18:01:00-04:00,29930.25,29979.5,29905.25,29912.5,697,6,0,1,2026-07-05 18:00:00-04:00,2026-07-05 18:00:00-04:00,2026-07-05 18:01:00-04:00,True,False
1m,2026-07-05 18:01:00-04:00,2026-07-05 18:02:00-04:00,29913.5,29925.25,29911.0,29919.25,234,6,0,1,2026-07-05 18:01:00-04:00,2026-07-05 18:01:00-04:00,2026-07-05 18:02:00-04:00,True,False
1m,2026-07-05 18:02:00-04:00,2026-07-05 18:03:00-04:00,29917.0,29936.25,29915.0,29932.75,218,6,0,1,2026-07-05 18:02:00-04:00,2026-07-05 18:02:00-04:00,2026-07-05 18:03:00-04:00,True,False
1m,2026-07-05 18:03:00-04:00,2026-07-05 18:04:00-04:00,29930.25,29938.5,29920.25,29920.25,198,6,0,1,2026-07-05 18:03:00-04:00,2026-07-05 18:03:00-04:00,2026-07-05 18:04:00-04:00,True,False
1m,2026-07-05 18:04:00-04:00,2026-07-05 18:05:00-04:00,29923.0,29924.25,29877.5,29889.0,372,6,0,1,2026-07-05 18:04:00-04:00,2026-07-05 18:04:00-04:00,2026-07-05 18:05:00-04:00,True,False
1m,2026-07-05 18:05:00-04:00,2026-07-05 18:06:00-04:00,29889.0,29893.5,29860.75,29889.0,544,6,0,1,2026-07-05 18:05:00-04:00,2026-07-05 18:05:00-04:00,2026-07-05 18:06:00-04:00,True,False
1m,2026-07-05 18:06:00-04:00,2026-07-05 18:07:00-04:00,29890.75,29897.75,29880.5,29886.0,182,6,0,1,2026-07-05 18:06:00-04:00,2026-07-05 18:06:00-04:00,2026-07-05 18:07:00-04:00,True,False
1m,2026-07-05 18:07:00-04:00,2026-07-05 18:08:00-04:00,29884.25,29897.0,29882.25,29896.25,97,6,0,1,2026-07-05 18:07:00-04:00,2026-07-05 18:07:00-04:00,2026-07-05 18:08:00-04:00,True,False
1m,2026-07-05 18:08:00-04:00,2026-07-05 18:09:00-04:00,29894.25,29894.25,29862.0,29878.0,270,6,0,1,2026-07-05 18:08:00-04:00,2026-07-05 18:08:00-04:00,2026-07-05 18:09:00-04:00,True,False
1m,2026-07-05 18:09:00-04:00,2026-07-05 18:10:00-04:00,29878.0,29887.0,29874.75,29879.5,104,6,0,1,2026-07-05 18:09:00-04:00,2026-07-05 18:09:00-04:00,2026-07-05 18:10:00-04:00,True,False
1m,2026-07-05 18:10:00-04:00,2026-07-05 18:11:00-04:00,29881.75,29885.0,29874.5,29882.5,77,6,0,1,2026-07-05 18:10:00-04:00,2026-07-05 18:10:00-04:00,2026-07-05 18:11:00-04:00,True,False
1m,2026-07-05 18:11:00-04:00,2026-07-05 18:12:00-04:00,29882.75,29890.5,29879.5,29888.5,110,6,0,1,2026-07-05 18:11:00-04:00,2026-07-05 18:11:00-04:00,2026-07-05 18:12:00-04:00,True,False
1m,2026-07-05 18:12:00-04:00,2026-07-05 18:13:00-04:00,29889.0,29899.5,29882.5,29888.0,134,6,0,1,2026-07-05 18:12:00-04:00,2026-07-05 18:12:00-04:00,2026-07-05 18:13:00-04:00,True,False
1m,2026-07-05 18:13:00-04:00,2026-07-05 18:14:00-04:00,29889.5,29896.75,29886.75,29895.5,82,6,0,1,2026-07-05 18:13:00-04:00,2026-07-05 18:13:00-04:00,2026-07-05 18:14:00-04:00,True,False
1m,2026-07-05 18:14:00-04:00,2026-07-05 18:15:00-04:00,29895.25,29902.0,29892.25,29901.5,87,6,0,1,2026-07-05 18:14:00-04:00,2026-07-05 18:14:00-04:00,2026-07-05 18:15:00-04:00,True,False
1m,2026-07-05 18:15:00-04:00,2026-07-05 18:16:00-04:00,29899.5,29899.5,29894.5,29899.25,40,6,0,1,2026-07-05 18:15:00-04:00,2026-07-05 18:15:00-04:00,2026-07-05 18:16:00-04:00,True,False
1m,2026-07-05 18:16:00-04:00,2026-07-05 18:17:00-04:00,29897.25,29921.0,29890.0,29916.5,241,6,0,1,2026-07-05 18:16:00-04:00,2026-07-05 18:16:00-04:00,2026-07-05 18:17:00-04:00,True,False
1m,2026-07-05 18:17:00-04:00,2026-07-05 18:18:00-04:00,29914.0,29918.0,29907.25,29911.5,132,6,0,1,2026-07-05 18:17:00-04:00,2026-07-05 18:17:00-04:00,2026-07-05 18:18:00-04:00,True,False
1m,2026-07-05 18:18:00-04:00,2026-07-05 18:19:00-04:00,29909.25,29913.0,29893.0,29896.0,190,6,0,1,2026-07-05 18:18:00-04:00,2026-07-05 18:18:00-04:00,2026-07-05 18:19:00-04:00,True,False
1m,2026-07-05 18:19:00-04:00,2026-07-05 18:20:00-04:00,29894.25,29909.25,29890.0,29903.25,167,6,0,1,2026-07-05 18:19:00-04:00,2026-07-05 18:19:00-04:00,2026-07-05 18:20:00-04:00,True,False
1m,2026-07-05 18:20:00-04:00,2026-07-05 18:21:00-04:00,29905.25,29939.0,29902.25,29929.5,330,6,0,1,2026-07-05 18:20:00-04:00,2026-07-05 18:20:00-04:00,2026-07-05 18:21:00-04:00,True,False
1m,2026-07-05 18:21:00-04:00,2026-07-05 18:22:00-04:00,29931.0,29933.75,29922.5,29927.25,76,6,0,1,2026-07-05 18:21:00-04:00,2026-07-05 18:21:00-04:00,2026-07-05 18:22:00-04:00,True,False
1m,2026-07-05 18:22:00-04:00,2026-07-05 18:23:00-04:00,29928.0,29948.75,29928.0,29942.0,243,6,0,1,2026-07-05 18:22:00-04:00,2026-07-05 18:22:00-04:00,2026-07-05 18:23:00-04:00,True,False
1m,2026-07-05 18:23:00-04:00,2026-07-05 18:24:00-04:00,29941.5,29947.25,29926.0,29931.5,232,6,0,1,2026-07-05 18:23:00-04:00,2026-07-05 18:23:00-04:00,2026-07-05 18:24:00-04:00,True,False
1m,2026-07-05 18:24:00-04:00,2026-07-05 18:25:00-04:00,29931.5,29943.75,29926.0,29937.0,65,6,0,1,2026-07-05 18:24:00-04:00,2026-07-05 18:24:00-04:00,2026-07-05 18:25:00-04:00,True,False
1m,2026-07-05 18:25:00-04:00,2026-07-05 18:26:00-04:00,29937.0,29937.0,29927.25,29930.25,40,6,0,1,2026-07-05 18:25:00-04:00,2026-07-05 18:25:00-04:00,2026-07-05 18:26:00-04:00,True,False
1m,2026-07-05 18:26:00-04:00,2026-07-05 18:27:00-04:00,29930.25,29932.25,29923.5,29924.5,45,6,0,1,2026-07-05 18:26:00-04:00,2026-07-05 18:26:00-04:00,2026-07-05 18:27:00-04:00,True,False
1m,2026-07-05 18:27:00-04:00,2026-07-05 18:28:00-04:00,29923.0,29931.0,29922.5,29924.25,60,6,0,1,2026-07-05 18:27:00-04:00,2026-07-05 18:27:00-04:00,2026-07-05 18:28:00-04:00,True,False
1m,2026-07-05 18:28:00-04:00,2026-07-05 18:29:00-04:00,29927.5,29943.5,29927.0,29942.25,94,6,0,1,2026-07-05 18:28:00-04:00,2026-07-05 18:28:00-04:00,2026-07-05 18:29:00-04:00,True,False
1m,2026-07-05 18:29:00-04:00,2026-07-05 18:30:00-04:00,29941.5,29944.25,29935.25,29936.0,67,6,0,1,2026-07-05 18:29:00-04:00,2026-07-05 18:29:00-04:00,2026-07-05 18:30:00-04:00,True,False
1m,2026-07-05 18:30:00-04:00,2026-07-05 18:31:00-04:00,29936.75,29943.25,29934.0,29938.25,42,6,0,1,2026-07-05 18:30:00-04:00,2026-07-05 18:30:00-04:00,2026-07-05 18:31:00-04:00,True,False
1m,2026-07-05 18:31:00-04:00,2026-07-05 18:32:00-04:00,29938.75,29948.75,29938.75,29945.25,131,6,0,1,2026-07-05 18:31:00-04:00,2026-07-05 18:31:00-04:00,2026-07-05 18:32:00-04:00,True,False
1m,2026-07-05 18:32:00-04:00,2026-07-05 18:33:00-04:00,29945.0,29957.25,29943.0,29956.25,191,6,0,1,2026-07-05 18:32:00-04:00,2026-07-05 18:32:00-04:00,2026-07-05 18:33:00-04:00,True,False
1m,2026-07-05 18:33:00-04:00,2026-07-05 18:34:00-04:00,29957.25,29959.25,29950.25,29951.5,107,6,0,1,2026-07-05 18:33:00-04:00,2026-07-05 18:33:00-04:00,2026-07-05 18:34:00-04:00,True,False
1m,2026-07-05 18:34:00-04:00,2026-07-05 18:35:00-04:00,29950.0,29957.0,29947.75,29952.25,59,6,0,1,2026-07-05 18:34:00-04:00,2026-07-05 18:34:00-04:00,2026-07-05 18:35:00-04:00,True,False
1m,2026-07-05 18:35:00-04:00,2026-07-05 18:36:00-04:00,29953.25,29953.25,29945.5,29946.5,84,6,0,1,2026-07-05 18:35:00-04:00,2026-07-05 18:35:00-04:00,2026-07-05 18:36:00-04:00,True,False
1m,2026-07-05 18:36:00-04:00,2026-07-05 18:37:00-04:00,29946.0,29971.75,29940.0,29958.25,420,6,0,1,2026-07-05 18:36:00-04:00,2026-07-05 18:36:00-04:00,2026-07-05 18:37:00-04:00,True,False
1m,2026-07-05 18:37:00-04:00,2026-07-05 18:38:00-04:00,29959.75,29966.5,29958.75,29962.5,118,6,0,1,2026-07-05 18:37:00-04:00,2026-07-05 18:37:00-04:00,2026-07-05 18:38:00-04:00,True,False
1m,2026-07-05 18:38:00-04:00,2026-07-05 18:39:00-04:00,29961.75,29967.0,29959.25,29965.25,60,6,0,1,2026-07-05 18:38:00-04:00,2026-07-05 18:38:00-04:00,2026-07-05 18:39:00-04:00,True,False
1m,2026-07-05 18:39:00-04:00,2026-07-05 18:40:00-04:00,29964.5,29966.0,29960.25,29963.25,92,6,0,1,2026-07-05 18:39:00-04:00,2026-07-05 18:39:00-04:00,2026-07-05 18:40:00-04:00,True,False
1m,2026-07-05 18:40:00-04:00,2026-07-05 18:41:00-04:00,29960.75,29968.5,29957.75,29963.0,164,6,0,1,2026-07-05 18:40:00-04:00,2026-07-05 18:40:00-04:00,2026-07-05 18:41:00-04:00,True,False
1m,2026-07-05 18:41:00-04:00,2026-07-05 18:42:00-04:00,29965.5,29968.25,29959.5,29965.0,101,6,0,1,2026-07-05 18:41:00-04:00,2026-07-05 18:41:00-04:00,2026-07-05 18:42:00-04:00,True,False
1m,2026-07-05 18:42:00-04:00,2026-07-05 18:43:00-04:00,29966.25,29971.0,29964.75,29966.25,96,6,0,1,2026-07-05 18:42:00-04:00,2026-07-05 18:42:00-04:00,2026-07-05 18:43:00-04:00,True,False
1m,2026-07-05 18:43:00-04:00,2026-07-05 18:44:00-04:00,29967.75,29969.5,29958.0,29969.5,89,6,0,1,2026-07-05 18:43:00-04:00,2026-07-05 18:43:00-04:00,2026-07-05 18:44:00-04:00,True,False
1m,2026-07-05 18:44:00-04:00,2026-07-05 18:45:00-04:00,29968.75,29973.25,29965.5,29971.0,76,6,0,1,2026-07-05 18:44:00-04:00,2026-07-05 18:44:00-04:00,2026-07-05 18:45:00-04:00,True,False
1m,2026-07-05 18:45:00-04:00,2026-07-05 18:46:00-04:00,29969.75,29976.25,29969.0,29972.75,124,6,0,1,2026-07-05 18:45:00-04:00,2026-07-05 18:45:00-04:00,2026-07-05 18:46:00-04:00,True,False
1m,2026-07-05 18:46:00-04:00,2026-07-05 18:47:00-04:00,29973.0,29978.5,29972.25,29975.0,95,6,0,1,2026-07-05 18:46:00-04:00,2026-07-05 18:46:00-04:00,2026-07-05 18:47:00-04:00,True,False
1m,2026-07-05 18:47:00-04:00,2026-07-05 18:48:00-04:00,29975.5,29979.0,29973.25,29975.0,72,6,0,1,2026-07-05 18:47:00-04:00,2026-07-05 18:47:00-04:00,2026-07-05 18:48:00-04:00,True,False
1m,2026-07-05 18:48:00-04:00,2026-07-05 18:49:00-04:00,29976.0,29976.0,29970.25,29972.5,55,6,0,1,2026-07-05 18:48:00-04:00,2026-07-05 18:48:00-04:00,2026-07-05 18:49:00-04:00,True,False
1m,2026-07-05 18:49:00-04:00,2026-07-05 18:50:00-04:00,29970.75,29975.0,29962.25,29968.5,139,6,0,1,2026-07-05 18:49:00-04:00,2026-07-05 18:49:00-04:00,2026-07-05 18:50:00-04:00,True,False
1m,2026-07-05 18:50:00-04:00,2026-07-05 18:51:00-04:00,29968.25,29968.25,29960.25,29964.75,69,6,0,1,2026-07-05 18:50:00-04:00,2026-07-05 18:50:00-04:00,2026-07-05 18:51:00-04:00,True,False
1m,2026-07-05 18:51:00-04:00,2026-07-05 18:52:00-04:00,29963.0,29967.5,29961.5,29963.5,38,6,0,1,2026-07-05 18:51:00-04:00,2026-07-05 18:51:00-04:00,2026-07-05 18:52:00-04:00,True,False
1m,2026-07-05 18:52:00-04:00,2026-07-05 18:53:00-04:00,29962.0,29964.5,29954.0,29957.75,198,6,0,1,2026-07-05 18:52:00-04:00,2026-07-05 18:52:00-04:00,2026-07-05 18:53:00-04:00,True,False
1m,2026-07-05 18:53:00-04:00,2026-07-05 18:54:00-04:00,29958.0,29961.5,29954.5,29956.75,88,6,0,1,2026-07-05 18:53:00-04:00,2026-07-05 18:53:00-04:00,2026-07-05 18:54:00-04:00,True,False
1m,2026-07-05 18:54:00-04:00,2026-07-05 18:55:00-04:00,29957.25,29960.25,29953.75,29958.75,94,6,0,1,2026-07-05 18:54:00-04:00,2026-07-05 18:54:00-04:00,2026-07-05 18:55:00-04:00,True,False
1m,2026-07-05 18:55:00-04:00,2026-07-05 18:56:00-04:00,29958.75,29962.5,29946.75,29952.0,157,6,0,1,2026-07-05 18:55:00-04:00,2026-07-05 18:55:00-04:00,2026-07-05 18:56:00-04:00,True,False
1m,2026-07-05 18:56:00-04:00,2026-07-05 18:57:00-04:00,29951.0,29953.25,29946.0,29948.5,76,6,0,1,2026-07-05 18:56:00-04:00,2026-07-05 18:56:00-04:00,2026-07-05 18:57:00-04:00,True,False
1m,2026-07-05 18:57:00-04:00,2026-07-05 18:58:00-04:00,29949.25,29950.5,29944.25,29945.0,78,6,0,1,2026-07-05 18:57:00-04:00,2026-07-05 18:57:00-04:00,2026-07-05 18:58:00-04:00,True,False
1m,2026-07-05 18:58:00-04:00,2026-07-05 18:59:00-04:00,29946.0,29948.25,29941.5,29946.0,59,6,0,1,2026-07-05 18:58:00-04:00,2026-07-05 18:58:00-04:00,2026-07-05 18:59:00-04:00,True,False
1m,2026-07-05 18:59:00-04:00,2026-07-05 19:00:00-04:00,29946.0,29947.75,29943.5,29946.0,46,6,0,1,2026-07-05 18:59:00-04:00,2026-07-05 18:59:00-04:00,2026-07-05 19:00:00-04:00,True,False
