week,episode_id,variant_id,role,structure_id
observation,EP-00001,,context/component,RB2-000001
observation,EP-00002,,context/component,RB2-000002
observation,EP-00003,,context/component,RB2-000003
observation,EP-00004,,context/component,RB2-000004
observation,EP-00005,,context/component,RB2-000006
observation,EP-00006,,context/component,RB2-000005
observation,EP-00007,,context/component,RB2-000007
observation,EP-00008,,context/component,FVG2-000746
observation,EP-00009,,context/component,FVG2-000746
observation,EP-00010,,context/component,RB2-000009
observation,EP-00011,,context/component,RB2-000008
observation,EP-00012,,context/component,RB2-000010
observation,EP-00013,,context/component,RB2-000011
observation,EP-00014,,context/component,RB2-000012
observation,EP-00015,,context/component,RB2-000013
observation,EP-00016,,context/component,RB2-000015
observation,EP-00017,,context/component,RB2-000016
observation,EP-00017,,context/component,RB2-003074
observation,EP-00018,,context/component,RB2-003074
observation,EP-00019,,context/component,FVG2-000747
observation,EP-00020,,context/component,RB2-003073
observation,EP-00021,,context/component,FVG2-000747
observation,EP-00021,,context/component,RB2-000014
observation,EP-00022,,context/component,RB2-003073
observation,EP-00023,,context/component,RB2-000017
observation,EP-00024,,context/component,RB2-000018
observation,EP-00025,,context/component,RB2-000019
observation,EP-00026,,context/component,RB2-000020
observation,EP-00027,,context/component,RB2-000021
observation,EP-00028,,context/component,RB2-000022
observation,EP-00029,,context/component,RB2-000024
observation,EP-00030,,context/component,RB2-000023
observation,EP-00031,,context/component,RB2-003077
observation,EP-00032,,context/component,FVG2-000748
observation,EP-00033,,context/component,RB2-003076
observation,EP-00034,,context/component,RB2-003077
observation,EP-00035,,context/component,FVG2-000748
observation,EP-00036,,context/component,RB2-003076
observation,EP-00037,,context/component,RB2-000025
observation,EP-00038,,context/component,RB2-000026
observation,EP-00039,,context/component,FVG2-000002
observation,EP-00039,,context/component,IFVG2-000388
observation,EP-00040,,context/component,IFVG2-000388
observation,EP-00041,,context/component,RB2-000027
observation,EP-00042,,context/component,RB2-003078
observation,EP-00043,,context/component,RB2-003078
observation,EP-00044,,context/component,RB2-000028
observation,EP-00045,,context/component,FVG2-000001
observation,EP-00045,,context/component,IFVG2-000387
observation,EP-00046,,context/component,RB2-003075
observation,EP-00047,,context/component,RB2-000029
observation,EP-00048,,context/component,RB2-000030
observation,EP-00049,,context/component,IFVG2-000387
