episode_id,direction,lane,trigger_tf,context_tf,is_multi_timeframe,context_family,context_id,component_ids,confluence,interaction_seq,context_zone_lo,context_zone_hi,dominant_state,n_variants,n_executable,variant_ids
EP-00026,1,A,1,3,True,rb,RB2-003111,RB2-003111,False,51,29871.75,29881.0,IMMEDIATE_DISPLACEMENT,5,0,EP-00026-ENTRY_ON_TAP|EP-00026-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00026-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00026-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00026-ENTRY_ON_NEW_FVG
EP-00027,1,A,3,3,False,rb,RB2-003111,RB2-003111,False,51,29871.75,29881.0,IMMEDIATE_DISPLACEMENT,4,0,EP-00027-ENTRY_ON_TAP|EP-00027-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00027-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00027-ENTRY_ON_NEW_FVG
EP-00028,-1,A,1,1,False,rb,RB2-000017,RB2-000017,False,53,29890.75,29892.5,FAILED_REACTION,1,0,EP-00028-ENTRY_ON_TAP
EP-00029,-1,A,1,3,True,rb,RB2-003112,RB2-003112,False,54,29889.0,29892.5,FAILED_REACTION,1,0,EP-00029-ENTRY_ON_TAP
EP-00030,1,A,1,1,False,rb,RB2-000018,RB2-000018,False,54,29887.25,29889.0,IMMEDIATE_DISPLACEMENT,6,0,EP-00030-ENTRY_ON_TAP|EP-00030-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00030-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00030-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00030-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00030-ENTRY_ON_NEW_FVG
EP-00031,-1,A,3,3,False,rb,RB2-003112,RB2-003112,False,54,29889.0,29892.5,FAILED_REACTION,1,0,EP-00031-ENTRY_ON_TAP
EP-00032,-1,A,1,1,False,rb,RB2-000019,RB2-000019,False,56,29904.5,29908.25,FAILED_REACTION,1,0,EP-00032-ENTRY_ON_TAP
EP-00033,-1,A,1,1,False,rb,RB2-000020,RB2-000020,False,57,29911.0,29912.75,COMPRESSION_THEN_BREAK,7,0,EP-00033-ENTRY_ON_TAP|EP-00033-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00033-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00033-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00033-ENTRY_ON_COMPRESSION_BREAK|EP-00033-ENTRY_ON_NEW_FVG|EP-00033-ENTRY_ON_NEW_IFVG
EP-00034,-1,A,1,1,False,rb,RB2-000021,RB2-000021,False,59,29913.0,29914.75,IMMEDIATE_DISPLACEMENT,5,0,EP-00034-ENTRY_ON_TAP|EP-00034-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00034-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00034-ENTRY_ON_NEW_FVG|EP-00034-ENTRY_ON_NEW_IFVG
EP-00035,-1,A,1,3,True,rb,RB2-003113,RB2-003113,False,60,29910.25,29915.0,CLOSE_BACK_OUTSIDE,3,0,EP-00035-ENTRY_ON_TAP|EP-00035-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00035-ENTRY_ON_NEW_FVG
