episode_id,variant_id,entry_variant,reaction_state,match_mode,playbook_items,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,entry_ts,entry_price,stop_price,target_surface,target_family,target_tf,natural_rr,rejection_reason
EP-00026,EP-00026-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,1,True,2026-07-12 18:52:00-04:00,29883.75,29871.75,29888.0,ifvg,3,0.3542,INSUFFICIENT_NATURAL_RR
EP-00027,EP-00027-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,3,False,2026-07-12 18:54:00-04:00,29888.5,29871.75,29889.0,rb,3,0.0299,INSUFFICIENT_NATURAL_RR
EP-00027,EP-00027-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,1,A,GLOBEX_EVENING,3,3,False,2026-07-12 18:57:00-04:00,29909.0,29871.75,29932.0,fvg,1,0.6174,authorized_pattern_but_target_or_rr_family_mismatch
EP-00030,EP-00030-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:55:00-04:00,29888.5,29887.25,29889.0,rb,3,0.4,INSUFFICIENT_NATURAL_RR
EP-00030,EP-00030-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:56:00-04:00,29903.5,29887.25,29932.0,fvg,1,1.7538,authorized_pattern_but_target_or_rr_family_mismatch
EP-00030,EP-00030-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:56:00-04:00,29903.5,29887.25,29932.0,fvg,1,1.7538,authorized_pattern_but_target_or_rr_family_mismatch
EP-00031,EP-00031-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 18:57:00-04:00,29909.0,29892.5,,,,,NO_STRUCTURAL_STOP
EP-00032,EP-00032-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:57:00-04:00,29909.0,29908.25,,,,,NO_STRUCTURAL_STOP
EP-00033,EP-00033-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:58:00-04:00,29913.0,29912.75,,,,,NO_STRUCTURAL_STOP
EP-00033,EP-00033-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:00:00-04:00,29909.75,29912.75,29908.75,fvg,3,0.3333,INSUFFICIENT_NATURAL_RR
