episode_id,role,structure_id
EP-00001,context/component,RB2-000005
EP-00001,target:NEAREST_VALID_STRUCTURE,RB2-000006
EP-00001,target:BRANCH_SEMANTIC_TARGET,RB2-000006
EP-00001,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000006
EP-00002,context/component,RB2-000010
EP-00002,target:NEAREST_VALID_STRUCTURE,RB2-000008
EP-00002,target:BRANCH_SEMANTIC_TARGET,RB2-000005
EP-00002,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000005
EP-00003,context/component,FVG2-000746
EP-00004,context/component,RB2-000016
EP-00004,target:NEAREST_VALID_STRUCTURE,RB2-000010
EP-00004,target:BRANCH_SEMANTIC_TARGET,RB2-003073
EP-00004,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003073
EP-00005,context/component,RB2-000019
EP-00005,target:NEAREST_VALID_STRUCTURE,RB2-000009
EP-00005,target:BRANCH_SEMANTIC_TARGET,RB2-000005
EP-00005,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000005
EP-00006,context/component,RB2-000020
EP-00006,target:NEAREST_VALID_STRUCTURE,RB2-000011
EP-00006,target:BRANCH_SEMANTIC_TARGET,RB2-000010
EP-00006,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000010
EP-00007,context/component,IFVG2-000387
EP-00007,target:NEAREST_VALID_STRUCTURE,RB2-000024
EP-00007,target:BRANCH_SEMANTIC_TARGET,RB2-000024
EP-00007,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003077
EP-00008,context/component,RB2-003074
EP-00008,target:NEAREST_VALID_STRUCTURE,RB2-000024
EP-00008,target:BRANCH_SEMANTIC_TARGET,RB2-000024
EP-00008,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003077
EP-00009,context/component,FVG2-000002
EP-00009,target:NEAREST_VALID_STRUCTURE,RB2-000025
EP-00009,target:BRANCH_SEMANTIC_TARGET,RB2-000025
EP-00009,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000025
EP-00010,context/component,RB2-003076
EP-00010,target:NEAREST_VALID_STRUCTURE,RB2-003079
EP-00010,target:BRANCH_SEMANTIC_TARGET,RB2-003079
EP-00010,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003079
EP-00011,context/component,IFVG2-000388
EP-00011,target:NEAREST_VALID_STRUCTURE,RB2-003080
EP-00011,target:BRANCH_SEMANTIC_TARGET,RB2-003080
EP-00011,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003080
EP-00012,context/component,IFVG2-000001
EP-00012,target:NEAREST_VALID_STRUCTURE,RB2-003080
EP-00012,target:BRANCH_SEMANTIC_TARGET,RB2-003080
EP-00012,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003080
EP-00013,context/component,IFVG2-000001
EP-00014,context/component,RB2-000031
EP-00014,target:NEAREST_VALID_STRUCTURE,RB2-000032
EP-00014,target:BRANCH_SEMANTIC_TARGET,RB2-000032
EP-00014,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000032
EP-00015,context/component,RB2-000032
EP-00016,context/component,FVG2-000003
EP-00017,context/component,FVG2-000004
EP-00018,context/component,IFVG2-000002
EP-00018,target:NEAREST_VALID_STRUCTURE,RB2-000038
EP-00018,target:BRANCH_SEMANTIC_TARGET,RB2-000038
EP-00018,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000038
EP-00019,context/component,IFVG2-000002
EP-00019,target:NEAREST_VALID_STRUCTURE,RB2-000033
EP-00019,target:BRANCH_SEMANTIC_TARGET,RB2-000033
EP-00019,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000033
EP-00020,context/component,IFVG2-000389
EP-00021,context/component,RB2-000042
EP-00021,target:NEAREST_VALID_STRUCTURE,RB2-003083
EP-00021,target:BRANCH_SEMANTIC_TARGET,RB2-003083
EP-00021,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003083
EP-00022,context/component,RB2-004093
EP-00022,target:NEAREST_VALID_STRUCTURE,RB2-000028
EP-00022,target:BRANCH_SEMANTIC_TARGET,RB2-000028
EP-00022,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004089
EP-00023,context/component,RB2-000046
EP-00023,target:NEAREST_VALID_STRUCTURE,RB2-000022
EP-00023,target:BRANCH_SEMANTIC_TARGET,FVG2-000007
EP-00023,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000007
EP-00024,context/component,FVG2-001009
EP-00024,target:NEAREST_VALID_STRUCTURE,RB2-003085
EP-00024,target:BRANCH_SEMANTIC_TARGET,RB2-000013
EP-00024,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004090
EP-00025,context/component,FVG2-000008
EP-00025,context/component,RB2-000050
EP-00025,target:NEAREST_VALID_STRUCTURE,RB2-003075
EP-00025,target:BRANCH_SEMANTIC_TARGET,RB2-003075
EP-00025,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003075
EP-00026,context/component,FVG2-000010
EP-00026,context/component,IFVG2-000004
EP-00026,target:NEAREST_VALID_STRUCTURE,RB2-003083
EP-00026,target:BRANCH_SEMANTIC_TARGET,RB2-000035
EP-00026,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000035
EP-00027,context/component,IFVG2-000003
EP-00028,context/component,RB2-000052
EP-00028,target:NEAREST_VALID_STRUCTURE,RB2-000053
EP-00028,target:BRANCH_SEMANTIC_TARGET,RB2-000035
EP-00028,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000035
EP-00029,context/component,IFVG2-000005
EP-00029,target:NEAREST_VALID_STRUCTURE,RB2-000046
EP-00029,target:BRANCH_SEMANTIC_TARGET,RB2-000046
EP-00029,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000046
EP-00030,context/component,RB2-000055
EP-00031,context/component,RB2-000056
EP-00031,target:NEAREST_VALID_STRUCTURE,RB2-000044
EP-00031,target:BRANCH_SEMANTIC_TARGET,RB2-000003
EP-00031,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000003
EP-00032,context/component,RB2-003091
EP-00032,target:NEAREST_VALID_STRUCTURE,RB2-003079
EP-00032,target:BRANCH_SEMANTIC_TARGET,RB2-000055
EP-00032,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000751
EP-00033,context/component,FVG2-000014
EP-00033,target:NEAREST_VALID_STRUCTURE,RB2-003079
EP-00033,target:BRANCH_SEMANTIC_TARGET,RB2-000055
EP-00033,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000055
EP-00034,context/component,RB2-000059
EP-00034,target:NEAREST_VALID_STRUCTURE,RB2-000006
EP-00034,target:BRANCH_SEMANTIC_TARGET,RB2-000006
EP-00034,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000006
EP-00035,context/component,IFVG2-000006
EP-00035,target:NEAREST_VALID_STRUCTURE,RB2-000010
EP-00035,target:BRANCH_SEMANTIC_TARGET,RB2-000010
EP-00035,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000010
EP-00036,context/component,RB2-004095
EP-00036,target:NEAREST_VALID_STRUCTURE,RB2-003078
EP-00036,target:BRANCH_SEMANTIC_TARGET,FVG2-000011
EP-00036,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001010
EP-00037,context/component,IFVG2-000007
EP-00038,context/component,RB2-000065
EP-00038,target:NEAREST_VALID_STRUCTURE,RB2-003093
EP-00038,target:BRANCH_SEMANTIC_TARGET,RB2-003093
EP-00038,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003093
EP-00039,context/component,RB2-003095
EP-00039,target:NEAREST_VALID_STRUCTURE,RB2-000055
EP-00039,target:BRANCH_SEMANTIC_TARGET,RB2-000061
EP-00039,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003079
EP-00040,context/component,RB2-000068
EP-00040,target:NEAREST_VALID_STRUCTURE,RB2-000061
EP-00040,target:BRANCH_SEMANTIC_TARGET,RB2-003094
EP-00040,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003094
EP-00041,context/component,RB2-000071
EP-00041,target:NEAREST_VALID_STRUCTURE,FVG2-000014
EP-00041,target:BRANCH_SEMANTIC_TARGET,FVG2-000014
EP-00041,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000014
EP-00042,context/component,RB2-003097
EP-00042,target:NEAREST_VALID_STRUCTURE,RB2-000058
EP-00042,target:BRANCH_SEMANTIC_TARGET,RB2-000058
EP-00042,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003091
EP-00043,context/component,FVG2-000753
EP-00044,context/component,FVG2-001011
EP-00045,context/component,IFVG2-000391
EP-00046,context/component,IFVG2-000008
EP-00047,context/component,IFVG2-000008
EP-00048,context/component,RB2-000075
EP-00049,context/component,IFVG2-000391
EP-00050,context/component,RB2-003100
EP-00051,context/component,RB2-000079
EP-00051,target:NEAREST_VALID_STRUCTURE,RB2-000080
