episode_id,policy,structure_id,family,timeframe,surface,distance,freshness_bars,availability_seq,natural_rr
EP-00021,BRANCH_SEMANTIC_TARGET,RB2-003118,rb,3,29884.25,1.25,21,96,0.0329
EP-00021,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003118,rb,3,29884.25,1.25,21,96,0.0329
EP-00026,NEAREST_VALID_STRUCTURE,RB2-000047,rb,1,30007.75,6.5,5,128,0.243
EP-00026,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,47.25,3,130,1.7664
EP-00026,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,47.25,3,130,1.7664
EP-00027,NEAREST_VALID_STRUCTURE,RB2-004174,rb,5,29967.0,14.25,8,130,0.2385
EP-00027,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,14.25,8,130,0.2385
EP-00027,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,14.25,8,130,0.2385
EP-00028,NEAREST_VALID_STRUCTURE,RB2-000047,rb,1,29996.0,3.0,15,128,0.0857
EP-00028,BRANCH_SEMANTIC_TARGET,RB2-000047,rb,1,29996.0,3.0,15,128,0.0857
EP-00028,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000047,rb,1,29996.0,3.0,15,128,0.0857
EP-00029,NEAREST_VALID_STRUCTURE,RB2-000051,rb,1,30010.75,6.75,7,137,0.2784
EP-00029,BRANCH_SEMANTIC_TARGET,RB2-000051,rb,1,30010.75,6.75,7,137,0.2784
EP-00029,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000051,rb,1,30010.75,6.75,7,137,0.2784
EP-00030,NEAREST_VALID_STRUCTURE,RB2-004176,rb,5,29994.75,5.25,0,145,0.1458
EP-00030,BRANCH_SEMANTIC_TARGET,RB2-004176,rb,5,29994.75,5.25,0,145,0.1458
EP-00030,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004176,rb,5,29994.75,5.25,0,145,0.1458
EP-00031,NEAREST_VALID_STRUCTURE,RB2-003125,rb,3,29981.25,2.0,7,141,0.0615
EP-00031,BRANCH_SEMANTIC_TARGET,RB2-003125,rb,3,29981.25,2.0,7,141,0.0615
EP-00031,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003125,rb,3,29981.25,2.0,7,141,0.0615
EP-00032,NEAREST_VALID_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0351
EP-00032,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,1.0,20,130,0.0351
EP-00032,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0351
EP-00033,NEAREST_VALID_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0137
EP-00033,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,1.0,20,130,0.0137
EP-00033,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0137
EP-00034,NEAREST_VALID_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0274
EP-00034,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,1.0,20,130,0.0274
EP-00034,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0274
EP-00035,NEAREST_VALID_STRUCTURE,FVG2-000005,fvg,1,29910.75,1.25,94,61,0.0122
EP-00035,BRANCH_SEMANTIC_TARGET,FVG2-000004,fvg,1,29908.75,3.25,97,58,0.0318
EP-00035,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004168,rb,5,29891.25,20.75,80,75,0.2029
EP-00036,NEAREST_VALID_STRUCTURE,RB2-000061,rb,1,29901.25,1.5,0,158,0.038
EP-00036,BRANCH_SEMANTIC_TARGET,RB2-000061,rb,1,29901.25,1.5,0,158,0.038
EP-00036,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000061,rb,1,29901.25,1.5,0,158,0.038
EP-00037,NEAREST_VALID_STRUCTURE,RB2-000011,rb,1,29881.0,0.25,124,39,0.007
EP-00037,BRANCH_SEMANTIC_TARGET,RB2-000011,rb,1,29881.0,0.25,124,39,0.007
EP-00037,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000011,rb,1,29881.0,0.25,124,39,0.007
EP-00038,NEAREST_VALID_STRUCTURE,RB2-000012,rb,1,29883.25,0.5,125,40,0.0072
EP-00038,BRANCH_SEMANTIC_TARGET,RB2-000012,rb,1,29883.25,0.5,125,40,0.0072
EP-00038,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004169,rb,5,29881.5,2.25,80,85,0.0323
EP-00039,NEAREST_VALID_STRUCTURE,FVG2-000007,fvg,1,29886.5,0.5,78,90,0.0303
EP-00039,BRANCH_SEMANTIC_TARGET,FVG2-000007,fvg,1,29886.5,0.5,78,90,0.0303
EP-00039,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000007,fvg,1,29886.5,0.5,78,90,0.0303
EP-00040,NEAREST_VALID_STRUCTURE,FVG2-000806,fvg,3,29903.5,0.25,7,162,0.0137
EP-00040,BRANCH_SEMANTIC_TARGET,FVG2-000806,fvg,3,29903.5,0.25,7,162,0.0137
EP-00040,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000806,fvg,3,29903.5,0.25,7,162,0.0137
EP-00041,NEAREST_VALID_STRUCTURE,FVG2-000806,fvg,3,29903.5,0.25,7,162,0.0099
EP-00041,BRANCH_SEMANTIC_TARGET,FVG2-000806,fvg,3,29903.5,0.25,7,162,0.0099
EP-00041,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000806,fvg,3,29903.5,0.25,7,162,0.0099
EP-00042,NEAREST_VALID_STRUCTURE,RB2-000037,rb,1,29861.5,0.75,61,109,0.0082
EP-00042,BRANCH_SEMANTIC_TARGET,RB2-000037,rb,1,29861.5,0.75,61,109,0.0082
EP-00043,NEAREST_VALID_STRUCTURE,RB2-004171,rb,5,29863.5,1.0,61,110,0.0129
EP-00043,BRANCH_SEMANTIC_TARGET,RB2-004171,rb,5,29863.5,1.0,61,110,0.0129
EP-00043,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004171,rb,5,29863.5,1.0,61,110,0.0129
EP-00044,NEAREST_VALID_STRUCTURE,RB2-003133,rb,3,29831.75,1.0,2,177,0.1081
EP-00044,BRANCH_SEMANTIC_TARGET,RB2-003133,rb,3,29831.75,1.0,2,177,0.1081
EP-00044,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133,rb,3,29831.75,1.0,2,177,0.1081
