variant_id,episode_id,lane,entry_variant,reaction_state,direction,context_tf,interaction_tf,reaction_tf,confirmation_tf,trigger_tf,is_multi_timeframe,session,day_of_week,context_family,confluence,rb_activation_class,interaction_to_trigger_delay_bin,target_family,target_tf,natural_rr_bin
EP-00005-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00005,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,6-1000000000.0,rb,1,0.5-1.0
EP-00006-ENTRY_ON_TAP,EP-00006,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,1.0-2.0
EP-00006-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00006,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,0-0.5
EP-00006-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00006,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,1-2,rb,1,0-0.5
EP-00006-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00006,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,4-6,rb,1,0-0.5
EP-00006-ENTRY_ON_COMPRESSION_BREAK,EP-00006,A,ENTRY_ON_COMPRESSION_BREAK,COMPRESSION_THEN_BREAK,1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,4-6,rb,1,0-0.5
EP-00007-ENTRY_ON_TAP,EP-00007,A,ENTRY_ON_TAP,TAP_ONLY,-1,1,1,1,1,1,False,GLOBEX_EVENING,Sunday,rb,False,NOT_ACTIVATED,0-1,rb,1,0-0.5
EP-00008-ENTRY_ON_TAP,EP-00008,B,ENTRY_ON_TAP,TAP_ONLY,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,0-1,rb,1,2.0-1000000000.0
EP-00008-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00008,B,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,1-2,rb,1,0-0.5
EP-00008-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00008,B,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,1-2,rb,1,0-0.5
EP-00008-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00008,B,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,3,1,1,1,1,True,GLOBEX_EVENING,Sunday,fvg,False,NA,4-6,none,none,na
EP-00009-ENTRY_ON_TAP,EP-00009,B,ENTRY_ON_TAP,TAP_ONLY,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,fvg,False,NA,0-1,rb,1,0-0.5
EP-00009-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00009,B,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,3,3,3,3,False,GLOBEX_EVENING,Sunday,fvg,False,NA,1-2,none,none,na
