atomic_event_id,atomic_event_type,week,entry_seq,timeframe,direction,structure_id,note
TRIG-00213,ATOMIC_RB_TAP_EVENT,observation,313,1,-1,RB2-000128,diagnostic only -- an atomic event is NOT a setup
TRIG-00214,ATOMIC_IFVG_ACTIVATION_EVENT,observation,314,1,-1,IFVG2-000016,diagnostic only -- an atomic event is NOT a setup
TRIG-00215,ATOMIC_IFVG_ACTIVATION_EVENT,observation,315,15,1,IFVG2-000615,diagnostic only -- an atomic event is NOT a setup
TRIG-00216,ATOMIC_RB_TAP_EVENT,observation,315,15,-1,RB2-004725,diagnostic only -- an atomic event is NOT a setup
TRIG-00217,ATOMIC_RB_TAP_EVENT,observation,315,15,-1,RB2-004726,diagnostic only -- an atomic event is NOT a setup
TRIG-00218,ATOMIC_RB_TAP_EVENT,observation,315,5,1,RB2-004112,diagnostic only -- an atomic event is NOT a setup
TRIG-00219,ATOMIC_RB_TAP_EVENT,observation,315,3,-1,RB2-003119,diagnostic only -- an atomic event is NOT a setup
TRIG-00220,ATOMIC_RB_TAP_EVENT,observation,318,3,1,RB2-003120,diagnostic only -- an atomic event is NOT a setup
TRIG-00221,ATOMIC_RB_TAP_EVENT,observation,319,1,1,RB2-000129,diagnostic only -- an atomic event is NOT a setup
TRIG-00222,ATOMIC_RB_TAP_EVENT,observation,320,5,-1,RB2-004113,diagnostic only -- an atomic event is NOT a setup
TRIG-00223,ATOMIC_RB_TAP_EVENT,observation,321,1,-1,RB2-000131,diagnostic only -- an atomic event is NOT a setup
TRIG-00224,ATOMIC_RB_TAP_EVENT,observation,326,1,-1,RB2-000130,diagnostic only -- an atomic event is NOT a setup
TRIG-00225,ATOMIC_IFVG_ACTIVATION_EVENT,observation,330,30,1,IFVG2-000636,diagnostic only -- an atomic event is NOT a setup
TRIG-00226,ATOMIC_RB_TAP_EVENT,observation,330,1,1,RB2-000133,diagnostic only -- an atomic event is NOT a setup
TRIG-00227,ATOMIC_RB_TAP_EVENT,observation,332,1,1,RB2-000132,diagnostic only -- an atomic event is NOT a setup
TRIG-00228,ATOMIC_RB_TAP_EVENT,observation,333,3,1,RB2-003121,diagnostic only -- an atomic event is NOT a setup
TRIG-00229,ATOMIC_RB_TAP_EVENT,observation,333,1,-1,RB2-000134,diagnostic only -- an atomic event is NOT a setup
TRIG-00230,ATOMIC_RB_TAP_EVENT,observation,333,1,-1,RB2-000135,diagnostic only -- an atomic event is NOT a setup
TRIG-00231,ATOMIC_RB_TAP_EVENT,observation,335,5,1,RB2-004114,diagnostic only -- an atomic event is NOT a setup
TRIG-00232,ATOMIC_RB_TAP_EVENT,observation,335,1,1,RB2-000136,diagnostic only -- an atomic event is NOT a setup
TRIG-00233,ATOMIC_RB_TAP_EVENT,observation,339,3,1,RB2-003122,diagnostic only -- an atomic event is NOT a setup
TRIG-00234,ATOMIC_RB_TAP_EVENT,observation,340,1,1,RB2-000139,diagnostic only -- an atomic event is NOT a setup
TRIG-00235,ATOMIC_RB_TAP_EVENT,observation,342,1,1,RB2-000141,diagnostic only -- an atomic event is NOT a setup
TRIG-00236,ATOMIC_IFVG_ACTIVATION_EVENT,observation,343,1,-1,IFVG2-000017,diagnostic only -- an atomic event is NOT a setup
TRIG-00237,ATOMIC_RB_TAP_EVENT,observation,345,15,1,RB2-004728,diagnostic only -- an atomic event is NOT a setup
TRIG-00238,ATOMIC_RB_TAP_EVENT,observation,345,1,1,RB2-000125,diagnostic only -- an atomic event is NOT a setup
TRIG-00239,ATOMIC_RB_TAP_EVENT,observation,345,1,1,RB2-000143,diagnostic only -- an atomic event is NOT a setup
TRIG-00240,ATOMIC_RB_TAP_EVENT,observation,346,1,-1,RB2-000144,diagnostic only -- an atomic event is NOT a setup
TRIG-00241,ATOMIC_IFVG_ACTIVATION_EVENT,observation,348,3,-1,IFVG2-000394,diagnostic only -- an atomic event is NOT a setup
TRIG-00242,ATOMIC_RB_TAP_EVENT,observation,348,1,1,RB2-000145,diagnostic only -- an atomic event is NOT a setup
TRIG-00243,ATOMIC_IFVG_ACTIVATION_EVENT,observation,350,5,-1,IFVG2-000535,diagnostic only -- an atomic event is NOT a setup
TRIG-00244,ATOMIC_RB_TAP_EVENT,observation,350,5,1,RB2-004110,diagnostic only -- an atomic event is NOT a setup
