atomic_event_id,atomic_event_type,week,entry_seq,timeframe,direction,structure_id,note
TRIG-00079,ATOMIC_RB_TAP_EVENT,observation,138,1,1,RB2-000054,diagnostic only -- an atomic event is NOT a setup
TRIG-00080,ATOMIC_RB_TAP_EVENT,observation,139,1,1,RB2-000053,diagnostic only -- an atomic event is NOT a setup
TRIG-00081,ATOMIC_RB_TAP_EVENT,observation,141,1,1,RB2-000052,diagnostic only -- an atomic event is NOT a setup
TRIG-00082,ATOMIC_IFVG_ACTIVATION_EVENT,observation,143,1,-1,IFVG2-000005,diagnostic only -- an atomic event is NOT a setup
TRIG-00083,ATOMIC_RB_TAP_EVENT,observation,144,3,1,RB2-003089,diagnostic only -- an atomic event is NOT a setup
TRIG-00084,ATOMIC_RB_TAP_EVENT,observation,147,3,1,RB2-003087,diagnostic only -- an atomic event is NOT a setup
TRIG-00085,ATOMIC_RB_TAP_EVENT,observation,147,3,1,RB2-003090,diagnostic only -- an atomic event is NOT a setup
TRIG-00086,ATOMIC_RB_TAP_EVENT,observation,149,1,1,RB2-000044,diagnostic only -- an atomic event is NOT a setup
TRIG-00087,ATOMIC_RB_TAP_EVENT,observation,149,1,-1,RB2-000055,diagnostic only -- an atomic event is NOT a setup
TRIG-00088,ATOMIC_RB_TAP_EVENT,observation,152,1,1,RB2-000056,diagnostic only -- an atomic event is NOT a setup
TRIG-00089,ATOMIC_RB_TAP_EVENT,observation,154,1,-1,RB2-000057,diagnostic only -- an atomic event is NOT a setup
TRIG-00090,ATOMIC_RB_TAP_EVENT,observation,156,3,1,RB2-003091,diagnostic only -- an atomic event is NOT a setup
TRIG-00091,ATOMIC_RB_TAP_EVENT,observation,157,1,1,RB2-000058,diagnostic only -- an atomic event is NOT a setup
TRIG-00092,ATOMIC_RB_TAP_EVENT,observation,159,3,-1,RB2-003092,diagnostic only -- an atomic event is NOT a setup
TRIG-00093,ATOMIC_RB_TAP_EVENT,observation,160,5,1,RB2-004095,diagnostic only -- an atomic event is NOT a setup
TRIG-00094,ATOMIC_RB_TAP_EVENT,observation,160,1,-1,RB2-000060,diagnostic only -- an atomic event is NOT a setup
TRIG-00095,ATOMIC_RB_TAP_EVENT,observation,161,1,1,RB2-000059,diagnostic only -- an atomic event is NOT a setup
TRIG-00096,ATOMIC_IFVG_ACTIVATION_EVENT,observation,164,1,1,IFVG2-000006,diagnostic only -- an atomic event is NOT a setup
TRIG-00097,ATOMIC_RB_TAP_EVENT,observation,165,1,1,RB2-000061,diagnostic only -- an atomic event is NOT a setup
TRIG-00098,ATOMIC_IFVG_ACTIVATION_EVENT,observation,166,1,1,IFVG2-000007,diagnostic only -- an atomic event is NOT a setup
TRIG-00099,ATOMIC_RB_TAP_EVENT,observation,166,1,-1,RB2-000062,diagnostic only -- an atomic event is NOT a setup
TRIG-00100,ATOMIC_IFVG_ACTIVATION_EVENT,observation,168,3,1,IFVG2-000390,diagnostic only -- an atomic event is NOT a setup
TRIG-00101,ATOMIC_RB_TAP_EVENT,observation,168,3,-1,RB2-003094,diagnostic only -- an atomic event is NOT a setup
TRIG-00102,ATOMIC_RB_TAP_EVENT,observation,169,1,1,RB2-000064,diagnostic only -- an atomic event is NOT a setup
TRIG-00103,ATOMIC_RB_TAP_EVENT,observation,170,5,-1,RB2-004096,diagnostic only -- an atomic event is NOT a setup
TRIG-00104,ATOMIC_RB_TAP_EVENT,observation,170,1,-1,RB2-000065,diagnostic only -- an atomic event is NOT a setup
TRIG-00105,ATOMIC_RB_TAP_EVENT,observation,171,3,-1,RB2-003095,diagnostic only -- an atomic event is NOT a setup
TRIG-00106,ATOMIC_RB_TAP_EVENT,observation,172,1,1,RB2-000066,diagnostic only -- an atomic event is NOT a setup
TRIG-00107,ATOMIC_RB_TAP_EVENT,observation,174,3,1,RB2-003093,diagnostic only -- an atomic event is NOT a setup
TRIG-00108,ATOMIC_RB_TAP_EVENT,observation,174,3,1,RB2-003096,diagnostic only -- an atomic event is NOT a setup
TRIG-00109,ATOMIC_RB_TAP_EVENT,observation,174,1,-1,RB2-000067,diagnostic only -- an atomic event is NOT a setup
TRIG-00110,ATOMIC_RB_TAP_EVENT,observation,174,1,1,RB2-000068,diagnostic only -- an atomic event is NOT a setup
TRIG-00111,ATOMIC_RB_TAP_EVENT,observation,176,1,1,RB2-000069,diagnostic only -- an atomic event is NOT a setup
TRIG-00112,ATOMIC_RB_TAP_EVENT,observation,178,1,-1,RB2-000070,diagnostic only -- an atomic event is NOT a setup
TRIG-00113,ATOMIC_RB_TAP_EVENT,observation,180,5,1,RB2-004097,diagnostic only -- an atomic event is NOT a setup
TRIG-00114,ATOMIC_RB_TAP_EVENT,observation,180,3,-1,RB2-003097,diagnostic only -- an atomic event is NOT a setup
TRIG-00115,ATOMIC_RB_TAP_EVENT,observation,181,1,-1,RB2-000071,diagnostic only -- an atomic event is NOT a setup
TRIG-00116,ATOMIC_IFVG_ACTIVATION_EVENT,observation,186,3,-1,IFVG2-000391,diagnostic only -- an atomic event is NOT a setup
TRIG-00117,ATOMIC_RB_TAP_EVENT,observation,187,1,-1,RB2-000072,diagnostic only -- an atomic event is NOT a setup
TRIG-00118,ATOMIC_RB_TAP_EVENT,observation,189,3,1,RB2-003098,diagnostic only -- an atomic event is NOT a setup
TRIG-00119,ATOMIC_IFVG_ACTIVATION_EVENT,observation,191,1,-1,IFVG2-000008,diagnostic only -- an atomic event is NOT a setup
TRIG-00120,ATOMIC_RB_TAP_EVENT,observation,191,1,1,RB2-000073,diagnostic only -- an atomic event is NOT a setup
TRIG-00121,ATOMIC_RB_TAP_EVENT,observation,191,1,1,RB2-000074,diagnostic only -- an atomic event is NOT a setup
TRIG-00122,ATOMIC_RB_TAP_EVENT,observation,198,3,-1,RB2-003100,diagnostic only -- an atomic event is NOT a setup
TRIG-00123,ATOMIC_RB_TAP_EVENT,observation,199,1,-1,RB2-000076,diagnostic only -- an atomic event is NOT a setup
TRIG-00124,ATOMIC_RB_TAP_EVENT,observation,200,1,-1,RB2-000077,diagnostic only -- an atomic event is NOT a setup
TRIG-00125,ATOMIC_RB_TAP_EVENT,observation,201,1,-1,RB2-000075,diagnostic only -- an atomic event is NOT a setup
TRIG-00126,ATOMIC_RB_TAP_EVENT,observation,207,1,-1,RB2-000079,diagnostic only -- an atomic event is NOT a setup
TRIG-00127,ATOMIC_RB_TAP_EVENT,observation,209,1,1,RB2-000080,diagnostic only -- an atomic event is NOT a setup
TRIG-00128,ATOMIC_IFVG_ACTIVATION_EVENT,observation,211,1,1,IFVG2-000009,diagnostic only -- an atomic event is NOT a setup
TRIG-00129,ATOMIC_RB_TAP_EVENT,observation,213,1,1,RB2-000083,diagnostic only -- an atomic event is NOT a setup
TRIG-00130,ATOMIC_RB_TAP_EVENT,observation,215,5,1,RB2-004099,diagnostic only -- an atomic event is NOT a setup
TRIG-00131,ATOMIC_RB_TAP_EVENT,observation,216,3,-1,RB2-003102,diagnostic only -- an atomic event is NOT a setup
TRIG-00132,ATOMIC_RB_TAP_EVENT,observation,216,1,1,RB2-000084,diagnostic only -- an atomic event is NOT a setup
TRIG-00133,ATOMIC_RB_TAP_EVENT,observation,216,1,-1,RB2-000085,diagnostic only -- an atomic event is NOT a setup
TRIG-00134,ATOMIC_RB_TAP_EVENT,observation,219,1,1,RB2-000086,diagnostic only -- an atomic event is NOT a setup
TRIG-00135,ATOMIC_RB_TAP_EVENT,observation,221,1,-1,RB2-000078,diagnostic only -- an atomic event is NOT a setup
TRIG-00136,ATOMIC_RB_TAP_EVENT,observation,223,1,1,RB2-000088,diagnostic only -- an atomic event is NOT a setup
TRIG-00137,ATOMIC_RB_TAP_EVENT,observation,225,5,1,RB2-004100,diagnostic only -- an atomic event is NOT a setup
TRIG-00138,ATOMIC_RB_TAP_EVENT,observation,225,3,-1,RB2-003103,diagnostic only -- an atomic event is NOT a setup
TRIG-00139,ATOMIC_RB_TAP_EVENT,observation,225,1,1,RB2-000087,diagnostic only -- an atomic event is NOT a setup
TRIG-00140,ATOMIC_IFVG_ACTIVATION_EVENT,observation,226,1,-1,IFVG2-000010,diagnostic only -- an atomic event is NOT a setup
TRIG-00141,ATOMIC_RB_TAP_EVENT,observation,226,1,1,RB2-000081,diagnostic only -- an atomic event is NOT a setup
TRIG-00142,ATOMIC_RB_TAP_EVENT,observation,226,1,1,RB2-000082,diagnostic only -- an atomic event is NOT a setup
TRIG-00143,ATOMIC_RB_TAP_EVENT,observation,228,3,1,RB2-003101,diagnostic only -- an atomic event is NOT a setup
TRIG-00144,ATOMIC_RB_TAP_EVENT,observation,232,1,-1,RB2-000092,diagnostic only -- an atomic event is NOT a setup
TRIG-00145,ATOMIC_RB_TAP_EVENT,observation,234,1,1,RB2-000093,diagnostic only -- an atomic event is NOT a setup
TRIG-00146,ATOMIC_RB_TAP_EVENT,observation,235,1,-1,RB2-000094,diagnostic only -- an atomic event is NOT a setup
TRIG-00147,ATOMIC_RB_TAP_EVENT,observation,237,3,-1,RB2-003104,diagnostic only -- an atomic event is NOT a setup
TRIG-00148,ATOMIC_RB_TAP_EVENT,observation,238,1,-1,RB2-000096,diagnostic only -- an atomic event is NOT a setup
TRIG-00149,ATOMIC_RB_TAP_EVENT,observation,239,1,1,RB2-000097,diagnostic only -- an atomic event is NOT a setup
TRIG-00150,ATOMIC_RB_TAP_EVENT,observation,240,5,-1,RB2-004102,diagnostic only -- an atomic event is NOT a setup
TRIG-00151,ATOMIC_RB_TAP_EVENT,observation,240,3,-1,RB2-003105,diagnostic only -- an atomic event is NOT a setup
TRIG-00152,ATOMIC_RB_TAP_EVENT,observation,240,1,-1,RB2-000098,diagnostic only -- an atomic event is NOT a setup
TRIG-00153,ATOMIC_RB_TAP_EVENT,observation,241,1,-1,RB2-000090,diagnostic only -- an atomic event is NOT a setup
TRIG-00154,ATOMIC_RB_TAP_EVENT,observation,241,1,-1,RB2-000091,diagnostic only -- an atomic event is NOT a setup
TRIG-00155,ATOMIC_RB_TAP_EVENT,observation,244,1,1,RB2-000099,diagnostic only -- an atomic event is NOT a setup
TRIG-00156,ATOMIC_IFVG_ACTIVATION_EVENT,observation,245,5,1,IFVG2-000534,diagnostic only -- an atomic event is NOT a setup
TRIG-00157,ATOMIC_RB_TAP_EVENT,observation,246,3,-1,RB2-003107,diagnostic only -- an atomic event is NOT a setup
TRIG-00158,ATOMIC_RB_TAP_EVENT,observation,247,1,1,RB2-000100,diagnostic only -- an atomic event is NOT a setup
TRIG-00159,ATOMIC_RB_TAP_EVENT,observation,249,3,1,RB2-003106,diagnostic only -- an atomic event is NOT a setup
TRIG-00160,ATOMIC_RB_TAP_EVENT,observation,249,1,1,RB2-000101,diagnostic only -- an atomic event is NOT a setup
TRIG-00161,ATOMIC_RB_TAP_EVENT,observation,250,5,1,RB2-004104,diagnostic only -- an atomic event is NOT a setup
TRIG-00162,ATOMIC_RB_TAP_EVENT,observation,251,1,1,RB2-000102,diagnostic only -- an atomic event is NOT a setup
TRIG-00163,ATOMIC_IFVG_ACTIVATION_EVENT,observation,252,1,-1,IFVG2-000011,diagnostic only -- an atomic event is NOT a setup
TRIG-00164,ATOMIC_RB_TAP_EVENT,observation,252,1,1,RB2-000103,diagnostic only -- an atomic event is NOT a setup
TRIG-00165,ATOMIC_IFVG_ACTIVATION_EVENT,observation,253,1,-1,IFVG2-000012,diagnostic only -- an atomic event is NOT a setup
TRIG-00166,ATOMIC_RB_TAP_EVENT,observation,253,1,-1,RB2-000104,diagnostic only -- an atomic event is NOT a setup
TRIG-00167,ATOMIC_RB_TAP_EVENT,observation,255,15,-1,RB2-004723,diagnostic only -- an atomic event is NOT a setup
TRIG-00168,ATOMIC_RB_TAP_EVENT,observation,255,15,1,RB2-004724,diagnostic only -- an atomic event is NOT a setup
TRIG-00169,ATOMIC_RB_TAP_EVENT,observation,255,5,1,RB2-004103,diagnostic only -- an atomic event is NOT a setup
TRIG-00170,ATOMIC_RB_TAP_EVENT,observation,255,1,1,RB2-000095,diagnostic only -- an atomic event is NOT a setup
TRIG-00171,ATOMIC_RB_TAP_EVENT,observation,255,1,-1,RB2-000105,diagnostic only -- an atomic event is NOT a setup
TRIG-00172,ATOMIC_RB_TAP_EVENT,observation,258,3,1,RB2-003108,diagnostic only -- an atomic event is NOT a setup
TRIG-00173,ATOMIC_RB_TAP_EVENT,observation,258,1,1,RB2-000106,diagnostic only -- an atomic event is NOT a setup
TRIG-00174,ATOMIC_IFVG_ACTIVATION_EVENT,observation,264,3,1,IFVG2-000392,diagnostic only -- an atomic event is NOT a setup
TRIG-00175,ATOMIC_RB_TAP_EVENT,observation,264,1,1,RB2-000107,diagnostic only -- an atomic event is NOT a setup
TRIG-00176,ATOMIC_RB_TAP_EVENT,observation,265,5,-1,RB2-004105,diagnostic only -- an atomic event is NOT a setup
TRIG-00177,ATOMIC_RB_TAP_EVENT,observation,265,1,-1,RB2-000108,diagnostic only -- an atomic event is NOT a setup
TRIG-00178,ATOMIC_RB_TAP_EVENT,observation,267,3,1,RB2-003109,diagnostic only -- an atomic event is NOT a setup
TRIG-00179,ATOMIC_RB_TAP_EVENT,observation,267,3,1,RB2-003110,diagnostic only -- an atomic event is NOT a setup
TRIG-00180,ATOMIC_RB_TAP_EVENT,observation,268,1,1,RB2-000109,diagnostic only -- an atomic event is NOT a setup
TRIG-00181,ATOMIC_RB_TAP_EVENT,observation,272,1,1,RB2-000111,diagnostic only -- an atomic event is NOT a setup
TRIG-00182,ATOMIC_RB_TAP_EVENT,observation,274,1,-1,RB2-000112,diagnostic only -- an atomic event is NOT a setup
TRIG-00183,ATOMIC_RB_TAP_EVENT,observation,276,3,1,RB2-003111,diagnostic only -- an atomic event is NOT a setup
TRIG-00184,ATOMIC_RB_TAP_EVENT,observation,279,3,-1,RB2-003112,diagnostic only -- an atomic event is NOT a setup
TRIG-00185,ATOMIC_RB_TAP_EVENT,observation,280,5,1,RB2-004106,diagnostic only -- an atomic event is NOT a setup
TRIG-00186,ATOMIC_RB_TAP_EVENT,observation,280,1,-1,RB2-000113,diagnostic only -- an atomic event is NOT a setup
TRIG-00187,ATOMIC_RB_TAP_EVENT,observation,282,1,1,RB2-000114,diagnostic only -- an atomic event is NOT a setup
TRIG-00188,ATOMIC_RB_TAP_EVENT,observation,285,3,1,RB2-003113,diagnostic only -- an atomic event is NOT a setup
TRIG-00189,ATOMIC_RB_TAP_EVENT,observation,285,1,-1,RB2-000115,diagnostic only -- an atomic event is NOT a setup
TRIG-00190,ATOMIC_RB_TAP_EVENT,observation,285,1,1,RB2-000116,diagnostic only -- an atomic event is NOT a setup
TRIG-00191,ATOMIC_RB_TAP_EVENT,observation,286,1,1,RB2-000117,diagnostic only -- an atomic event is NOT a setup
TRIG-00192,ATOMIC_RB_TAP_EVENT,observation,288,3,1,RB2-003114,diagnostic only -- an atomic event is NOT a setup
TRIG-00193,ATOMIC_RB_TAP_EVENT,observation,290,5,1,RB2-004108,diagnostic only -- an atomic event is NOT a setup
TRIG-00194,ATOMIC_RB_TAP_EVENT,observation,290,1,-1,RB2-000118,diagnostic only -- an atomic event is NOT a setup
TRIG-00195,ATOMIC_RB_TAP_EVENT,observation,291,3,-1,RB2-003115,diagnostic only -- an atomic event is NOT a setup
TRIG-00196,ATOMIC_RB_TAP_EVENT,observation,295,5,-1,RB2-004109,diagnostic only -- an atomic event is NOT a setup
TRIG-00197,ATOMIC_RB_TAP_EVENT,observation,296,1,-1,RB2-000120,diagnostic only -- an atomic event is NOT a setup
