episode_id,role,structure_id
EP-00031,target:BRANCH_SEMANTIC_TARGET,RB2-003125
EP-00031,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003125
EP-00032,context/component,IFVG2-000548
EP-00032,target:NEAREST_VALID_STRUCTURE,RB2-004174
EP-00032,target:BRANCH_SEMANTIC_TARGET,RB2-004174
EP-00032,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174
EP-00033,context/component,RB2-004175
EP-00033,target:NEAREST_VALID_STRUCTURE,RB2-004174
EP-00033,target:BRANCH_SEMANTIC_TARGET,RB2-004174
EP-00033,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174
EP-00034,context/component,RB2-000055
EP-00034,target:NEAREST_VALID_STRUCTURE,RB2-004174
EP-00034,target:BRANCH_SEMANTIC_TARGET,RB2-004174
EP-00034,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174
EP-00035,context/component,RB2-004176
EP-00035,target:NEAREST_VALID_STRUCTURE,FVG2-000005
EP-00035,target:BRANCH_SEMANTIC_TARGET,FVG2-000004
EP-00035,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004168
EP-00036,context/component,IFVG2-000004
EP-00036,context/component,RB2-000060
EP-00036,target:NEAREST_VALID_STRUCTURE,RB2-000061
EP-00036,target:BRANCH_SEMANTIC_TARGET,RB2-000061
EP-00036,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000061
EP-00037,context/component,RB2-000036
EP-00037,target:NEAREST_VALID_STRUCTURE,RB2-000011
EP-00037,target:BRANCH_SEMANTIC_TARGET,RB2-000011
EP-00037,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000011
EP-00038,context/component,IFVG2-000549
EP-00038,target:NEAREST_VALID_STRUCTURE,RB2-000012
EP-00038,target:BRANCH_SEMANTIC_TARGET,RB2-000012
EP-00038,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004169
EP-00039,context/component,RB2-000063
EP-00039,target:NEAREST_VALID_STRUCTURE,FVG2-000007
EP-00039,target:BRANCH_SEMANTIC_TARGET,FVG2-000007
EP-00039,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000007
EP-00040,context/component,FVG2-000017
EP-00040,target:NEAREST_VALID_STRUCTURE,FVG2-000806
EP-00040,target:BRANCH_SEMANTIC_TARGET,FVG2-000806
EP-00040,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000806
EP-00041,context/component,RB2-000066
EP-00041,target:NEAREST_VALID_STRUCTURE,FVG2-000806
EP-00041,target:BRANCH_SEMANTIC_TARGET,FVG2-000806
EP-00041,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000806
EP-00042,context/component,IFVG2-000549
EP-00042,target:NEAREST_VALID_STRUCTURE,RB2-000037
EP-00042,target:BRANCH_SEMANTIC_TARGET,RB2-000037
EP-00043,context/component,IFVG2-000418
EP-00043,target:NEAREST_VALID_STRUCTURE,RB2-004171
EP-00043,target:BRANCH_SEMANTIC_TARGET,RB2-004171
EP-00043,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004171
EP-00044,context/component,RB2-000070
EP-00044,target:NEAREST_VALID_STRUCTURE,RB2-003133
EP-00044,target:BRANCH_SEMANTIC_TARGET,RB2-003133
EP-00044,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133
EP-00045,context/component,RB2-000071
EP-00045,target:NEAREST_VALID_STRUCTURE,RB2-000069
EP-00045,target:BRANCH_SEMANTIC_TARGET,RB2-000069
EP-00045,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000069
EP-00046,context/component,RB2-000069
EP-00046,context/component,RB2-003132
EP-00046,target:NEAREST_VALID_STRUCTURE,RB2-000036
EP-00046,target:BRANCH_SEMANTIC_TARGET,RB2-000038
EP-00046,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003130
EP-00047,context/component,RB2-000074
EP-00047,target:NEAREST_VALID_STRUCTURE,RB2-004181
EP-00047,target:BRANCH_SEMANTIC_TARGET,RB2-004181
EP-00047,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004181
EP-00048,context/component,RB2-000073
EP-00048,target:NEAREST_VALID_STRUCTURE,RB2-000069
EP-00048,target:BRANCH_SEMANTIC_TARGET,RB2-000069
EP-00048,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000069
EP-00049,context/component,RB2-000075
EP-00049,target:NEAREST_VALID_STRUCTURE,RB2-000036
EP-00049,target:BRANCH_SEMANTIC_TARGET,RB2-000038
EP-00049,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000038
EP-00050,context/component,RB2-000077
EP-00050,target:NEAREST_VALID_STRUCTURE,RB2-003133
EP-00050,target:BRANCH_SEMANTIC_TARGET,RB2-003133
EP-00050,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133
EP-00051,context/component,RB2-003134
EP-00051,target:NEAREST_VALID_STRUCTURE,RB2-003133
EP-00051,target:BRANCH_SEMANTIC_TARGET,RB2-003133
EP-00051,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133
EP-00052,context/component,RB2-000079
EP-00052,target:NEAREST_VALID_STRUCTURE,RB2-000072
EP-00052,target:BRANCH_SEMANTIC_TARGET,RB2-000072
EP-00052,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000072
EP-00053,context/component,RB2-003136
EP-00054,context/component,IFVG2-000005
EP-00054,target:NEAREST_VALID_STRUCTURE,RB2-003135
EP-00054,target:BRANCH_SEMANTIC_TARGET,RB2-003135
EP-00054,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003135
EP-00055,context/component,RB2-004183
EP-00055,target:NEAREST_VALID_STRUCTURE,RB2-000074
EP-00055,target:BRANCH_SEMANTIC_TARGET,RB2-000074
EP-00055,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004182
EP-00056,context/component,IFVG2-000006
EP-00056,target:NEAREST_VALID_STRUCTURE,RB2-003133
EP-00056,target:BRANCH_SEMANTIC_TARGET,RB2-003133
EP-00056,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133
EP-00057,context/component,RB2-004182
EP-00057,target:NEAREST_VALID_STRUCTURE,RB2-000076
EP-00057,target:BRANCH_SEMANTIC_TARGET,RB2-000076
EP-00057,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004178
EP-00058,context/component,FVG2-000021
EP-00058,target:NEAREST_VALID_STRUCTURE,RB2-000076
EP-00058,target:BRANCH_SEMANTIC_TARGET,RB2-000076
EP-00058,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000076
EP-00059,context/component,RB2-000076
EP-00059,target:NEAREST_VALID_STRUCTURE,RB2-000082
EP-00059,target:BRANCH_SEMANTIC_TARGET,RB2-000072
EP-00059,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000072
EP-00060,context/component,RB2-000087
EP-00061,context/component,RB2-000097
EP-00061,target:NEAREST_VALID_STRUCTURE,FVG2-000023
EP-00061,target:BRANCH_SEMANTIC_TARGET,FVG2-000023
EP-00061,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000023
EP-00062,context/component,RB2-003143
EP-00062,context/component,RB2-004186
EP-00062,target:NEAREST_VALID_STRUCTURE,RB2-000091
EP-00062,target:BRANCH_SEMANTIC_TARGET,RB2-000091
EP-00062,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001067
EP-00063,context/component,FVG2-000025
EP-00063,target:NEAREST_VALID_STRUCTURE,RB2-000086
EP-00063,target:BRANCH_SEMANTIC_TARGET,RB2-000086
EP-00063,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000086
EP-00064,context/component,RB2-000104
EP-00064,target:NEAREST_VALID_STRUCTURE,RB2-000106
EP-00064,target:BRANCH_SEMANTIC_TARGET,RB2-000106
EP-00064,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000106
EP-00065,context/component,RB2-000105
EP-00065,target:NEAREST_VALID_STRUCTURE,RB2-000106
EP-00065,target:BRANCH_SEMANTIC_TARGET,RB2-000106
EP-00065,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000106
EP-00066,context/component,RB2-003147
EP-00066,target:NEAREST_VALID_STRUCTURE,RB2-000102
EP-00066,target:BRANCH_SEMANTIC_TARGET,RB2-003142
EP-00066,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003142
EP-00067,context/component,IFVG2-000007
EP-00067,target:NEAREST_VALID_STRUCTURE,RB2-000102
EP-00067,target:BRANCH_SEMANTIC_TARGET,RB2-003142
EP-00067,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003142
EP-00068,context/component,RB2-000107
EP-00068,target:NEAREST_VALID_STRUCTURE,RB2-000102
EP-00068,target:BRANCH_SEMANTIC_TARGET,RB2-003142
EP-00068,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003142
EP-00069,context/component,RB2-004810
EP-00069,target:NEAREST_VALID_STRUCTURE,RB2-000099
EP-00069,target:BRANCH_SEMANTIC_TARGET,RB2-004813
EP-00069,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004813
EP-00070,context/component,FVG2-001068
EP-00070,target:NEAREST_VALID_STRUCTURE,RB2-003149
EP-00070,target:BRANCH_SEMANTIC_TARGET,RB2-003149
EP-00070,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004190
EP-00071,context/component,FVG2-001069
EP-00072,context/component,RB2-000103
EP-00072,target:NEAREST_VALID_STRUCTURE,RB2-003149
EP-00072,target:BRANCH_SEMANTIC_TARGET,RB2-003149
EP-00072,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003149
EP-00073,context/component,RB2-003149
EP-00073,target:NEAREST_VALID_STRUCTURE,RB2-000098
