trigger_id,role,structure_id,family,timeframe,direction,zone_lo,zone_hi,source_ts_et,availability_seq,availability_le_trigger
TRIG-00039,target,RB2-000032,rb,1,1,29968.0,29981.0,2026-07-05 19:14:00-04:00,75,True
TRIG-00040,component,RB2-000031,rb,1,-1,29992.0,30008.25,2026-07-05 19:13:00-04:00,74,True
TRIG-00040,target,RB2-000032,rb,1,1,29968.0,29981.0,2026-07-05 19:14:00-04:00,75,True
TRIG-00041,component,RB2-003080,rb,3,-1,29990.25,30008.25,2026-07-05 19:15:00-04:00,75,True
TRIG-00041,target,RB2-000032,rb,1,1,29968.0,29981.0,2026-07-05 19:14:00-04:00,75,True
TRIG-00042,component,RB2-000033,rb,1,1,29984.75,29989.75,2026-07-05 19:19:00-04:00,80,True
TRIG-00042,target,RB2-004090,rb,5,-1,29989.75,30003.75,2026-07-05 19:20:00-04:00,80,True
TRIG-00043,component,RB2-004090,rb,5,-1,29989.75,30003.75,2026-07-05 19:20:00-04:00,80,True
TRIG-00043,target,RB2-000016,rb,1,-1,29975.5,29979.0,2026-07-05 18:47:00-04:00,48,True
TRIG-00044,component,RB2-000032,rb,1,1,29968.0,29981.0,2026-07-05 19:14:00-04:00,75,True
TRIG-00044,target,RB2-000033,rb,1,1,29984.75,29989.75,2026-07-05 19:19:00-04:00,80,True
TRIG-00045,component,RB2-000034,rb,1,-1,29985.75,29988.5,2026-07-05 19:23:00-04:00,84,True
TRIG-00045,target,RB2-000016,rb,1,-1,29975.5,29979.0,2026-07-05 18:47:00-04:00,48,True
TRIG-00046,component,RB2-000035,rb,1,-1,29981.0,29983.75,2026-07-05 19:25:00-04:00,86,True
TRIG-00046,target,RB2-003081,rb,3,1,29975.75,29984.25,2026-07-05 19:27:00-04:00,87,True
TRIG-00047,component,RB2-003081,rb,3,1,29975.75,29984.25,2026-07-05 19:27:00-04:00,87,True
TRIG-00047,target,FVG2-000003,fvg,1,1,29984.5,29988.25,2026-07-05 19:28:00-04:00,89,True
TRIG-00048,component,RB2-000036,rb,1,1,30002.0,30004.25,2026-07-05 19:32:00-04:00,93,True
TRIG-00049,component,RB2-000037,rb,1,1,29998.75,30001.75,2026-07-05 19:34:00-04:00,95,True
TRIG-00049,target,RB2-000036,rb,1,1,30002.0,30004.25,2026-07-05 19:32:00-04:00,93,True
TRIG-00050,component,IFVG2-000002,ifvg,1,-1,29998.0,30002.0,2026-07-05 19:36:00-04:00,97,True
TRIG-00050,component,FVG2-000004,fvg,1,1,29998.0,30002.0,2026-07-05 19:32:00-04:00,93,True
TRIG-00050,target,RB2-003081,rb,3,1,29975.75,29984.25,2026-07-05 19:27:00-04:00,87,True
TRIG-00051,component,RB2-003082,rb,3,1,29998.75,30001.5,2026-07-05 19:36:00-04:00,96,True
TRIG-00051,target,RB2-004090,rb,5,-1,29989.75,30003.75,2026-07-05 19:20:00-04:00,80,True
TRIG-00052,component,RB2-000038,rb,1,1,29983.25,29986.0,2026-07-05 19:37:00-04:00,98,True
TRIG-00052,target,RB2-004090,rb,5,-1,29989.75,30003.75,2026-07-05 19:20:00-04:00,80,True
TRIG-00053,component,RB2-004091,rb,5,1,29974.0,29983.5,2026-07-05 19:35:00-04:00,95,True
TRIG-00053,target,FVG2-000003,fvg,1,1,29984.5,29988.25,2026-07-05 19:28:00-04:00,89,True
TRIG-00054,component,RB2-003083,rb,3,1,29980.0,29986.25,2026-07-05 19:39:00-04:00,99,True
TRIG-00054,target,RB2-000033,rb,1,1,29984.75,29989.75,2026-07-05 19:19:00-04:00,80,True
TRIG-00055,component,RB2-003084,rb,3,1,29970.75,29976.0,2026-07-05 19:45:00-04:00,105,True
