config_id,family,description,trades,per_week,pf0,pf1,pf2,net0,net1,net2,exp1,expwk1,mdd1,posyr0,posyr1,posyr2,win_rate
H01499,H,NY_AM | VWAP(MIDNIGHT_0000) inside_1sd | px vs EMA21(1m),1190,2.8586135895676046,1.8769793152726237,1.7096174627654652,1.556592264057364,358.8773,303.9925501851979,249.10780037039584,0.2554559245253764,0.7302497773837973,-14.371006710332892,8,8,7,0.6554621848739496
H01579,H,NY_AM | VWAP(LONDON_0300) inside_1sd | px vs EMA21(1m),1197,2.8754289636238846,1.8269213939655657,1.663283074605398,1.5138022013821646,345.83490000000006,290.5344070412933,235.23391408258672,0.24271880287493175,0.697920675802695,-15.402502773325011,8,8,8,0.6499582289055973
H01667,H,NY_AM | VWAP(CASH_0930) inside_1sd | ADX(1m) adx_ge35,626,1.5037748798901853,1.8186051231074694,1.6526546231270487,1.5018003158661923,190.3956,159.39324806709163,128.39089613418327,0.25462180202410806,0.38289386975622564,-11.564490586065418,8,8,6,0.6277955271565495
H01751,H,NY_AM | VWAP(TEN_1000) inside_1sd | ADX(5m) adx_25_35,1140,2.73850377487989,1.7613751223039946,1.608243738389873,1.4696625957464224,357.9529,300.9717925789862,243.99068515797234,0.26401034436753174,0.7229933246578255,-19.89682269904526,8,8,7,0.5868421052631579
H01419,H,NY_AM | VWAP(GLOBEX_1800) inside_1sd | px vs EMA21(1m),1281,3.077213452299245,1.743843989258558,1.5867068610684392,1.4430380936077016,340.1002,280.8278523436991,221.55550468739818,0.2192254897296636,0.6746036260830108,-17.175660772170247,8,8,8,0.6424668227946917
H01671,H,NY_AM | VWAP(CASH_0930) inside_1sd | ADX(5m) adx_25_35,1033,2.4814687714481813,1.6403289692099254,1.4905970291999353,1.3547957469291056,261.9249,210.9703049472884,160.01570989457684,0.2042306921077332,0.5067920846365885,-18.284044617214334,8,8,7,0.6030977734753146
H01536,H,NY_AM | VWAP(MIDNIGHT_0000) reverting_1sd | ADX(15m) adx_25_35,1085,2.6063829787234045,1.5759348643006263,1.4273486277733247,1.2941404057473462,275.8728,216.51562768577412,157.15845537154826,0.19955357390393927,0.5201130383666502,-19.249934972747752,8,8,5,0.5585253456221199
H01672,H,NY_AM | VWAP(CASH_0930) inside_1sd | ADX(5m) adx_ge35,755,1.8136582017844887,1.5577691588785048,1.416448570341808,1.2885810941314677,179.0439,140.71231856862582,102.38073713725166,0.18637393187897458,0.33801861015112583,-14.67341397567067,8,8,7,0.5748344370860927
H01771,H,NY_AM | VWAP(TEN_1000) reverting_1sd | ADX(5m) adx_25_35,997,2.394989704873027,1.5525682222222223,1.4135997544376817,1.2882873913467865,248.6557,196.2612380193548,143.86677603870956,0.19685179339955347,0.4714580185777226,-21.799228439083606,8,8,8,0.5486459378134403
H01659,H,NY_AM | VWAP(CASH_0930) inside_1sd | px vs EMA21(1m),1331,3.1973232669869596,1.5445947300628453,1.4127933810244517,1.2923546899968685,302.0501,239.7487097471414,177.4473194942828,0.1801267541300837,0.575923461986956,-17.73664350247853,8,8,8,0.5822689706987227
