config_id,family,description,trades,per_week,pf0,pf1,pf2,net0,net1,net2,exp1,expwk1,mdd1,posyr0,posyr1,posyr2,win_rate
G00001,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | (no market state),3146,7.557309540150995,1.2293730065654362,1.1507346358677872,1.0776004717499312,363.905,248.14279033687188,132.3805806737437,0.07887564854954605,0.5960876912690815,-39.76758182317877,7,7,6,0.4901462174189447
G00002,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(GLOBEX_1800) beyond_1sd,341,0.8191489361702128,1.229496644295302,1.1169025694323305,1.0145403653024003,34.195,18.28903690565312,2.3830738113062413,0.053633539312765745,0.043933856671095346,-14.766346875938488,6,5,4,0.5630498533724341
G00003,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(GLOBEX_1800) beyond_2sd,,,,,,,,,,,,,,,
G00004,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(GLOBEX_1800) inside_1sd,615,1.477350720658888,1.4961125,1.3715348362110367,1.256783402282389,119.06700000000001,92.98612914205964,66.90525828411924,0.15119695795456853,0.2233709347956134,-11.01657664188247,7,7,6,0.6097560975609756
G00005,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(GLOBEX_1800) reverting_1sd,484,1.1626630061770762,1.3056512315270934,1.1872282168503434,1.0794433694975178,62.0472,39.88295490579359,17.71870981158718,0.08240279939213552,0.09580668645866683,-10.083977043865312,8,6,4,0.5805785123966942
G00006,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(MIDNIGHT_0000) beyond_1sd,332,0.7975291695264242,1.2489486301369863,1.133338685017608,1.028404100102665,36.3465,20.457693602067124,4.568887204134248,0.061619559042370854,0.04914339574964649,-13.224320764585427,6,5,5,0.5602409638554217
G00007,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(MIDNIGHT_0000) beyond_2sd,,,,,,,,,,,,,,,
G00008,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(MIDNIGHT_0000) inside_1sd,577,1.386067261496225,1.4649280542986425,1.3391381187609859,1.2233578566139496,102.7491,78.18936946925183,53.62963893850366,0.13551017239038446,0.18782621355002155,-10.459058416748459,8,7,6,0.6169844020797227
G00009,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(MIDNIGHT_0000) reverting_1sd,488,1.1722717913520935,1.3268569306930693,1.2051757851859601,1.0944792883711738,66.02510000000001,43.50187156858185,20.978643137163697,0.08914317944381527,0.10450003465342242,-10.743741749747667,8,6,5,0.5860655737704918
G00010,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(LONDON_0300) beyond_1sd,327,0.7855181880576527,1.3163687943262412,1.1954661988092938,1.0857064290874872,44.608000000000004,28.959718645891833,13.311437291783669,0.08856183072138175,0.06956692879932835,-12.014939912094981,6,6,6,0.5688073394495413
G00011,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(LONDON_0300) beyond_2sd,,,,,,,,,,,,,,,
G00012,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(LONDON_0300) inside_1sd,578,1.3884694577899794,1.4010721238938053,1.2792401830435276,1.1672294178351326,90.6423,65.87496863498411,41.10763726996822,0.11397053397056076,0.15824460550613892,-11.533492028051203,7,6,5,0.6089965397923875
G00013,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(LONDON_0300) reverting_1sd,486,1.1674673987645847,1.3490170854271355,1.2247458025347873,1.1117106567234412,69.45439999999999,46.94730587194146,24.44021174388292,0.09659939479823346,0.11277664416732677,-11.639192873698189,7,7,4,0.5905349794238683
G00014,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(CASH_0930) beyond_1sd,,,,,,,,,,,,,,,
G00015,G,NY_AM | ENTRY_ON_DELAYED_DISPLACEMENT | VWAP(CASH_0930) beyond_2sd,,,,,,,,,,,,,,,
