candidate_id,source_branch_id,source_episode_id,trigger_event_id,direction,entry_mode,continuation_or_fade,trigger_family,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,stop_anchor_type,stop_anchor_object_id,target_anchor_type,target_anchor_object_id,parent_fvg_id,effective_sample,shrunk_expected_R,qualification,outcome
GNC-009304,GBR-011319,GEP-002527,EVT-0170265,long,formation_close,fade,sweep_reclaim_fade,SWING_HIGH_SWEEP_BELOW -> SWING_HIGH_RECLAIM -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> RECLAIM -> ENTRY_TRIGGER,2965,22874.25,22872.5,22875.25,0.5714,0.5714,swept_extreme,LVL-000957,opposing_liquidity,LVL-000514,,4,-0.119,RECORDED_NOT_ACTIVATED,LOSS
GNC-009306,GBR-011312,GEP-002544,EVT-0170269,long,formation_close,fade,break_failed_fade,SWING_LOW_BREAK -> SWING_LOW_RECLAIM -> FORMATION_CLOSE_LONG_TRIGGER,LEVEL_BREAK -> RECLAIM -> ENTRY_TRIGGER,2965,22874.25,22872.5,22875.25,0.5714,0.5714,failed_break_boundary,LVL-000964,opposing_liquidity,LVL-000514,,4,-0.1613,RECORDED_NOT_ACTIVATED,LOSS
GNC-009307,GBR-011322,GEP-002544,EVT-0170269,long,formation_close,fade,sweep_reclaim_fade,SWING_LOW_SWEEP_BELOW -> SWING_LOW_RECLAIM -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> RECLAIM -> ENTRY_TRIGGER,2965,22874.25,22872.5,22875.25,0.5714,0.5714,swept_extreme,LVL-000964,opposing_liquidity,LVL-000514,,4,-0.2608,RECORDED_NOT_ACTIVATED,LOSS
GNC-009313,GBR-011341,GEP-002550,EVT-0170278,short,next_bar,continuation,fvg_formation,BEARISH_FVG_FORMED -> NEXT_BAR_SHORT_TRIGGER,GAP_FORMATION -> ENTRY_TRIGGER,2967,22875.25,22877.0,22874.25,0.5714,0.5714,fvg_boundary,FVG-000661,opposing_liquidity,LVL-000431,,2,-0.0779,RECORDED_NOT_ACTIVATED,WIN
GNC-009332,GBR-011360,GEP-002552,EVT-0170482,short,full_fill,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FULL_FILL -> FULL_FILL_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,2973,22867.0,22867.5,22866.5,1.0,1.0,fvg_boundary,FVG-000663,opposing_liquidity,LVL-000766,,4,0.0893,QUALIFIED_PENDING_TRIGGER,LOSS
GNC-009336,GBR-011381,GEP-002261,EVT-0170514,short,formation_close,fade,sweep_fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,2974,22869.5,22871.0,22868.75,0.5,0.5,swept_extreme,LVL-000858,opposing_liquidity,LVL-000523,,3,-0.1034,RECORDED_NOT_ACTIVATED,WIN
GNC-009337,GBR-011384,GEP-002486,EVT-0170517,short,formation_close,fade,sweep_fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,2974,22869.5,22871.0,22868.75,0.5,0.5,swept_extreme,LVL-000941,opposing_liquidity,LVL-000523,,3,-0.1011,RECORDED_NOT_ACTIVATED,WIN
GNC-009341,GBR-011353,GEP-002551,EVT-0170554,short,full_fill,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FULL_FILL -> FULL_FILL_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,2977,22872.75,22873.25,22872.25,1.0,1.0,fvg_boundary,FVG-000662,opposing_hist_level,LVL-000026,,4,0.1065,QUALIFIED_PENDING_TRIGGER,LOSS
GNC-009342,GBR-011382,GEP-002261,EVT-0170564,short,formation_close,fade,sweep_reclaim_fade,SWING_LOW_SWEEP_ABOVE -> SWING_LOW_RECLAIM -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> RECLAIM -> ENTRY_TRIGGER,2977,22873.0,22873.75,22872.5,0.6667,0.6667,swept_extreme,LVL-000858,opposing_liquidity,LVL-000510,,2,-0.2792,RECORDED_NOT_ACTIVATED,LOSS
GNC-009343,GBR-011385,GEP-002486,EVT-0170570,short,formation_close,fade,sweep_reclaim_fade,SWING_LOW_SWEEP_ABOVE -> SWING_LOW_RECLAIM -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> RECLAIM -> ENTRY_TRIGGER,2977,22873.0,22873.75,22872.5,0.6667,0.6667,swept_extreme,LVL-000941,opposing_liquidity,LVL-000510,,2,-0.2792,RECORDED_NOT_ACTIVATED,LOSS
