id,family,subtype,segment_id,created_seq,created_ts,lo,hi,events
FVG-000025,fvg,bearish,0,91,2025-07-06 23:31:00+00:00,22986.0,22987.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000026,fvg,bullish,0,94,2025-07-06 23:34:00+00:00,22985.0,22988.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000027,fvg,bearish,0,96,2025-07-06 23:36:00+00:00,22987.25,22988.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000028,fvg,bullish,0,98,2025-07-06 23:38:00+00:00,22987.25,22990.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|EXACT_TOUCH|REVISIT|REVISIT|FAILURE
FVG-000029,fvg,bullish,0,99,2025-07-06 23:39:00+00:00,22992.25,22996.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000030,fvg,bearish,0,102,2025-07-06 23:42:00+00:00,22992.75,22994.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000031,fvg,bearish,0,110,2025-07-06 23:50:00+00:00,22988.75,22990.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000032,fvg,bearish,0,114,2025-07-06 23:54:00+00:00,22984.5,22986.25,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000033,fvg,bullish,0,123,2025-07-07 00:03:00+00:00,22984.0,22986.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000034,fvg,bullish,0,124,2025-07-07 00:04:00+00:00,22987.75,22991.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|FAILURE
FVG-000035,fvg,bearish,0,130,2025-07-07 00:10:00+00:00,22989.75,22995.0,FORMED|FIRST_TOUCH|FIRST_FILL|EXPIRY
FVG-000036,fvg,bearish,0,143,2025-07-07 00:23:00+00:00,22983.75,22985.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|FAILURE
FVG-000037,fvg,bullish,0,150,2025-07-07 00:30:00+00:00,22979.0,22980.75,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000038,fvg,bullish,0,151,2025-07-07 00:31:00+00:00,22980.0,22980.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000039,fvg,bullish,0,153,2025-07-07 00:33:00+00:00,22983.25,22985.25,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|FAILURE
FVG-000040,fvg,bearish,0,156,2025-07-07 00:36:00+00:00,22980.0,22985.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000041,fvg,bearish,0,157,2025-07-07 00:37:00+00:00,22977.0,22978.5,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|FAILURE
FVG-000042,fvg,bearish,0,163,2025-07-07 00:43:00+00:00,22972.5,22975.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000043,fvg,bearish,0,164,2025-07-07 00:44:00+00:00,22969.0,22970.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000044,fvg,bullish,0,166,2025-07-07 00:46:00+00:00,22969.0,22969.5,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000045,fvg,bearish,0,171,2025-07-07 00:51:00+00:00,22970.0,22972.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000046,fvg,bearish,0,172,2025-07-07 00:52:00+00:00,22969.25,22969.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000047,fvg,bearish,0,181,2025-07-07 01:01:00+00:00,22966.5,22970.0,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000048,fvg,bearish,0,182,2025-07-07 01:02:00+00:00,22964.0,22965.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000049,fvg,bearish,0,183,2025-07-07 01:03:00+00:00,22958.5,22961.5,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|REVISIT|FULL_FILL|FAILURE
FVG-000050,fvg,bearish,0,184,2025-07-07 01:04:00+00:00,22954.5,22955.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000051,fvg,bearish,0,185,2025-07-07 01:05:00+00:00,22944.75,22952.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000052,fvg,bearish,0,192,2025-07-07 01:12:00+00:00,22922.25,22924.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|FAILURE
FVG-000053,fvg,bullish,0,196,2025-07-07 01:16:00+00:00,22923.5,22925.5,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|FAILURE
FVG-000054,fvg,bullish,0,197,2025-07-07 01:17:00+00:00,22926.25,22930.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000055,fvg,bullish,0,198,2025-07-07 01:18:00+00:00,22931.5,22940.25,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|MIDPOINT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|FAILURE
FVG-000056,fvg,bullish,0,199,2025-07-07 01:19:00+00:00,22942.0,22942.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000057,fvg,bullish,0,206,2025-07-07 01:26:00+00:00,22946.75,22949.5,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000058,fvg,bullish,0,211,2025-07-07 01:31:00+00:00,22956.25,22957.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000059,fvg,bearish,0,214,2025-07-07 01:34:00+00:00,22949.0,22957.5,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|MIDPOINT|REVISIT|FULL_FILL|FAILURE
