# SOURCE: Forex Factory historical calendar. Supplied by Dylan 2026-08-01, verbatim.
# COLUMNS: date | actual | forecast | previous
 Jul 2, 2026	57K	114K	129K
 Jun 5, 2026	172K	85K	179K
 May 8, 2026	115K	65K	185K
 Apr 3, 2026	178K	65K	-133K
 Mar 6, 2026	-92K	58K	126K
 Feb 11, 2026	130K	66K	48K
 Jan 9, 2026	50K	66K	56K
 Dec 16, 2025	64K	51K	-105K
 Nov 20, 2025	119K	53K	-4K
 Sep 5, 2025	22K	75K	79K
 Aug 1, 2025	73K	106K	14K
 Jul 3, 2025	147K	111K	144K
 Jun 6, 2025	139K	126K	147K
 May 2, 2025	177K	138K	185K
 Apr 4, 2025	228K	137K	117K
 Mar 7, 2025	151K	159K	125K
 Feb 7, 2025	143K	169K	307K
 Jan 10, 2025	256K	164K	212K
 Dec 6, 2024	227K	218K	36K
 Nov 1, 2024	12K	106K	223K
 Oct 4, 2024	254K	147K	159K
 Sep 6, 2024	142K	164K	89K
 Aug 2, 2024	114K	176K	179K
 Jul 5, 2024	206K	191K	218K
 Jun 7, 2024	272K	182K	165K
 May 3, 2024	175K	238K	315K
 Apr 5, 2024	303K	212K	270K
 Mar 8, 2024	275K	198K	229K
 Feb 2, 2024	353K	187K	333K
 Jan 5, 2024	216K	168K	173K
 Dec 8, 2023	199K	184K	150K
 Nov 3, 2023	150K	178K	297K
 Oct 6, 2023	336K	171K	227K
 Sep 1, 2023	187K	169K	157K
 Aug 4, 2023	187K	205K	185K
 Jul 7, 2023	209K	224K	306K
 Jun 2, 2023	339K	193K	294K
 May 5, 2023	253K	181K	165K
 Apr 7, 2023	236K	228K	326K
 Mar 10, 2023	311K	224K	504K
 Feb 3, 2023	517K	193K	260K
 Jan 6, 2023	223K	200K	256K
 Dec 2, 2022	263K	200K	284K
 Nov 4, 2022	261K	197K	315K
 Oct 7, 2022	263K	248K	315K
 Sep 2, 2022	315K	295K	526K
 Aug 5, 2022	528K	250K	398K
 Jul 8, 2022	372K	260K	384K
 Jun 3, 2022	390K	325K	436K
 May 6, 2022	428K	390K	428K
 Apr 1, 2022	431K	492K	750K
 Mar 4, 2022	678K	407K	481K
 Feb 4, 2022	467K	110K	510K
 Jan 7, 2022	199K	426K	249K
 Dec 3, 2021	210K	553K	546K
 Nov 5, 2021	531K	455K	312K
 Oct 8, 2021	194K	490K	366K
 Sep 3, 2021	235K	720K	1053K
 Aug 6, 2021	943K	870K	938K
 Jul 2, 2021	850K	725K	583K
 Jun 4, 2021	559K	645K	278K
 May 7, 2021	266K	990K	770K
 Apr 2, 2021	916K	652K	468K
 Mar 5, 2021	379K	197K	166K
 Feb 5, 2021	49K	85K	-227K
 Jan 8, 2021	-140K	60K	336K
 Dec 4, 2020	245K	480K	610K
 Nov 6, 2020	638K	595K	672K
 Oct 2, 2020	661K	900K	1489K
 Sep 4, 2020	1371K	1375K	1734K
 Aug 7, 2020	1763K	1530K	4791K
 Jul 2, 2020	4800K	3037K	2699K
 Jun 5, 2020	2509K	-7750K	-20687K
