segment_id,session_globex_day,source,side,extreme,family,age_sessions,availability_et,sweep_et,level_id
4,2026-01-02,overnight_high,high,25742.75,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-02 09:48:00-05:00,LVL-4-2026-01-02-overnight_high
4,2026-01-02,overnight_low,low,25448.5,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-02 10:53:00-05:00,LVL-4-2026-01-02-overnight_low
4,2026-01-02,candle_0900_high,high,25697.5,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-02 03:21:00-05:00,LVL-4-2026-01-02-candle_0900_high
4,2026-01-02,candle_0900_low,low,25688.75,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-01 18:01:00-05:00,LVL-4-2026-01-02-candle_0900_low
4,2026-01-02,candle_0930_high,high,25728.75,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-02 04:11:00-05:00,LVL-4-2026-01-02-candle_0930_high
4,2026-01-02,candle_0930_low,low,25677.25,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-01 18:01:00-05:00,LVL-4-2026-01-02-candle_0930_low
4,2026-01-02,candle_1000_high,high,25767.5,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-02 09:49:00-05:00,LVL-4-2026-01-02-candle_1000_high
4,2026-01-02,candle_1000_low,low,25733.5,LIQ_SWEEP,0,2026-01-01 18:00:00-05:00,2026-01-01 18:01:00-05:00,LVL-4-2026-01-02-candle_1000_low
4,2026-01-05,prev_rth_high,high,25803.75,LIQ_SWEEP,1,2026-01-04 18:00:00-05:00,2026-01-06 13:48:00-05:00,LVL-4-2026-01-05-prev_rth_high
4,2026-01-05,prev_rth_low,low,25265.25,LIQ_SWEEP,1,2026-01-04 18:00:00-05:00,2026-01-19 04:58:00-05:00,LVL-4-2026-01-05-prev_rth_low
4,2026-01-05,prev_day_high,high,25803.75,HIST_LEVEL,1,2026-01-04 18:00:00-05:00,2026-01-06 13:48:00-05:00,LVL-4-2026-01-05-prev_day_high
4,2026-01-05,prev_day_low,low,25265.25,HIST_LEVEL,1,2026-01-04 18:00:00-05:00,2026-01-19 04:58:00-05:00,LVL-4-2026-01-05-prev_day_low
4,2026-01-05,overnight_high,high,25647.0,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-05 09:31:00-05:00,LVL-4-2026-01-05-overnight_high
4,2026-01-05,overnight_low,low,25406.5,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-18 18:01:00-05:00,LVL-4-2026-01-05-overnight_low
4,2026-01-05,candle_0900_high,high,25591.5,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-05 08:58:00-05:00,LVL-4-2026-01-05-candle_0900_high
4,2026-01-05,candle_0900_low,low,25575.5,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-04 18:01:00-05:00,LVL-4-2026-01-05-candle_0900_low
4,2026-01-05,candle_0930_high,high,25672.5,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-05 10:29:00-05:00,LVL-4-2026-01-05-candle_0930_high
4,2026-01-05,candle_0930_low,low,25623.5,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-04 18:01:00-05:00,LVL-4-2026-01-05-candle_0930_low
4,2026-01-05,candle_1000_high,high,25628.25,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-05 09:26:00-05:00,LVL-4-2026-01-05-candle_1000_high
4,2026-01-05,candle_1000_low,low,25589.0,LIQ_SWEEP,0,2026-01-04 18:00:00-05:00,2026-01-04 18:01:00-05:00,LVL-4-2026-01-05-candle_1000_low
4,2026-01-06,prev_rth_high,high,25708.0,LIQ_SWEEP,1,2026-01-05 18:00:00-05:00,2026-01-06 09:48:00-05:00,LVL-4-2026-01-06-prev_rth_high
4,2026-01-06,prev_rth_low,low,25538.5,LIQ_SWEEP,1,2026-01-05 18:00:00-05:00,2026-01-06 03:31:00-05:00,LVL-4-2026-01-06-prev_rth_low
4,2026-01-06,prev_day_high,high,25708.0,HIST_LEVEL,1,2026-01-05 18:00:00-05:00,2026-01-06 09:48:00-05:00,LVL-4-2026-01-06-prev_day_high
4,2026-01-06,prev_day_low,low,25406.5,HIST_LEVEL,1,2026-01-05 18:00:00-05:00,2026-01-18 18:01:00-05:00,LVL-4-2026-01-06-prev_day_low
4,2026-01-06,overnight_high,high,25674.25,LIQ_SWEEP,0,2026-01-05 18:00:00-05:00,2026-01-06 09:31:00-05:00,LVL-4-2026-01-06-overnight_high
4,2026-01-06,overnight_low,low,25527.5,LIQ_SWEEP,0,2026-01-05 18:00:00-05:00,2026-01-14 10:47:00-05:00,LVL-4-2026-01-06-overnight_low
4,2026-01-06,candle_0900_high,high,25618.75,LIQ_SWEEP,0,2026-01-05 18:00:00-05:00,2026-01-05 21:49:00-05:00,LVL-4-2026-01-06-candle_0900_high
4,2026-01-06,candle_0900_low,low,25610.25,LIQ_SWEEP,0,2026-01-05 18:00:00-05:00,2026-01-05 18:01:00-05:00,LVL-4-2026-01-06-candle_0900_low
