ts_open_et,ts_close_et,vwap,vwap_+1.0,vwap_-1.0,vwap_+1.618,vwap_-1.618,vwap_+2.0,vwap_-2.0,vwap_+2.618,vwap_-2.618,vwap_+3.0,vwap_-3.0,vwap_+3.618,vwap_-3.618,segment_id
2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,29875.252710303062,29958.297123258082,29792.208297348043,30009.61857046428,29740.886850141844,30041.341536213098,29709.163884393027,30092.6629834193,29657.842437186824,30124.385949168118,29626.119471438007,30175.70739637432,29574.798024231804,6
2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,29875.100154140207,29958.25250961224,29791.947798668174,30009.64066529396,29740.559642986456,30041.404865084278,29708.795443196137,30092.793020765996,29657.40728751442,30124.55722055631,29625.643087724104,30175.94537623803,29574.254932042386,6
2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,29874.916310488676,29958.203066556638,29791.629554420713,30009.674281806638,29740.158339170714,30041.4898226246,29708.34279835275,30092.9610378746,29656.87158310275,30124.776578692563,29625.05604228479,30176.247793942566,29573.584827034785,6
2026-07-06 00:03:00-04:00,2026-07-06 00:04:00-04:00,29874.754209220297,29958.150315756535,29791.35810268406,30009.68910959593,29739.819308844664,30041.54642229277,29707.961996147824,30093.085216132167,29656.423202308426,30124.942528829008,29624.565889611586,30176.481322668402,29573.02709577219,6
2026-07-06 00:04:00-04:00,2026-07-06 00:05:00-04:00,29874.457277839854,29958.020888085568,29790.89366759414,30009.663199217415,29739.251356462293,30041.584498331278,29707.33005734843,30093.22680946313,29655.68774621658,30125.148108576992,29623.766447102716,30176.790419708843,29572.124135970866,6
2026-07-06 00:05:00-04:00,2026-07-06 00:06:00-04:00,29874.02441512236,29957.80780085677,29790.241029387947,30009.58593324064,29738.46289700408,30041.591186591188,29706.45764365353,30093.369318975052,29654.679511269667,30125.3745723256,29622.67425791912,30177.152704709468,29570.89612553525,6
2026-07-06 00:06:00-04:00,2026-07-06 00:07:00-04:00,29873.88154237129,29957.74228319877,29790.02080154381,30009.568221030153,29738.19486371243,30041.60302402625,29706.16006071633,30093.428961857633,29654.33412288495,30125.463764853732,29622.29931988885,30177.289702685113,29570.47338205747,6
2026-07-06 00:07:00-04:00,2026-07-06 00:08:00-04:00,29873.770147068404,29957.6946285301,29789.84566560671,30009.559958073427,29737.98033606338,30041.619109991796,29705.921184145012,30093.484439535125,29654.055854601684,30125.54359145349,29621.99670268332,30177.40892099682,29570.13137313999,6
2026-07-06 00:08:00-04:00,2026-07-06 00:09:00-04:00,29873.65598115818,29957.642921316616,29789.669040999743,30009.546850334533,29737.765111981826,30041.629861475056,29705.682100841303,30093.53379049297,29653.77817182339,30125.616801633492,29621.695160682866,30177.520730651406,29569.791231664953,6
2026-07-06 00:09:00-04:00,2026-07-06 00:10:00-04:00,29873.360600374475,29957.5292261747,29789.19197457425,30009.54543691924,29737.17576382971,30041.69785197493,29705.023348774022,30093.714062719468,29653.007138029483,30125.866477775155,29620.854722973796,30177.882688519694,29568.838512229257,6
