context_conditions,n_context_conditions,occurrence_id,setup_def_version,tf,session_globex_day,segment_id,direction,origin_family,origin_object_id,origin_extreme,trigger_object_id,trigger_index,C_index,trigger_ts_et,availability_et,entry,structural_stop,structural_target,target_kind,risk_points,risk_atr,target_R,expiry_E_bars,resolve_H_1m,exact_graph,reduced_graph,broad_family,structural_score,sc_context_coherence,sc_trigger_clarity,sc_displacement_quality,sc_freshness,sc_invalidation_clarity,sc_target_room,sc_contradiction,primitive_ids,outcome,entry_fill_et,resolution_et,realized_R,favorable,mfe_R,mae_R,time_to_target_min,time_to_invalidation_min,target_still_valid,feat_direction,feat_session,feat_origin_family,feat_time_anchor,feat_displacement_atr,feat_path_efficiency,feat_fvg_tf,feat_fvg_width_atr,feat_vwap_side,feat_nearest_vwap_band,feat_nearest_band_dist_atr,feat_level_family,feat_target_distance_R,feat_opposing_distance_atr,feat_volatility_bucket,feat_risk_atr,prior_global_p,prior_global_R,exact_n,exact_wins,exact_losses,exact_fav_rate,exact_mean_R,reduced_n,reduced_fav_rate,reduced_mean_R,broad_n,broad_fav_rate,broad_mean_R,global_n,w_exact,w_reduced,w_broad,shrunk_favorable_probability,shrunk_expected_R,evidence_count,effective_sample_size,uncertainty_halfwidth,final_predicted_class
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-15m-20260708T1930-L-FVG,cg-recognizer-v1.0.0,15m,2026-07-09,6,long,FVG_FAILURE,FVG-15m-bear-20260708T0015,29465.0,FVG-15m-bull-20260708T1945,12223,12224,2026-07-08 19:30:00-04:00,2026-07-08 20:00:00-04:00,29468.25,29444.25,29480.0,level,24.0,0.46,0.49,20,120,FVG_FAILURE(20260708T0015)|long|15m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|15m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,62.944,1.0,0.9533,0.4382,1.0,0.9115,0.1632,0.7747,ORIGIN:FVG-15m-bear-20260708T0015 ; TRIGGER_FVG:FVG-15m-bull-20260708T1945,WIN,2026-07-08 21:04:00-04:00,2026-07-08 21:05:00-04:00,0.4895833333333333,True,0.781,0.229,1.0,,True,long,2026-07-09,FVG_FAILURE,off_anchor,0.901,0.276,15m,0.46,above,+1.618,0.231,,0.49,0.225,low,0.46,0.7881,0.3096,0,0,0,,,70,0.8286,0.284,277,0.7653,0.3099,826,0.0,0.778,0.874,0.8152,0.2897,0.0,70.0,0.0909,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260708T1940-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-09,6,long,FVG_FAILURE,FVG-5m-bear-20260707T2355,29474.5,FVG-5m-bull-20260708T2005,36671,36676,2026-07-08 19:40:00-04:00,2026-07-08 20:10:00-04:00,29516.25,29503.25,29518.5,level,13.0,0.418,0.173,20,120,FVG_FAILURE(20260707T2355)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,69.005,1.0,0.9852,0.7681,1.0,0.8796,0.0577,0.9276,ORIGIN:FVG-5m-bear-20260707T2355 ; TRIGGER_FVG:FVG-5m-bull-20260708T2005,WIN,2026-07-08 20:40:00-04:00,2026-07-08 20:40:00-04:00,0.17307692307692307,True,1.558,0.288,0.0,,True,long,2026-07-09,FVG_FAILURE,off_anchor,1.841,0.536,5m,0.418,above,+2.0,0.292,,0.173,0.072,normal,0.418,0.7881,0.3096,0,0,0,,,207,0.744,0.3187,277,0.7653,0.3099,826,0.0,0.912,0.874,0.7461,0.3179,0.0,207.0,0.0593,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260708T1940-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-09,6,long,FVG_FAILURE,FVG-5m-bear-20260708T1605,29450.5,FVG-5m-bull-20260708T2005,36671,36676,2026-07-08 19:40:00-04:00,2026-07-08 20:10:00-04:00,29516.25,29503.25,29518.5,level,13.0,0.418,0.173,20,120,FVG_FAILURE(20260708T1605)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,69.005,1.0,0.9852,0.7681,1.0,0.8796,0.0577,0.9276,ORIGIN:FVG-5m-bear-20260708T1605 ; TRIGGER_FVG:FVG-5m-bull-20260708T2005,WIN,2026-07-08 20:40:00-04:00,2026-07-08 20:40:00-04:00,0.17307692307692307,True,1.558,0.288,0.0,,True,long,2026-07-09,FVG_FAILURE,off_anchor,1.841,0.536,5m,0.418,above,+2.0,0.292,,0.173,0.072,normal,0.418,0.7881,0.3096,0,0,0,,,207,0.744,0.3187,277,0.7653,0.3099,826,0.0,0.912,0.874,0.7461,0.3179,0.0,207.0,0.0593,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-15m-20260708T1945-L-FVG,cg-recognizer-v1.0.0,15m,2026-07-09,6,long,FVG_FAILURE,FVG-15m-bear-20260708T0000,29481.25,FVG-15m-bull-20260708T2000,12224,12225,2026-07-08 19:45:00-04:00,2026-07-08 20:15:00-04:00,29491.0,29487.0,29492.5,level,4.0,0.079,0.375,20,120,FVG_FAILURE(20260708T0000)|long|15m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|15m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,58.781,1.0,0.4604,0.8639,1.0,0.3253,0.125,0.9703,ORIGIN:FVG-15m-bear-20260708T0000 ; TRIGGER_FVG:FVG-15m-bull-20260708T2000,AMBIGUOUS,2026-07-08 20:57:00-04:00,2026-07-08 20:57:00-04:00,,False,5.5,1.188,,,True,long,2026-07-09,FVG_FAILURE,off_anchor,2.809,0.728,15m,0.079,above,+1.618,0.11,,0.375,0.03,low,0.079,0.7881,0.3096,0,0,0,,,70,0.8286,0.284,277,0.7653,0.3099,826,0.0,0.778,0.874,0.8152,0.2897,0.0,70.0,0.0909,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260708T2000-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-09,6,long,FVG_FAILURE,FVG-5m-bear-20260707T2125,29519.75,FVG-5m-bull-20260708T2005,36675,36676,2026-07-08 20:00:00-04:00,2026-07-08 20:10:00-04:00,29516.25,29503.25,29518.5,level,13.0,0.418,0.173,20,120,FVG_FAILURE(20260707T2125)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,69.005,1.0,0.9852,0.7681,1.0,0.8796,0.0577,0.9276,ORIGIN:FVG-5m-bear-20260707T2125 ; TRIGGER_FVG:FVG-5m-bull-20260708T2005,WIN,2026-07-08 20:40:00-04:00,2026-07-08 20:40:00-04:00,0.17307692307692307,True,1.558,0.288,0.0,,True,long,2026-07-09,FVG_FAILURE,off_anchor,1.841,0.536,5m,0.418,above,+2.0,0.292,,0.173,0.072,normal,0.418,0.7881,0.3096,0,0,0,,,207,0.744,0.3187,277,0.7653,0.3099,826,0.0,0.912,0.874,0.7461,0.3179,0.0,207.0,0.0593,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260708T2000-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-09,6,long,FVG_FAILURE,FVG-5m-bear-20260707T2345,29497.75,FVG-5m-bull-20260708T2005,36675,36676,2026-07-08 20:00:00-04:00,2026-07-08 20:10:00-04:00,29516.25,29503.25,29518.5,level,13.0,0.418,0.173,20,120,FVG_FAILURE(20260707T2345)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,69.005,1.0,0.9852,0.7681,1.0,0.8796,0.0577,0.9276,ORIGIN:FVG-5m-bear-20260707T2345 ; TRIGGER_FVG:FVG-5m-bull-20260708T2005,WIN,2026-07-08 20:40:00-04:00,2026-07-08 20:40:00-04:00,0.17307692307692307,True,1.558,0.288,0.0,,True,long,2026-07-09,FVG_FAILURE,off_anchor,1.841,0.536,5m,0.418,above,+2.0,0.292,,0.173,0.072,normal,0.418,0.7881,0.3096,0,0,0,,,207,0.744,0.3187,277,0.7653,0.3099,826,0.0,0.912,0.874,0.7461,0.3179,0.0,207.0,0.0593,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-15m-20260708T2145-S-FVG,cg-recognizer-v1.0.0,15m,2026-07-09,6,short,FVG_FAILURE,FVG-15m-bull-20260708T2000,29491.0,FVG-15m-bear-20260708T2245,12232,12236,2026-07-08 21:45:00-04:00,2026-07-08 23:00:00-04:00,29467.75,29517.25,29460.0,level,49.5,0.731,0.157,20,120,FVG_FAILURE(20260708T2000)|short|15m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|15m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,65.704,1.0,0.7991,0.7208,1.0,0.9343,0.0522,0.8856,ORIGIN:FVG-15m-bull-20260708T2000 ; TRIGGER_FVG:FVG-15m-bear-20260708T2245,WIN,2026-07-08 23:26:00-04:00,2026-07-08 23:26:00-04:00,0.15656565656565657,True,0.278,0.035,0.0,,True,short,2026-07-09,FVG_FAILURE,off_anchor,1.421,0.494,15m,0.731,above,+1.0,0.441,,0.157,0.114,high,0.731,0.7881,0.3096,0,0,0,,,66,0.7879,0.3042,272,0.7537,0.2612,826,0.0,0.767,0.872,0.781,0.2956,0.0,66.0,0.0998,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-15m-20260708T2145-S-FVG,cg-recognizer-v1.0.0,15m,2026-07-09,6,short,FVG_FAILURE,FVG-15m-bull-20260708T2015,29518.25,FVG-15m-bear-20260708T2245,12232,12236,2026-07-08 21:45:00-04:00,2026-07-08 23:00:00-04:00,29467.75,29517.25,29460.0,level,49.5,0.731,0.157,20,120,FVG_FAILURE(20260708T2015)|short|15m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|15m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,65.704,1.0,0.7991,0.7208,1.0,0.9343,0.0522,0.8856,ORIGIN:FVG-15m-bull-20260708T2015 ; TRIGGER_FVG:FVG-15m-bear-20260708T2245,WIN,2026-07-08 23:26:00-04:00,2026-07-08 23:26:00-04:00,0.15656565656565657,True,0.278,0.035,0.0,,True,short,2026-07-09,FVG_FAILURE,off_anchor,1.421,0.494,15m,0.731,above,+1.0,0.441,,0.157,0.114,high,0.731,0.7881,0.3096,0,0,0,,,66,0.7879,0.3042,272,0.7537,0.2612,826,0.0,0.767,0.872,0.781,0.2956,0.0,66.0,0.0998,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260708T2205-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-09,6,long,FVG_FAILURE,FVG-5m-bear-20260708T2200,29475.5,FVG-5m-bull-20260708T2210,36700,36701,2026-07-08 22:05:00-04:00,2026-07-08 22:15:00-04:00,29501.75,29466.0,29504.542202695284,vwap_band,35.75,0.907,0.078,20,120,FVG_FAILURE(20260708T2200)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,65.477,1.0,0.7272,0.808,1.0,0.8624,0.026,0.9292,ORIGIN:FVG-5m-bear-20260708T2200 ; TRIGGER_FVG:FVG-5m-bull-20260708T2210,WIN,2026-07-08 22:35:00-04:00,2026-07-08 22:35:00-04:00,0.0781035718960497,True,0.266,0.51,0.0,,True,long,2026-07-09,FVG_FAILURE,off_anchor,1.953,0.616,5m,0.907,above,+1.618,0.071,,0.078,0.071,normal,0.907,0.7881,0.3096,0,0,0,,,207,0.744,0.3187,277,0.7653,0.3099,826,0.0,0.912,0.874,0.7461,0.3179,0.0,207.0,0.0593,FAVORABLE
origin=VWAP_BAND | anchor=off_anchor | vwap_above,3,OC-15m-20260708T2215-S-VWA,cg-recognizer-v1.0.0,15m,2026-07-09,6,short,VWAP_BAND,VWAP+2.0-2026-07-09,29552.29840013012,FVG-15m-bear-20260708T2245,12234,12236,2026-07-08 22:15:00-04:00,2026-07-08 23:00:00-04:00,29467.75,29517.25,29460.0,level,49.5,0.731,0.157,20,120,VWAP_BAND(09)|short|15m->DISP->FVG_bear->FILL,ORIGIN_VWAP_BAND|short|15m->DISPLACEMENT->FVG_RETEST,VWAP_BAND|short,65.704,1.0,0.7991,0.7208,1.0,0.9343,0.0522,0.8856,ORIGIN:VWAP+2.0-2026-07-09 ; TRIGGER_FVG:FVG-15m-bear-20260708T2245,WIN,2026-07-08 23:26:00-04:00,2026-07-08 23:26:00-04:00,0.15656565656565657,True,0.278,0.035,0.0,,True,short,2026-07-09,VWAP_BAND,off_anchor,1.421,0.494,15m,0.731,above,+1.0,0.441,,0.157,0.114,high,0.731,0.7881,0.3096,0,0,0,,,27,0.7407,0.221,76,0.8158,0.4603,826,0.0,0.574,0.655,0.7686,0.3007,0.0,27.0,0.1591,FAVORABLE
