candidate_id,episode_id,branch_id,branch_state,direction,entry_mode,continuation_or_fade,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,effective_sample,unique_sessions,shrunk_expected_R,uncertainty,qualification,outcome
SETUP-043899,EP-033270,BR-003240,CONTINUATION,long,retest,continuation,SWING_LOW_SWEEP_BELOW -> RETEST_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4439,23015.25,23013.75,23016.0,0.5,0.5,6,6,0.2205,0.27,RECORDED_NOT_ACTIVATED,LOSS
SETUP-033645,EP-033276,BR-003241,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4440,23012.75,23011.5,23013.75,0.8,0.8,6,6,-0.1081,0.3492,RECORDED_NOT_ACTIVATED,WIN
SETUP-043874,EP-033276,BR-003242,CONTINUATION,short,retest,continuation,SWING_HIGH_SWEEP_BELOW -> RETEST_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4440,23012.5,23014.0,23010.75,1.1667,1.0,5,5,-0.2399,0.3586,RECORDED_NOT_ACTIVATED,LOSS
SETUP-030371,EP-033282,BR-003243,FADE,long,formation_close,fade,SWING_LOW_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4443,23011.0,23010.0,23012.5,1.5,1.0,6,6,-0.0714,0.348,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-033373,EP-033283,BR-003244,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4443,23011.0,23010.0,23012.5,1.5,1.0,6,6,-0.1145,0.3492,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-033436,EP-033284,BR-003245,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4443,23011.0,23010.0,23012.5,1.5,1.0,6,6,-0.1145,0.3492,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-002074,EP-033286,BR-003246,FADE,short,next_bar,fade,BEARISH_IFVG_ACTIVATION -> NEXT_BAR_SHORT_TRIGGER,INVERSION_ACTIVATION -> ENTRY_TRIGGER,4444,23011.75,23013.75,23010.75,0.5,0.5,4,4,0.0706,0.4075,RECORDED_NOT_ACTIVATED,WIN
SETUP-002477,EP-033286,BR-003247,FADE,short,retest,fade,BEARISH_IFVG_ACTIVATION -> RETEST_SHORT_TRIGGER,INVERSION_ACTIVATION -> ENTRY_TRIGGER,4444,23011.75,23013.75,23010.75,0.5,0.5,4,4,0.2467,0.3161,QUALIFIED_PENDING_TRIGGER,WIN
SETUP-004827,EP-033299,BR-003248,FADE,long,formation_close,fade,HL_0930_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4446,23005.5,23003.75,23006.5,0.5714,0.5714,1,1,-0.2092,1.0,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-033047,EP-033300,BR-003249,FADE,long,formation_close,fade,SWING_LOW_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4446,23005.5,23003.75,23006.5,0.5714,0.5714,6,6,-0.0499,0.348,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-033539,EP-033301,BR-003250,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4446,23005.5,23003.75,23006.5,0.5714,0.5714,6,6,-0.1129,0.3492,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-033701,EP-033302,BR-003251,FADE,long,formation_close,fade,SWING_LOW_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4446,23005.5,23003.75,23006.5,0.5714,0.5714,6,6,-0.0492,0.348,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-029105,EP-033306,BR-003252,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4447,22999.75,22998.5,23000.5,0.6,0.6,6,6,-0.1176,0.3492,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-030044,EP-033307,BR-003253,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4447,22999.75,22998.5,23000.5,0.6,0.6,6,6,-0.1197,0.3492,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-043886,EP-033063,BR-003254,CONTINUATION,long,retest,continuation,BULLISH_IFVG_ACTIVATION -> RETEST_LONG_TRIGGER,INVERSION_ACTIVATION -> ENTRY_TRIGGER,4447,23003.5,23002.0,23004.25,0.5,0.5,4,4,0.0772,0.4084,QUALIFIED_PENDING_TRIGGER,LOSS
SETUP-029829,EP-033313,BR-003255,FADE,long,formation_close,fade,SWING_HIGH_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4448,22996.25,22994.75,22997.0,0.5,0.5,6,6,-0.1106,0.3492,RECORDED_NOT_ACTIVATED,WIN
