branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-011011,GEP-002459,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-011035,GEP-002464,H_ifvg_retest,EXPIRED,expiry,3
GBR-011037,GEP-002465,H_fvg_first_touch,EXPIRED,expiry,1
GBR-011038,GEP-002465,H_fvg_first_fill,EXPIRED,expiry,1
GBR-011039,GEP-002465,H_fvg_midpoint,EXPIRED,expiry,1
GBR-011040,GEP-002465,H_fvg_full_fill,EXPIRED,expiry,1
GBR-011042,GEP-002418,H_liquidity_sweep_reclaim_fade,EXPIRED,expiry,1
GBR-011045,GEP-002466,H_fvg_first_touch,EXPIRED,expiry,1
GBR-011046,GEP-002466,H_fvg_first_fill,EXPIRED,expiry,1
GBR-011047,GEP-002466,H_fvg_midpoint,EXPIRED,expiry,1
GBR-011048,GEP-002466,H_fvg_full_fill,EXPIRED,expiry,1
GBR-011053,GEP-002467,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-011055,GEP-002468,H_liquidity_break_failed_fade,EXPIRED,expiry,1
GBR-011058,GEP-002469,H_fvg_no_fill_continuation,EXPIRED,expiry,1
GBR-011059,GEP-002469,H_fvg_first_touch,EXPIRED,expiry,1
GBR-011060,GEP-002469,H_fvg_first_fill,EXPIRED,expiry,1
GBR-011061,GEP-002469,H_fvg_midpoint,EXPIRED,expiry,1
GBR-011062,GEP-002469,H_fvg_full_fill,EXPIRED,expiry,1
GBR-011063,GEP-002470,H_fvg_no_fill_continuation,EXPIRED,expiry,1
GBR-011064,GEP-002470,H_fvg_first_touch,EXPIRED,expiry,1
GBR-011065,GEP-002470,H_fvg_first_fill,EXPIRED,expiry,1
GBR-011066,GEP-002470,H_fvg_midpoint,EXPIRED,expiry,1
GBR-011067,GEP-002470,H_fvg_full_fill,EXPIRED,expiry,1
GBR-011069,GEP-002471,H_fvg_first_touch,EXPIRED,inactive,1
GBR-011070,GEP-002471,H_fvg_first_fill,EXPIRED,inactive,1
GBR-011071,GEP-002471,H_fvg_midpoint,EXPIRED,inactive,1
GBR-011072,GEP-002471,H_fvg_full_fill,EXPIRED,inactive,1
GBR-011098,GEP-002473,H_ifvg_retest,EXPIRED,inactive,3
GBR-011101,GEP-002474,H_ifvg_retest,EXPIRED,inactive,3
GBR-011104,GEP-002475,H_ifvg_retest,EXPIRED,inactive,3
GBR-011107,GEP-002476,H_ifvg_retest,EXPIRED,inactive,3
GBR-011111,GEP-002477,H_fvg_first_touch,EXPIRED,inactive,1
GBR-011112,GEP-002477,H_fvg_first_fill,EXPIRED,inactive,1
GBR-011113,GEP-002477,H_fvg_midpoint,EXPIRED,inactive,1
GBR-011114,GEP-002477,H_fvg_full_fill,EXPIRED,inactive,1
GBR-011116,GEP-002448,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011119,GEP-002459,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011122,GEP-002478,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011130,GEP-002481,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011132,GEP-002482,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011138,GEP-002485,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
