session,day,event_type,event_subtype
2025-07-13,2025-07-14,displacement,BAD_BEARISH_DISPLACEMENT x18
2025-07-13,2025-07-14,displacement,BAD_BULLISH_DISPLACEMENT x13
2025-07-13,2025-07-14,displacement,DISPLACEMENT_CONTINUATION x195
2025-07-13,2025-07-14,displacement,DISPLACEMENT_FAILED_CONTINUATION x41
2025-07-13,2025-07-14,displacement,GOOD_BEARISH_DISPLACEMENT x48
2025-07-13,2025-07-14,displacement,GOOD_BULLISH_DISPLACEMENT x59
2025-07-13,2025-07-14,displacement,MIXED_BEARISH_DISPLACEMENT x141
2025-07-13,2025-07-14,displacement,MIXED_BULLISH_DISPLACEMENT x147
2025-07-13,2025-07-14,fvg,BEARISH_FVG_CONTINUATION x2
2025-07-13,2025-07-14,fvg,BEARISH_FVG_EXACT_TOUCH x20
2025-07-13,2025-07-14,fvg,BEARISH_FVG_EXPIRY x6
2025-07-13,2025-07-14,fvg,BEARISH_FVG_FAILURE x93
2025-07-13,2025-07-14,fvg,BEARISH_FVG_FIRST_FILL x96
2025-07-13,2025-07-14,fvg,BEARISH_FVG_FIRST_TOUCH x96
2025-07-13,2025-07-14,fvg,BEARISH_FVG_FORMED x96
2025-07-13,2025-07-14,fvg,BEARISH_FVG_FULL_FILL x94
2025-07-13,2025-07-14,fvg,BEARISH_FVG_MIDPOINT x95
2025-07-13,2025-07-14,fvg,BEARISH_FVG_REVISIT x497
2025-07-13,2025-07-14,fvg,BULLISH_FVG_CONTINUATION x2
2025-07-13,2025-07-14,fvg,BULLISH_FVG_EXACT_TOUCH x22
2025-07-13,2025-07-14,fvg,BULLISH_FVG_EXPIRY x5
2025-07-13,2025-07-14,fvg,BULLISH_FVG_FAILURE x114
2025-07-13,2025-07-14,fvg,BULLISH_FVG_FIRST_FILL x120
2025-07-13,2025-07-14,fvg,BULLISH_FVG_FIRST_TOUCH x119
2025-07-13,2025-07-14,fvg,BULLISH_FVG_FORMED x122
2025-07-13,2025-07-14,fvg,BULLISH_FVG_FULL_FILL x121
2025-07-13,2025-07-14,fvg,BULLISH_FVG_MIDPOINT x118
2025-07-13,2025-07-14,fvg,BULLISH_FVG_REVISIT x336
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_ACCEPTANCE_ABOVE x5
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_ACCEPTANCE_BELOW x4
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_BREAK x1
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_CONTINUATION x8
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_EXACT_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_EXPIRY x1
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_FORMED x1
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_RECLAIM x11
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_REJECTION x10
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_REVISIT x23
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_SWEEP_ABOVE x4
2025-07-13,2025-07-14,hist_level,HL_0900_HIGH_SWEEP_BELOW x6
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_ACCEPTANCE_ABOVE x9
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_ACCEPTANCE_BELOW x7
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_BREAK x1
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_CONTINUATION x13
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_EXACT_TOUCH x4
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_EXPIRY x1
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_FORMED x1
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_RECLAIM x21
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_REJECTION x22
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_REVISIT x47
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_SWEEP_ABOVE x9
2025-07-13,2025-07-14,hist_level,HL_0900_LOW_SWEEP_BELOW x13
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_ACCEPTANCE_ABOVE x4
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_ACCEPTANCE_BELOW x3
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_BREAK x1
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_CONTINUATION x6
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_EXACT_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_EXPIRY x1
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_FORMED x1
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_RECLAIM x9
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_REJECTION x16
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_REVISIT x25
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_SWEEP_ABOVE x8
2025-07-13,2025-07-14,hist_level,HL_0930_HIGH_SWEEP_BELOW x8
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_ACCEPTANCE_ABOVE x6
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_ACCEPTANCE_BELOW x5
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_BREAK x1
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_CONTINUATION x10
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_EXPIRY x1
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_FORMED x1
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_RECLAIM x19
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_REJECTION x19
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_REVISIT x38
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_SWEEP_ABOVE x6
2025-07-13,2025-07-14,hist_level,HL_0930_LOW_SWEEP_BELOW x13
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_ACCEPTANCE_ABOVE x4
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_ACCEPTANCE_BELOW x1
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_BREAK x1
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_CONTINUATION x5
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_EXPIRY x1
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_FORMED x1
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_RECLAIM x8
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_REJECTION x10
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_REVISIT x18
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_SWEEP_ABOVE x6
2025-07-13,2025-07-14,hist_level,HL_1000_HIGH_SWEEP_BELOW x4
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_ACCEPTANCE_ABOVE x4
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_ACCEPTANCE_BELOW x1
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_BREAK x1
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_CONTINUATION x5
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_EXPIRY x1
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_FORMED x1
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_RECLAIM x7
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_REJECTION x9
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_REVISIT x15
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_SWEEP_ABOVE x6
2025-07-13,2025-07-14,hist_level,HL_1000_LOW_SWEEP_BELOW x3
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_ACCEPTANCE_ABOVE x5
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_ACCEPTANCE_BELOW x4
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_BREAK x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_CONTINUATION x8
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_EXACT_TOUCH x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_EXPIRY x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_FORMED x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_RECLAIM x9
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_REJECTION x10
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_REVISIT x19
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_SWEEP_ABOVE x4
2025-07-13,2025-07-14,hist_level,PREV_DAY_HIGH_SWEEP_BELOW x6
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_ACCEPTANCE_ABOVE x2
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_ACCEPTANCE_BELOW x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_BREAK x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_CONTINUATION x3
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_EXPIRY x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_FORMED x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_RECLAIM x2
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_REJECTION x1
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_REVISIT x3
2025-07-13,2025-07-14,hist_level,PREV_DAY_LOW_SWEEP_BELOW x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_ACCEPTANCE_ABOVE x3
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_ACCEPTANCE_BELOW x3
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_BREAK x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_CONTINUATION x6
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_EXACT_TOUCH x2
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_EXPIRY x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_FORMED x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_RECLAIM x6
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_REJECTION x9
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_REVISIT x17
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_SWEEP_ABOVE x3
2025-07-13,2025-07-14,hist_level,PREV_RTH_CLOSE_SWEEP_BELOW x6
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_ACCEPTANCE_ABOVE x5
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_ACCEPTANCE_BELOW x4
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_BREAK x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_CONTINUATION x8
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_EXACT_TOUCH x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_EXPIRY x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_FIRST_TOUCH x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_FORMED x1
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_RECLAIM x9
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_REJECTION x10
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_REVISIT x19
2025-07-13,2025-07-14,hist_level,PREV_RTH_HIGH_SWEEP_ABOVE x4
