id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,C_index
FVG-1m-bull-20260706T0005,NQ,bull,1m,phase1-v1.0.0,2026-07-06 00:03:00-04:00,2026-07-06 00:04:00-04:00,2026-07-06 00:05:00-04:00,29725.0,29706.0,29745.25,29732.5,29724.0,29732.5,29725.0,29732.5,29728.75,2026-07-06 00:06:00-04:00,2026-07-06 00:07:00-04:00,2026-07-06 00:08:00-04:00,2026-07-06 00:07:00-04:00,2026-07-06 00:10:00-04:00,2026-07-06 00:10:00-04:00,504912
FVG-1m-bull-20260706T0014,NQ,bull,1m,phase1-v1.0.0,2026-07-06 00:12:00-04:00,2026-07-06 00:13:00-04:00,2026-07-06 00:14:00-04:00,29768.0,29755.0,29778.0,29768.25,29766.5,29771.0,29768.0,29768.25,29768.125,2026-07-06 00:15:00-04:00,2026-07-06 01:30:00-04:00,,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,504921
FVG-1m-bull-20260706T0019,NQ,bull,1m,phase1-v1.0.0,2026-07-06 00:17:00-04:00,2026-07-06 00:18:00-04:00,2026-07-06 00:19:00-04:00,29786.75,29775.75,29794.0,29789.0,29778.0,29789.75,29786.75,29789.0,29787.875,2026-07-06 00:20:00-04:00,2026-07-06 00:21:00-04:00,2026-07-06 00:22:00-04:00,2026-07-06 00:22:00-04:00,2026-07-06 00:22:00-04:00,2026-07-06 00:22:00-04:00,504926
FVG-1m-bull-20260706T0038,NQ,bull,1m,phase1-v1.0.0,2026-07-06 00:36:00-04:00,2026-07-06 00:37:00-04:00,2026-07-06 00:38:00-04:00,29808.25,29800.75,29820.5,29808.75,29803.5,29814.75,29808.25,29808.75,29808.5,2026-07-06 00:39:00-04:00,2026-07-06 00:41:00-04:00,,2026-07-06 00:41:00-04:00,2026-07-06 00:41:00-04:00,2026-07-06 00:41:00-04:00,504945
FVG-1m-bull-20260706T0043,NQ,bull,1m,phase1-v1.0.0,2026-07-06 00:41:00-04:00,2026-07-06 00:42:00-04:00,2026-07-06 00:43:00-04:00,29826.0,29816.5,29836.0,29828.25,29818.0,29831.75,29826.0,29828.25,29827.125,2026-07-06 00:44:00-04:00,2026-07-06 00:45:00-04:00,2026-07-06 00:46:00-04:00,2026-07-06 00:45:00-04:00,2026-07-06 00:46:00-04:00,2026-07-06 00:46:00-04:00,504950
FVG-1m-bear-20260706T0102,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 01:01:00-04:00,2026-07-06 01:02:00-04:00,29830.5,29818.5,29815.75,29805.5,29821.25,29814.25,29815.75,29818.5,29817.125,2026-07-06 01:03:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,504969
FVG-1m-bear-20260706T0103,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:01:00-04:00,2026-07-06 01:02:00-04:00,2026-07-06 01:03:00-04:00,29821.75,29814.25,29810.5,29801.75,29814.5,29807.0,29810.5,29814.25,29812.375,2026-07-06 01:04:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,2026-07-06 01:08:00-04:00,504970
FVG-1m-bear-20260706T0104,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:02:00-04:00,2026-07-06 01:03:00-04:00,2026-07-06 01:04:00-04:00,29815.75,29805.5,29802.25,29792.75,29807.0,29801.75,29802.25,29805.5,29803.875,2026-07-06 01:05:00-04:00,2026-07-06 01:06:00-04:00,,2026-07-06 01:06:00-04:00,2026-07-06 01:06:00-04:00,2026-07-06 01:06:00-04:00,504971
FVG-1m-bear-20260706T0121,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:19:00-04:00,2026-07-06 01:20:00-04:00,2026-07-06 01:21:00-04:00,29815.25,29809.0,29803.75,29787.25,29812.5,29802.5,29803.75,29809.0,29806.375,2026-07-06 01:22:00-04:00,2026-07-06 02:02:00-04:00,2026-07-06 02:34:00-04:00,2026-07-06 02:02:00-04:00,2026-07-06 02:34:00-04:00,2026-07-06 02:34:00-04:00,504988
FVG-1m-bear-20260706T0128,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:26:00-04:00,2026-07-06 01:27:00-04:00,2026-07-06 01:28:00-04:00,29794.75,29787.5,29785.0,29777.75,29789.5,29780.75,29785.0,29787.5,29786.25,2026-07-06 01:29:00-04:00,2026-07-06 01:41:00-04:00,2026-07-06 01:41:00-04:00,2026-07-06 01:41:00-04:00,2026-07-06 01:41:00-04:00,2026-07-06 01:41:00-04:00,504995
