instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,segment_id,end_index
NQ,15m,bull,1,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,-10.0,0,0.0,0.0,10.0,30.0,32.5,,0.669683257918552,0.18099547511312217,55.25,False,6,35470
NQ,15m,bear,1,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,10.0,1,1.0,10.0,10.0,30.0,32.5,,0.33031674208144796,0.18099547511312217,55.25,False,6,35470
NQ,15m,bull,2,phase1-v1.0.0,2026-07-05 23:30:00-04:00,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,-59.25,0,0.0,0.0,50.0,57.5,62.5,10.5,0.669683257918552,0.47878787878787876,123.75,False,6,35470
NQ,15m,bear,2,phase1-v1.0.0,2026-07-05 23:30:00-04:00,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,59.25,2,1.0,29.5,50.0,57.5,62.5,10.5,0.33031674208144796,0.47878787878787876,123.75,False,6,35470
NQ,15m,bull,3,phase1-v1.0.0,2026-07-05 23:15:00-04:00,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,-41.75,1,0.3333333333333333,16.0,20.0,30.0,50.0,26.5,0.669683257918552,0.2511278195488722,166.25,False,6,35470
NQ,15m,bear,3,phase1-v1.0.0,2026-07-05 23:15:00-04:00,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,41.75,2,0.6666666666666666,29.5,20.0,30.0,50.0,26.5,0.33031674208144796,0.2511278195488722,166.25,False,6,35470
NQ,15m,bull,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,44.5,1,1.0,44.5,85.0,72.5,86.25,,0.9566666666666667,0.5933333333333334,75.0,False,6,35471
NQ,15m,bear,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,-44.5,0,0.0,0.0,85.0,72.5,86.25,,0.043333333333333335,0.5933333333333334,75.0,False,6,35471
NQ,15m,bull,2,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,34.5,1,0.5,44.5,47.5,51.25,59.375,45.5,0.9566666666666667,0.2648752399232246,130.25,False,6,35471
NQ,15m,bear,2,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,-34.5,1,0.5,10.0,47.5,51.25,59.375,45.5,0.043333333333333335,0.2648752399232246,130.25,False,6,35471
