ifvg_id,source_fvg_id,instrument,tf,param_version,original_direction,ifvg_direction,source_lower,source_upper,conversion_close,conversion_et,source_availability_et
FVG-1h-bear-20260702T1100-iFVG,FVG-1h-bear-20260702T1100,NQ,1h,phase1-v1.0.0,bear,bull,29852.0,30007.75,30025.25,2026-07-06 11:00:00-04:00,2026-07-02 12:00:00-04:00
FVG-1h-bull-20260702T2200-iFVG,FVG-1h-bull-20260702T2200,NQ,1h,phase1-v1.0.0,bull,bear,29638.75,29680.5,29625.5,2026-07-07 01:00:00-04:00,2026-07-02 23:00:00-04:00
FVG-1h-bull-20260702T2300-iFVG,FVG-1h-bull-20260702T2300,NQ,1h,phase1-v1.0.0,bull,bear,29699.5,29717.75,29668.25,2026-07-07 00:00:00-04:00,2026-07-03 00:00:00-04:00
FVG-1h-bear-20260705T2200-iFVG,FVG-1h-bear-20260705T2200,NQ,1h,phase1-v1.0.0,bear,bull,29818.75,29845.0,29847.25,2026-07-06 03:00:00-04:00,2026-07-05 23:00:00-04:00
FVG-1h-bear-20260706T1900-iFVG,FVG-1h-bear-20260706T1900,NQ,1h,phase1-v1.0.0,bear,bull,29928.75,29931.25,29973.75,2026-07-09 14:00:00-04:00,2026-07-06 20:00:00-04:00
FVG-1h-bear-20260706T2100-iFVG,FVG-1h-bear-20260706T2100,NQ,1h,phase1-v1.0.0,bear,bull,29835.75,29839.25,29909.5,2026-07-09 10:00:00-04:00,2026-07-06 22:00:00-04:00
FVG-1h-bear-20260707T0000-iFVG,FVG-1h-bear-20260707T0000,NQ,1h,phase1-v1.0.0,bear,bull,29680.0,29738.75,29909.5,2026-07-09 10:00:00-04:00,2026-07-07 01:00:00-04:00
FVG-1h-bear-20260707T1000-iFVG,FVG-1h-bear-20260707T1000,NQ,1h,phase1-v1.0.0,bear,bull,29505.75,29622.0,29686.25,2026-07-09 04:00:00-04:00,2026-07-07 11:00:00-04:00
FVG-1h-bear-20260707T1100-iFVG,FVG-1h-bear-20260707T1100,NQ,1h,phase1-v1.0.0,bear,bull,29389.25,29420.25,29540.0,2026-07-07 13:00:00-04:00,2026-07-07 12:00:00-04:00
FVG-1h-bull-20260707T1300-iFVG,FVG-1h-bull-20260707T1300,NQ,1h,phase1-v1.0.0,bull,bear,29389.25,29510.0,29382.75,2026-07-07 19:00:00-04:00,2026-07-07 14:00:00-04:00
FVG-1h-bear-20260707T1500-iFVG,FVG-1h-bear-20260707T1500,NQ,1h,phase1-v1.0.0,bear,bull,29410.0,29510.0,29543.5,2026-07-07 21:00:00-04:00,2026-07-07 16:00:00-04:00
FVG-1h-bull-20260707T2100-iFVG,FVG-1h-bull-20260707T2100,NQ,1h,phase1-v1.0.0,bull,bear,29407.0,29427.0,29347.5,2026-07-08 02:00:00-04:00,2026-07-07 22:00:00-04:00
FVG-1h-bear-20260708T0100-iFVG,FVG-1h-bear-20260708T0100,NQ,1h,phase1-v1.0.0,bear,bull,29447.25,29461.25,29491.25,2026-07-08 20:00:00-04:00,2026-07-08 02:00:00-04:00
FVG-1h-bear-20260708T0200-iFVG,FVG-1h-bear-20260708T0200,NQ,1h,phase1-v1.0.0,bear,bull,29363.5,29376.75,29381.0,2026-07-08 04:00:00-04:00,2026-07-08 03:00:00-04:00
FVG-1h-bear-20260708T0500-iFVG,FVG-1h-bear-20260708T0500,NQ,1h,phase1-v1.0.0,bear,bull,29034.0,29281.0,29367.5,2026-07-08 10:00:00-04:00,2026-07-08 06:00:00-04:00
FVG-1h-bull-20260708T0900-iFVG,FVG-1h-bull-20260708T0900,NQ,1h,phase1-v1.0.0,bull,bear,29124.75,29148.0,29096.25,2026-07-08 12:00:00-04:00,2026-07-08 10:00:00-04:00
FVG-1h-bull-20260708T2000-iFVG,FVG-1h-bull-20260708T2000,NQ,1h,phase1-v1.0.0,bull,bear,29449.25,29486.25,29449.0,2026-07-08 22:00:00-04:00,2026-07-08 21:00:00-04:00
FVG-1h-bull-20260709T1400-iFVG,FVG-1h-bull-20260709T1400,NQ,1h,phase1-v1.0.0,bull,bear,29924.25,29929.5,29922.0,2026-07-09 19:00:00-04:00,2026-07-09 15:00:00-04:00
FVG-1h-bear-20260710T0100-iFVG,FVG-1h-bear-20260710T0100,NQ,1h,phase1-v1.0.0,bear,bull,29897.0,29912.5,29923.0,2026-07-10 10:00:00-04:00,2026-07-10 02:00:00-04:00
FVG-1h-bear-20260710T0200-iFVG,FVG-1h-bear-20260710T0200,NQ,1h,phase1-v1.0.0,bear,bull,29856.75,29875.25,29923.0,2026-07-10 10:00:00-04:00,2026-07-10 03:00:00-04:00
FVG-1h-bear-20260710T0300-iFVG,FVG-1h-bear-20260710T0300,NQ,1h,phase1-v1.0.0,bear,bull,29827.75,29840.0,29850.75,2026-07-10 07:00:00-04:00,2026-07-10 04:00:00-04:00
FVG-1h-bull-20260710T0600-iFVG,FVG-1h-bull-20260710T0600,NQ,1h,phase1-v1.0.0,bull,bear,29803.75,29805.5,29800.0,2026-07-10 09:00:00-04:00,2026-07-10 07:00:00-04:00
