ifvg_id,source_fvg_id,instrument,tf,param_version,original_direction,ifvg_direction,source_lower,source_upper,conversion_close,conversion_et,source_availability_et
FVG-5m-bear-20260705T2025-iFVG,FVG-5m-bear-20260705T2025,NQ,5m,phase1-v1.0.0,bear,bull,29964.5,29976.5,29993.0,2026-07-06 10:10:00-04:00,2026-07-05 20:30:00-04:00
FVG-5m-bear-20260705T2030-iFVG,FVG-5m-bear-20260705T2030,NQ,5m,phase1-v1.0.0,bear,bull,29909.0,29950.0,29952.0,2026-07-06 09:50:00-04:00,2026-07-05 20:35:00-04:00
FVG-5m-bear-20260705T2105-iFVG,FVG-5m-bear-20260705T2105,NQ,5m,phase1-v1.0.0,bear,bull,29905.5,29914.5,29926.5,2026-07-06 08:10:00-04:00,2026-07-05 21:10:00-04:00
FVG-5m-bear-20260705T2125-iFVG,FVG-5m-bear-20260705T2125,NQ,5m,phase1-v1.0.0,bear,bull,29834.5,29858.25,29859.75,2026-07-06 03:20:00-04:00,2026-07-05 21:30:00-04:00
FVG-5m-bear-20260705T2345-iFVG,FVG-5m-bear-20260705T2345,NQ,5m,phase1-v1.0.0,bear,bull,29748.5,29785.5,29792.25,2026-07-06 00:20:00-04:00,2026-07-05 23:50:00-04:00
FVG-5m-bull-20260706T0015-iFVG,FVG-5m-bull-20260706T0015,NQ,5m,phase1-v1.0.0,bull,bear,29745.25,29769.0,29740.0,2026-07-06 21:30:00-04:00,2026-07-06 00:20:00-04:00
FVG-5m-bear-20260706T0125-iFVG,FVG-5m-bear-20260706T0125,NQ,5m,phase1-v1.0.0,bear,bull,29794.75,29802.5,29818.0,2026-07-06 02:35:00-04:00,2026-07-06 01:30:00-04:00
FVG-5m-bear-20260706T0130-iFVG,FVG-5m-bear-20260706T0130,NQ,5m,phase1-v1.0.0,bear,bull,29770.0,29781.75,29788.25,2026-07-06 01:45:00-04:00,2026-07-06 01:35:00-04:00
FVG-5m-bull-20260706T0140-iFVG,FVG-5m-bull-20260706T0140,NQ,5m,phase1-v1.0.0,bull,bear,29770.0,29773.0,29769.0,2026-07-06 02:10:00-04:00,2026-07-06 01:45:00-04:00
FVG-5m-bear-20260706T0210-iFVG,FVG-5m-bear-20260706T0210,NQ,5m,phase1-v1.0.0,bear,bull,29771.0,29786.5,29790.5,2026-07-06 02:30:00-04:00,2026-07-06 02:15:00-04:00
FVG-5m-bull-20260706T0225-iFVG,FVG-5m-bull-20260706T0225,NQ,5m,phase1-v1.0.0,bull,bear,29770.0,29772.25,29759.5,2026-07-06 21:25:00-04:00,2026-07-06 02:30:00-04:00
FVG-5m-bull-20260706T0230-iFVG,FVG-5m-bull-20260706T0230,NQ,5m,phase1-v1.0.0,bull,bear,29778.5,29784.5,29759.5,2026-07-06 21:25:00-04:00,2026-07-06 02:35:00-04:00
FVG-5m-bull-20260706T0235-iFVG,FVG-5m-bull-20260706T0235,NQ,5m,phase1-v1.0.0,bull,bear,29797.0,29817.0,29759.5,2026-07-06 21:25:00-04:00,2026-07-06 02:40:00-04:00
FVG-5m-bull-20260706T0240-iFVG,FVG-5m-bull-20260706T0240,NQ,5m,phase1-v1.0.0,bull,bear,29818.0,29840.25,29815.5,2026-07-06 04:20:00-04:00,2026-07-06 02:45:00-04:00
FVG-5m-bear-20260706T0325-iFVG,FVG-5m-bear-20260706T0325,NQ,5m,phase1-v1.0.0,bear,bull,29839.75,29848.0,29872.75,2026-07-06 03:45:00-04:00,2026-07-06 03:30:00-04:00
FVG-5m-bull-20260706T0345-iFVG,FVG-5m-bull-20260706T0345,NQ,5m,phase1-v1.0.0,bull,bear,29850.75,29866.25,29821.75,2026-07-06 04:15:00-04:00,2026-07-06 03:50:00-04:00
FVG-5m-bear-20260706T0355-iFVG,FVG-5m-bear-20260706T0355,NQ,5m,phase1-v1.0.0,bear,bull,29863.25,29866.25,29870.0,2026-07-06 04:10:00-04:00,2026-07-06 04:00:00-04:00
FVG-5m-bear-20260706T0415-iFVG,FVG-5m-bear-20260706T0415,NQ,5m,phase1-v1.0.0,bear,bull,29825.0,29861.75,29867.0,2026-07-06 05:00:00-04:00,2026-07-06 04:20:00-04:00
FVG-5m-bull-20260706T0445-iFVG,FVG-5m-bull-20260706T0445,NQ,5m,phase1-v1.0.0,bull,bear,29827.75,29838.5,29826.5,2026-07-06 20:15:00-04:00,2026-07-06 04:50:00-04:00
FVG-5m-bull-20260706T0555-iFVG,FVG-5m-bull-20260706T0555,NQ,5m,phase1-v1.0.0,bull,bear,29852.25,29874.5,29851.25,2026-07-06 07:05:00-04:00,2026-07-06 06:00:00-04:00
FVG-5m-bear-20260706T0605-iFVG,FVG-5m-bear-20260706T0605,NQ,5m,phase1-v1.0.0,bear,bull,29873.25,29874.5,29878.5,2026-07-06 06:15:00-04:00,2026-07-06 06:10:00-04:00
FVG-5m-bear-20260706T0645-iFVG,FVG-5m-bear-20260706T0645,NQ,5m,phase1-v1.0.0,bear,bull,29861.5,29869.0,29884.5,2026-07-06 07:00:00-04:00,2026-07-06 06:50:00-04:00
FVG-5m-bull-20260706T0655-iFVG,FVG-5m-bull-20260706T0655,NQ,5m,phase1-v1.0.0,bull,bear,29861.5,29864.75,29851.25,2026-07-06 07:05:00-04:00,2026-07-06 07:00:00-04:00
