instrument,source,side,tf,param_version,extreme,availability_et,first_exact_touch_et,first_wick_passage_et,sweep_et,unswept_through_end,session_globex_day
NQ,candle_1000_low,low,1m,phase1-v1.0.0,29335.75,2026-07-08 10:01:00-04:00,,2026-07-08 10:03:00-04:00,2026-07-08 10:03:00-04:00,False,2026-07-08
NQ,prev_rth_high,high,rth_session,phase1-v1.0.0,29993.5,2026-07-09 16:01:00-04:00,,2026-07-10 12:16:00-04:00,2026-07-10 12:16:00-04:00,False,2026-07-09
NQ,prev_rth_low,low,rth_session,phase1-v1.0.0,29614.5,2026-07-09 16:01:00-04:00,,,,True,2026-07-09
NQ,overnight_high,high,overnight_session,phase1-v1.0.0,29786.5,2026-07-09 09:30:00-04:00,,2026-07-09 09:36:00-04:00,2026-07-09 09:36:00-04:00,False,2026-07-09
NQ,overnight_low,low,overnight_session,phase1-v1.0.0,29395.0,2026-07-09 09:30:00-04:00,,,,True,2026-07-09
NQ,candle_0900_high,high,1m,phase1-v1.0.0,29743.5,2026-07-09 09:01:00-04:00,,2026-07-09 09:02:00-04:00,2026-07-09 09:02:00-04:00,False,2026-07-09
NQ,candle_0900_low,low,1m,phase1-v1.0.0,29733.0,2026-07-09 09:01:00-04:00,,2026-07-09 09:06:00-04:00,2026-07-09 09:06:00-04:00,False,2026-07-09
NQ,candle_0930_high,high,1m,phase1-v1.0.0,29755.0,2026-07-09 09:31:00-04:00,,2026-07-09 09:35:00-04:00,2026-07-09 09:35:00-04:00,False,2026-07-09
NQ,candle_0930_low,low,1m,phase1-v1.0.0,29682.5,2026-07-09 09:31:00-04:00,,2026-07-09 09:33:00-04:00,2026-07-09 09:33:00-04:00,False,2026-07-09
NQ,candle_1000_high,high,1m,phase1-v1.0.0,29922.75,2026-07-09 10:01:00-04:00,,2026-07-09 12:07:00-04:00,2026-07-09 12:07:00-04:00,False,2026-07-09
NQ,candle_1000_low,low,1m,phase1-v1.0.0,29887.75,2026-07-09 10:01:00-04:00,,2026-07-09 10:04:00-04:00,2026-07-09 10:04:00-04:00,False,2026-07-09
NQ,prev_rth_high,high,rth_session,phase1-v1.0.0,30077.75,2026-07-10 16:01:00-04:00,,,,True,2026-07-10
NQ,prev_rth_low,low,rth_session,phase1-v1.0.0,29675.0,2026-07-10 16:01:00-04:00,,,,True,2026-07-10
NQ,overnight_high,high,overnight_session,phase1-v1.0.0,29964.25,2026-07-10 09:30:00-04:00,,2026-07-10 09:53:00-04:00,2026-07-10 09:53:00-04:00,False,2026-07-10
NQ,overnight_low,low,overnight_session,phase1-v1.0.0,29717.25,2026-07-10 09:30:00-04:00,,2026-07-10 10:34:00-04:00,2026-07-10 10:34:00-04:00,False,2026-07-10
NQ,candle_0900_high,high,1m,phase1-v1.0.0,29810.5,2026-07-10 09:01:00-04:00,,2026-07-10 09:02:00-04:00,2026-07-10 09:02:00-04:00,False,2026-07-10
NQ,candle_0900_low,low,1m,phase1-v1.0.0,29797.5,2026-07-10 09:01:00-04:00,,2026-07-10 09:04:00-04:00,2026-07-10 09:04:00-04:00,False,2026-07-10
NQ,candle_0930_high,high,1m,phase1-v1.0.0,29876.0,2026-07-10 09:31:00-04:00,,2026-07-10 09:32:00-04:00,2026-07-10 09:32:00-04:00,False,2026-07-10
NQ,candle_0930_low,low,1m,phase1-v1.0.0,29812.5,2026-07-10 09:31:00-04:00,,2026-07-10 09:41:00-04:00,2026-07-10 09:41:00-04:00,False,2026-07-10
NQ,candle_1000_high,high,1m,phase1-v1.0.0,29939.5,2026-07-10 10:01:00-04:00,,2026-07-10 10:02:00-04:00,2026-07-10 10:02:00-04:00,False,2026-07-10
NQ,candle_1000_low,low,1m,phase1-v1.0.0,29914.0,2026-07-10 10:01:00-04:00,,2026-07-10 10:02:00-04:00,2026-07-10 10:02:00-04:00,False,2026-07-10
