instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,5m,bear,phase1-v1.0.0,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,29730.25,29736.0,29736.0,29730.25,5.75,7.0,27.25,40.0,0.21100917431192662,0.14375,32.0,2026-07-05 23:55:00-04:00,0.8515625,1.25,0.1796875,50.0,50.0,55.0,2026-07-06 00:05:00-04:00,2026-07-06 00:05:00-04:00,2026-07-06 00:05:00-04:00,,body_overlap,2026-07-06 00:05:00-04:00,False,False,6,True,106412
NQ,5m,bull,phase1-v1.0.0,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,29696.0,29703.0,29696.0,29703.0,7.0,5.75,27.25,40.0,0.25688073394495414,0.175,32.0,2026-07-05 23:55:00-04:00,0.8515625,1.25,0.21875,55.0,52.5,46.25,2026-07-06 23:30:00-04:00,2026-07-06 23:30:00-04:00,2026-07-06 23:30:00-04:00,,body_overlap,2026-07-06 23:30:00-04:00,False,False,6,True,106412
NQ,5m,bear,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:05:00-04:00,29732.5,29738.5,29738.5,29732.5,6.0,27.25,2.25,35.5,2.6666666666666665,0.16901408450704225,33.267857142857146,2026-07-06 00:00:00-04:00,0.06763285024154589,1.067096081588835,0.18035426731078905,50.0,55.0,57.5,2026-07-06 00:10:00-04:00,2026-07-06 00:10:00-04:00,2026-07-06 00:10:00-04:00,,body_overlap,2026-07-06 00:10:00-04:00,False,False,6,True,106413
NQ,5m,bull,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:05:00-04:00,29703.0,29730.25,29703.0,29730.25,27.25,6.0,2.25,35.5,12.11111111111111,0.7676056338028169,33.267857142857146,2026-07-06 00:00:00-04:00,0.06763285024154589,1.067096081588835,0.8191089640365002,100.0,100.0,97.5,2026-07-06 00:10:00-04:00,2026-07-06 00:10:00-04:00,,,body_overlap,2026-07-06 00:10:00-04:00,False,False,6,True,106413
NQ,5m,bear,phase1-v1.0.0,2026-07-06 00:05:00-04:00,2026-07-06 00:10:00-04:00,29733.25,29745.25,29745.25,29733.25,12.0,3.5,13.0,28.5,0.9230769230769231,0.42105263157894735,33.44642857142857,2026-07-06 00:05:00-04:00,0.3886812600106781,0.8521089161772558,0.3587827015483182,80.0,85.0,80.0,2026-07-06 00:15:00-04:00,2026-07-06 00:15:00-04:00,2026-07-06 00:15:00-04:00,,body_overlap,2026-07-06 00:15:00-04:00,False,False,6,True,106414
NQ,5m,bull,phase1-v1.0.0,2026-07-06 00:05:00-04:00,2026-07-06 00:10:00-04:00,29716.75,29720.25,29716.75,29720.25,3.5,12.0,13.0,28.5,0.2692307692307692,0.12280701754385964,33.44642857142857,2026-07-06 00:05:00-04:00,0.3886812600106781,0.8521089161772558,0.10464495461825948,35.0,27.5,23.75,2026-07-06 00:15:00-04:00,,2026-07-06 21:35:00-04:00,2026-07-06 00:15:00-04:00,wick_traversal_beyond_far,2026-07-06 21:35:00-04:00,False,False,6,True,106414
NQ,5m,bear,phase1-v1.0.0,2026-07-06 00:10:00-04:00,2026-07-06 00:15:00-04:00,29774.75,29778.0,29778.0,29774.75,3.25,0.25,54.5,58.0,0.05963302752293578,0.05603448275862069,33.017857142857146,2026-07-06 00:10:00-04:00,1.650621957815035,1.7566252028123308,0.09843158464034613,30.0,30.0,40.0,2026-07-06 00:20:00-04:00,2026-07-06 00:20:00-04:00,2026-07-06 00:20:00-04:00,,body_overlap,2026-07-06 00:20:00-04:00,False,False,6,True,106415
NQ,5m,bull,phase1-v1.0.0,2026-07-06 00:10:00-04:00,2026-07-06 00:15:00-04:00,29720.0,29720.25,29720.0,29720.25,0.25,3.25,54.5,58.0,0.0045871559633027525,0.004310344827586207,33.017857142857146,2026-07-06 00:10:00-04:00,1.650621957815035,1.7566252028123308,0.007571660356949702,0.0,0.0,0.0,2026-07-06 21:35:00-04:00,,2026-07-06 21:35:00-04:00,,wick_traversal_beyond_far,2026-07-06 21:35:00-04:00,False,False,6,True,106415
NQ,5m,bear,phase1-v1.0.0,2026-07-06 00:15:00-04:00,2026-07-06 00:20:00-04:00,29792.25,29794.0,29794.0,29792.25,1.75,2.5,20.75,25.0,0.08433734939759036,0.07,33.964285714285715,2026-07-06 00:15:00-04:00,0.6109358569926393,0.7360672975814931,0.05152471083070452,20.0,27.5,30.0,2026-07-06 00:25:00-04:00,2026-07-06 00:25:00-04:00,2026-07-06 00:25:00-04:00,,body_overlap,2026-07-06 00:25:00-04:00,False,False,6,True,106416
NQ,5m,bull,phase1-v1.0.0,2026-07-06 00:15:00-04:00,2026-07-06 00:20:00-04:00,29769.0,29771.5,29769.0,29771.5,2.5,1.75,20.75,25.0,0.12048192771084337,0.1,33.964285714285715,2026-07-06 00:15:00-04:00,0.6109358569926393,0.7360672975814931,0.07360672975814932,30.0,17.5,16.25,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,,body_overlap,2026-07-06 01:30:00-04:00,False,False,6,True,106416
NQ,5m,bear,phase1-v1.0.0,2026-07-06 00:20:00-04:00,2026-07-06 00:25:00-04:00,29793.0,29798.75,29798.75,29793.0,5.75,12.5,2.5,20.75,2.3,0.27710843373493976,34.67857142857143,2026-07-06 00:20:00-04:00,0.0720906282183316,0.5983522142121523,0.1658084449021627,45.0,52.5,58.75,2026-07-06 00:30:00-04:00,2026-07-06 00:30:00-04:00,2026-07-06 00:30:00-04:00,,body_overlap,2026-07-06 00:30:00-04:00,False,False,6,True,106417
NQ,5m,bull,phase1-v1.0.0,2026-07-06 00:20:00-04:00,2026-07-06 00:25:00-04:00,29778.0,29790.5,29778.0,29790.5,12.5,5.75,2.5,20.75,5.0,0.6024096385542169,34.67857142857143,2026-07-06 00:20:00-04:00,0.0720906282183316,0.5983522142121523,0.36045314109165805,80.0,70.0,70.0,2026-07-06 00:30:00-04:00,2026-07-06 01:25:00-04:00,,,body_overlap,2026-07-06 01:25:00-04:00,False,False,6,True,106417
NQ,5m,bear,phase1-v1.0.0,2026-07-06 00:25:00-04:00,2026-07-06 00:30:00-04:00,29794.75,29801.0,29801.0,29794.75,6.25,14.25,0.5,21.0,12.5,0.2976190476190476,33.464285714285715,2026-07-06 00:25:00-04:00,0.014941302027748132,0.6275346851654215,0.18676627534685164,60.0,60.0,63.75,2026-07-06 00:35:00-04:00,2026-07-06 00:35:00-04:00,2026-07-06 00:35:00-04:00,,body_overlap,2026-07-06 00:35:00-04:00,False,False,6,True,106418
NQ,5m,bull,phase1-v1.0.0,2026-07-06 00:25:00-04:00,2026-07-06 00:30:00-04:00,29780.0,29794.25,29780.0,29794.25,14.25,6.25,0.5,21.0,28.5,0.6785714285714286,33.464285714285715,2026-07-06 00:25:00-04:00,0.014941302027748132,0.6275346851654215,0.4258271077908218,90.0,75.0,77.5,2026-07-06 00:35:00-04:00,2026-07-06 00:35:00-04:00,,,body_overlap,2026-07-06 00:35:00-04:00,False,False,6,True,106418
