id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,segment_id,C_index
FVG-4h-bear-20260707T0000,NQ,bear,4h,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,2026-07-07 00:00:00-04:00,29973.75,29839.25,29744.0,29558.5,29851.0,29668.25,29744.0,29839.25,29791.625,2026-07-07 04:00:00-04:00,2026-07-09 12:00:00-04:00,2026-07-09 12:00:00-04:00,2026-07-09 12:00:00-04:00,2026-07-09 12:00:00-04:00,2026-07-09 12:00:00-04:00,6,2420
FVG-4h-bear-20260707T1200,NQ,bear,4h,phase1-v1.0.0,2026-07-07 04:00:00-04:00,2026-07-07 08:00:00-04:00,2026-07-07 12:00:00-04:00,29709.25,29591.25,29580.75,29271.0,29640.75,29386.75,29580.75,29591.25,29586.0,2026-07-07 16:00:00-04:00,2026-07-09 00:00:00-04:00,2026-07-09 04:00:00-04:00,2026-07-09 04:00:00-04:00,2026-07-09 04:00:00-04:00,2026-07-09 04:00:00-04:00,6,2423
FVG-4h-bull-20260709T1200,NQ,bull,4h,phase1-v1.0.0,2026-07-09 04:00:00-04:00,2026-07-09 08:00:00-04:00,2026-07-09 12:00:00-04:00,29735.75,29564.5,29993.5,29864.0,29696.75,29886.25,29735.75,29864.0,29799.875,2026-07-09 16:00:00-04:00,2026-07-10 00:00:00-04:00,2026-07-10 04:00:00-04:00,2026-07-10 04:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,6,2435
FVG-4h-bull-20260710T1200,NQ,bull,4h,phase1-v1.0.0,2026-07-10 04:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 12:00:00-04:00,29887.75,29717.25,30077.75,29943.75,29816.75,29944.25,29887.75,29943.75,29915.75,2026-07-10 16:00:00-04:00,2026-07-12 20:00:00-04:00,2026-07-12 20:00:00-04:00,2026-07-12 20:00:00-04:00,2026-07-12 20:00:00-04:00,2026-07-12 20:00:00-04:00,6,2441
FVG-4h-bull-20260710T1600,NQ,bull,4h,phase1-v1.0.0,2026-07-10 08:00:00-04:00,2026-07-10 12:00:00-04:00,2026-07-10 16:00:00-04:00,29991.5,29675.0,30073.75,30031.75,29944.25,30037.5,29991.5,30031.75,30011.625,2026-07-10 20:00:00-04:00,,,,2026-07-12 20:00:00-04:00,2026-07-12 20:00:00-04:00,6,2442
