instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,segment_id,end_index
NQ,4h,bull,1,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,-257.5,0,0.0,0.0,80.0,85.0,82.5,,0.14685314685314685,0.8003108003108003,321.75,False,6,2413
NQ,4h,bear,1,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,257.5,1,1.0,257.5,80.0,85.0,82.5,,0.8531468531468531,0.8003108003108003,321.75,False,6,2413
NQ,4h,bull,2,phase1-v1.0.0,2026-07-05 16:00:00-04:00,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,-200.0,1,0.5,53.5,45.0,52.5,52.5,144.0,0.14685314685314685,0.4235044997353097,472.25,False,6,2413
NQ,4h,bear,2,phase1-v1.0.0,2026-07-05 16:00:00-04:00,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,200.0,1,0.5,257.5,45.0,52.5,52.5,144.0,0.8531468531468531,0.4235044997353097,472.25,False,6,2413
NQ,4h,bull,3,phase1-v1.0.0,2026-07-03 12:00:00-04:00,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,-177.0,1,0.3333333333333333,53.5,10.0,20.0,22.5,89.125,0.14685314685314685,0.34945705824284307,506.5,False,6,2413
NQ,4h,bear,3,phase1-v1.0.0,2026-07-03 12:00:00-04:00,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,177.0,2,0.6666666666666666,131.5,10.0,20.0,22.5,89.125,0.8531468531468531,0.34945705824284307,506.5,False,6,2413
NQ,4h,bull,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,122.25,1,1.0,122.25,20.0,50.0,50.0,,0.862914862914863,0.7056277056277056,173.25,False,6,2414
NQ,4h,bear,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,-122.25,0,0.0,0.0,20.0,50.0,50.0,,0.1370851370851371,0.7056277056277056,173.25,False,6,2414
NQ,4h,bull,2,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,-135.25,1,0.5,122.25,50.0,67.5,66.25,173.25,0.862914862914863,0.2732323232323232,495.0,False,6,2414
NQ,4h,bear,2,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,135.25,1,0.5,257.5,50.0,67.5,66.25,173.25,0.1370851370851371,0.2732323232323232,495.0,False,6,2414
NQ,4h,bull,3,phase1-v1.0.0,2026-07-05 16:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,-77.75,2,0.6666666666666666,87.875,20.0,50.0,50.0,158.625,0.862914862914863,0.12044926413632842,645.5,False,6,2414
NQ,4h,bear,3,phase1-v1.0.0,2026-07-05 16:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,77.75,1,0.3333333333333333,257.5,20.0,50.0,50.0,158.625,0.1370851370851371,0.12044926413632842,645.5,False,6,2414
NQ,4h,bull,1,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,25.0,1,1.0,25.0,10.0,15.0,12.5,,0.7240740740740741,0.18518518518518517,135.0,False,6,2415
NQ,4h,bear,1,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,-25.0,0,0.0,0.0,10.0,15.0,12.5,,0.2759259259259259,0.18518518518518517,135.0,False,6,2415
NQ,4h,bull,2,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,147.5,2,1.0,73.625,15.0,32.5,31.25,96.25,0.7240740740740741,0.47850770478507704,308.25,False,6,2415
NQ,4h,bear,2,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,-147.5,0,0.0,0.0,15.0,32.5,31.25,96.25,0.2759259259259259,0.47850770478507704,308.25,False,6,2415
NQ,4h,bull,3,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,-110.0,2,0.6666666666666666,73.625,20.0,50.0,50.0,134.75,0.7240740740740741,0.1746031746031746,630.0,False,6,2415
NQ,4h,bear,3,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,110.0,1,0.3333333333333333,257.5,20.0,50.0,50.0,134.75,0.2759259259259259,0.1746031746031746,630.0,False,6,2415
NQ,4h,bull,1,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,195.25,1,1.0,195.25,70.0,80.0,75.0,,0.9691056910569106,0.634959349593496,307.5,False,6,2416
NQ,4h,bear,1,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,-195.25,0,0.0,0.0,70.0,80.0,75.0,,0.030894308943089432,0.634959349593496,307.5,False,6,2416
NQ,4h,bull,2,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,221.5,2,1.0,110.125,40.0,47.5,43.75,135.0,0.9691056910569106,0.5005649717514125,442.5,False,6,2416
NQ,4h,bear,2,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,-221.5,0,0.0,0.0,40.0,47.5,43.75,135.0,0.030894308943089432,0.5005649717514125,442.5,False,6,2416
NQ,4h,bull,3,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,344.0,3,1.0,122.25,20.0,50.0,50.0,115.625,0.9691056910569106,0.5586682907023954,615.75,False,6,2416
NQ,4h,bear,3,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,-344.0,0,0.0,0.0,20.0,50.0,50.0,115.625,0.030894308943089432,0.5586682907023954,615.75,False,6,2416
NQ,4h,bull,1,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,-122.25,0,0.0,0.0,35.0,47.5,48.75,,0.3282172373081464,0.577331759149941,211.75,False,6,2417
NQ,4h,bear,1,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,122.25,1,1.0,122.25,35.0,47.5,48.75,,0.6717827626918536,0.577331759149941,211.75,False,6,2417
NQ,4h,bull,2,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,72.75,1,0.5,195.25,52.5,63.75,61.875,201.5,0.3282172373081464,0.1401059220028888,519.25,False,6,2417
NQ,4h,bear,2,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,-72.75,1,0.5,122.25,52.5,63.75,61.875,201.5,0.6717827626918536,0.1401059220028888,519.25,False,6,2417
NQ,4h,bull,3,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,99.0,2,0.6666666666666666,110.125,35.0,47.5,48.75,168.25,0.3282172373081464,0.15131830340084065,654.25,False,6,2417
NQ,4h,bear,3,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,-99.0,1,0.3333333333333333,122.25,35.0,47.5,48.75,168.25,0.6717827626918536,0.15131830340084065,654.25,False,6,2417
NQ,4h,bull,1,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,-99.0,0,0.0,0.0,30.0,35.0,40.0,,0.09665427509293681,0.7360594795539034,134.5,False,6,2418
NQ,4h,bear,1,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,99.0,1,1.0,99.0,30.0,35.0,40.0,,0.9033457249070632,0.7360594795539034,134.5,False,6,2418
NQ,4h,bull,2,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,-221.75,0,0.0,0.0,32.5,41.25,44.375,91.5,0.09665427509293681,0.6404332129963899,346.25,False,6,2418
NQ,4h,bear,2,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,221.75,2,1.0,110.625,32.5,41.25,44.375,91.5,0.9033457249070632,0.6404332129963899,346.25,False,6,2418
NQ,4h,bull,3,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,-26.75,1,0.3333333333333333,195.25,35.0,47.5,48.75,146.5,0.09665427509293681,0.04091778202676864,653.75,False,6,2418
NQ,4h,bear,3,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,26.75,2,0.6666666666666666,110.625,35.0,47.5,48.75,146.5,0.9033457249070632,0.04091778202676864,653.75,False,6,2418
NQ,4h,bull,1,phase1-v1.0.0,2026-07-06 20:00:00-04:00,2026-07-06 20:00:00-04:00,2026-07-07 00:00:00-04:00,-182.75,0,0.0,0.0,70.0,75.0,72.5,,0.13986013986013987,0.638986013986014,286.0,False,6,2419
NQ,4h,bear,1,phase1-v1.0.0,2026-07-06 20:00:00-04:00,2026-07-06 20:00:00-04:00,2026-07-07 00:00:00-04:00,182.75,1,1.0,182.75,70.0,75.0,72.5,,0.8601398601398601,0.638986013986014,286.0,False,6,2419
