ifvg_id,source_fvg_id,instrument,tf,param_version,original_direction,ifvg_direction,source_lower,source_upper,conversion_close,conversion_et,source_availability_et
FVG-1m-bear-20260705T2023-iFVG,FVG-1m-bear-20260705T2023,NQ,1m,phase1-v1.0.0,bear,bull,29966.0,29972.75,29981.25,2026-07-06 09:51:00-04:00,2026-07-05 20:24:00-04:00
FVG-1m-bear-20260705T2111-iFVG,FVG-1m-bear-20260705T2111,NQ,1m,phase1-v1.0.0,bear,bull,29886.5,29891.0,29891.5,2026-07-06 07:01:00-04:00,2026-07-05 21:12:00-04:00
FVG-1m-bear-20260705T2124-iFVG,FVG-1m-bear-20260705T2124,NQ,1m,phase1-v1.0.0,bear,bull,29849.75,29857.75,29858.0,2026-07-06 03:09:00-04:00,2026-07-05 21:25:00-04:00
FVG-1m-bear-20260705T2338-iFVG,FVG-1m-bear-20260705T2338,NQ,1m,phase1-v1.0.0,bear,bull,29795.0,29796.5,29797.25,2026-07-06 00:28:00-04:00,2026-07-05 23:39:00-04:00
FVG-1m-bear-20260705T2341-iFVG,FVG-1m-bear-20260705T2341,NQ,1m,phase1-v1.0.0,bear,bull,29783.5,29785.5,29789.75,2026-07-06 00:19:00-04:00,2026-07-05 23:42:00-04:00
FVG-1m-bear-20260705T2342-iFVG,FVG-1m-bear-20260705T2342,NQ,1m,phase1-v1.0.0,bear,bull,29774.75,29776.5,29785.5,2026-07-06 00:17:00-04:00,2026-07-05 23:43:00-04:00
FVG-1m-bull-20260706T0005-iFVG,FVG-1m-bull-20260706T0005,NQ,1m,phase1-v1.0.0,bull,bear,29725.0,29732.5,29720.25,2026-07-06 00:10:00-04:00,2026-07-06 00:06:00-04:00
FVG-1m-bull-20260706T0014-iFVG,FVG-1m-bull-20260706T0014,NQ,1m,phase1-v1.0.0,bull,bear,29768.0,29768.25,29762.75,2026-07-06 01:31:00-04:00,2026-07-06 00:15:00-04:00
FVG-1m-bull-20260706T0019-iFVG,FVG-1m-bull-20260706T0019,NQ,1m,phase1-v1.0.0,bull,bear,29786.75,29789.0,29786.5,2026-07-06 00:22:00-04:00,2026-07-06 00:20:00-04:00
FVG-1m-bull-20260706T0038-iFVG,FVG-1m-bull-20260706T0038,NQ,1m,phase1-v1.0.0,bull,bear,29808.25,29808.75,29807.0,2026-07-06 01:03:00-04:00,2026-07-06 00:39:00-04:00
FVG-1m-bull-20260706T0043-iFVG,FVG-1m-bull-20260706T0043,NQ,1m,phase1-v1.0.0,bull,bear,29826.0,29828.25,29823.75,2026-07-06 00:47:00-04:00,2026-07-06 00:44:00-04:00
FVG-1m-bear-20260706T0102-iFVG,FVG-1m-bear-20260706T0102,NQ,1m,phase1-v1.0.0,bear,bull,29815.75,29818.5,29820.75,2026-07-06 01:12:00-04:00,2026-07-06 01:03:00-04:00
FVG-1m-bear-20260706T0103-iFVG,FVG-1m-bear-20260706T0103,NQ,1m,phase1-v1.0.0,bear,bull,29810.5,29814.25,29818.0,2026-07-06 01:08:00-04:00,2026-07-06 01:04:00-04:00
FVG-1m-bear-20260706T0104-iFVG,FVG-1m-bear-20260706T0104,NQ,1m,phase1-v1.0.0,bear,bull,29802.25,29805.5,29806.75,2026-07-06 01:07:00-04:00,2026-07-06 01:05:00-04:00
FVG-1m-bear-20260706T0121-iFVG,FVG-1m-bear-20260706T0121,NQ,1m,phase1-v1.0.0,bear,bull,29803.75,29809.0,29810.0,2026-07-06 02:34:00-04:00,2026-07-06 01:22:00-04:00
FVG-1m-bear-20260706T0128-iFVG,FVG-1m-bear-20260706T0128,NQ,1m,phase1-v1.0.0,bear,bull,29785.0,29787.5,29791.75,2026-07-06 01:44:00-04:00,2026-07-06 01:29:00-04:00
FVG-1m-bear-20260706T0130-iFVG,FVG-1m-bear-20260706T0130,NQ,1m,phase1-v1.0.0,bear,bull,29770.0,29777.75,29779.75,2026-07-06 01:38:00-04:00,2026-07-06 01:31:00-04:00
FVG-1m-bear-20260706T0131-iFVG,FVG-1m-bear-20260706T0131,NQ,1m,phase1-v1.0.0,bear,bull,29765.75,29767.75,29772.0,2026-07-06 01:37:00-04:00,2026-07-06 01:32:00-04:00
FVG-1m-bull-20260706T0137-iFVG,FVG-1m-bull-20260706T0137,NQ,1m,phase1-v1.0.0,bull,bear,29763.25,29771.0,29759.25,2026-07-06 02:12:00-04:00,2026-07-06 01:38:00-04:00
FVG-1m-bull-20260706T0144-iFVG,FVG-1m-bull-20260706T0144,NQ,1m,phase1-v1.0.0,bull,bear,29786.5,29788.25,29780.5,2026-07-06 01:46:00-04:00,2026-07-06 01:45:00-04:00
FVG-1m-bear-20260706T0146-iFVG,FVG-1m-bear-20260706T0146,NQ,1m,phase1-v1.0.0,bear,bull,29782.0,29788.25,29793.5,2026-07-06 01:53:00-04:00,2026-07-06 01:47:00-04:00
FVG-1m-bear-20260706T0148-iFVG,FVG-1m-bear-20260706T0148,NQ,1m,phase1-v1.0.0,bear,bull,29772.0,29775.5,29779.75,2026-07-06 01:52:00-04:00,2026-07-06 01:49:00-04:00
FVG-1m-bull-20260706T0152-iFVG,FVG-1m-bull-20260706T0152,NQ,1m,phase1-v1.0.0,bull,bear,29779.0,29779.75,29774.0,2026-07-06 02:09:00-04:00,2026-07-06 01:53:00-04:00
FVG-1m-bull-20260706T0153-iFVG,FVG-1m-bull-20260706T0153,NQ,1m,phase1-v1.0.0,bull,bear,29783.0,29790.25,29782.75,2026-07-06 02:08:00-04:00,2026-07-06 01:54:00-04:00
FVG-1m-bear-20260706T0206-iFVG,FVG-1m-bear-20260706T0206,NQ,1m,phase1-v1.0.0,bear,bull,29786.75,29788.75,29792.25,2026-07-06 02:26:00-04:00,2026-07-06 02:07:00-04:00
FVG-1m-bear-20260706T0209-iFVG,FVG-1m-bear-20260706T0209,NQ,1m,phase1-v1.0.0,bear,bull,29776.5,29777.75,29792.25,2026-07-06 02:26:00-04:00,2026-07-06 02:10:00-04:00
