instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,atr_value,atr_availability_et,net_move_atr,total_distance_atr,created_fvg,segment_id,end_index
NQ,1h,bull,1,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,3.75,1,1.0,3.75,10.0,10.0,5.0,,0.32671081677704195,0.033112582781456956,113.25,80.69642857142857,2026-07-05 23:00:00-04:00,0.04647045806594379,1.4034078335915026,False,6,8871
NQ,1h,bear,1,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,-3.75,0,0.0,0.0,10.0,10.0,5.0,,0.673289183222958,0.033112582781456956,113.25,80.69642857142857,2026-07-05 23:00:00-04:00,0.04647045806594379,1.4034078335915026,False,6,8871
NQ,1h,bull,2,phase1-v1.0.0,2026-07-05 22:00:00-04:00,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,-63.0,1,0.5,3.75,50.0,50.0,37.5,113.25,0.32671081677704195,0.25301204819277107,249.0,80.69642857142857,2026-07-05 23:00:00-04:00,0.7807036955078558,3.085638415578668,False,6,8871
NQ,1h,bear,2,phase1-v1.0.0,2026-07-05 22:00:00-04:00,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,63.0,1,0.5,68.0,50.0,50.0,37.5,113.25,0.673289183222958,0.25301204819277107,249.0,80.69642857142857,2026-07-05 23:00:00-04:00,0.7807036955078558,3.085638415578668,False,6,8871
NQ,1h,bull,3,phase1-v1.0.0,2026-07-05 21:00:00-04:00,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,-196.25,1,0.3333333333333333,3.75,90.0,90.0,70.0,91.0,0.32671081677704195,0.45533642691415316,431.0,80.69642857142857,2026-07-05 23:00:00-04:00,2.431953972117725,5.341004647045807,False,6,8871
NQ,1h,bear,3,phase1-v1.0.0,2026-07-05 21:00:00-04:00,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,196.25,2,0.6666666666666666,100.875,90.0,90.0,70.0,91.0,0.673289183222958,0.45533642691415316,431.0,80.69642857142857,2026-07-05 23:00:00-04:00,2.431953972117725,5.341004647045807,False,6,8871
NQ,1h,bull,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,98.0,1,1.0,98.0,90.0,95.0,75.0,,0.9109090909090909,0.7127272727272728,137.5,85.69642857142857,2026-07-06 00:00:00-04:00,1.1435715774119608,1.6045009376953532,False,6,8872
NQ,1h,bear,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,-98.0,0,0.0,0.0,90.0,95.0,75.0,,0.0890909090909091,0.7127272727272728,137.5,85.69642857142857,2026-07-06 00:00:00-04:00,1.1435715774119608,1.6045009376953532,False,6,8872
NQ,1h,bull,2,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,101.75,2,1.0,50.875,50.0,52.5,40.0,103.5,0.9109090909090909,0.4057826520438684,250.75,85.69642857142857,2026-07-06 00:00:00-04:00,1.1873306938945614,2.9260262554698895,False,6,8872
NQ,1h,bear,2,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,-101.75,0,0.0,0.0,50.0,52.5,40.0,103.5,0.0890909090909091,0.4057826520438684,250.75,85.69642857142857,2026-07-06 00:00:00-04:00,1.1873306938945614,2.9260262554698895,False,6,8872
NQ,1h,bull,3,phase1-v1.0.0,2026-07-05 22:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,35.0,2,0.6666666666666666,50.875,90.0,90.0,70.0,108.375,0.9109090909090909,0.09055627425614489,386.5,85.69642857142857,2026-07-06 00:00:00-04:00,0.40841842050427174,4.510106272140029,False,6,8872
NQ,1h,bear,3,phase1-v1.0.0,2026-07-05 22:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,-35.0,1,0.3333333333333333,68.0,90.0,90.0,70.0,108.375,0.0890909090909091,0.09055627425614489,386.5,85.69642857142857,2026-07-06 00:00:00-04:00,0.40841842050427174,4.510106272140029,False,6,8872
NQ,1h,bull,1,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,-39.0,0,0.0,0.0,60.0,80.0,50.0,,0.48717948717948717,0.5,78.0,92.51785714285714,2026-07-06 01:00:00-04:00,0.4215402431962942,0.8430804863925884,False,6,8873
NQ,1h,bear,1,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,39.0,1,1.0,39.0,60.0,80.0,50.0,,0.5128205128205128,0.5,78.0,92.51785714285714,2026-07-06 01:00:00-04:00,0.4215402431962942,0.8430804863925884,False,6,8873
NQ,1h,bull,2,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,60.25,1,0.5,98.0,75.0,87.5,62.5,78.0,0.48717948717948717,0.27958236658932717,215.5,92.51785714285714,2026-07-06 01:00:00-04:00,0.6512256321173518,2.3292800617641385,False,6,8873
NQ,1h,bear,2,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,-60.25,1,0.5,39.0,75.0,87.5,62.5,78.0,0.5128205128205128,0.27958236658932717,215.5,92.51785714285714,2026-07-06 01:00:00-04:00,0.6512256321173518,2.3292800617641385,False,6,8873
NQ,1h,bull,3,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,64.0,2,0.6666666666666666,50.875,60.0,80.0,50.0,90.75,0.48717948717948717,0.19467680608365018,328.75,92.51785714285714,2026-07-06 01:00:00-04:00,0.6917583478093032,3.5533680756610693,False,6,8873
NQ,1h,bear,3,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,-64.0,1,0.3333333333333333,39.0,60.0,80.0,50.0,90.75,0.5128205128205128,0.19467680608365018,328.75,92.51785714285714,2026-07-06 01:00:00-04:00,0.6917583478093032,3.5533680756610693,False,6,8873
