instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,30m,bear,phase1-v1.0.0,2026-07-05 23:30:00-04:00,2026-07-06 00:00:00-04:00,29789.5,29806.5,29806.5,29789.5,17.0,37.0,59.25,113.25,0.2869198312236287,0.15011037527593818,79.42857142857143,2026-07-05 23:30:00-04:00,0.7459532374100719,1.4258093525179856,0.21402877697841727,35.0,57.5,68.75,2026-07-06 00:30:00-04:00,2026-07-06 00:30:00-04:00,,,body_overlap,2026-07-06 00:30:00-04:00,False,False,6,True,17737
NQ,30m,bull,phase1-v1.0.0,2026-07-05 23:30:00-04:00,2026-07-06 00:00:00-04:00,29693.25,29730.25,29693.25,29730.25,37.0,17.0,59.25,113.25,0.6244725738396625,0.32671081677704195,79.42857142857143,2026-07-05 23:30:00-04:00,0.7459532374100719,1.4258093525179856,0.4658273381294964,60.0,75.0,85.0,2026-07-06 00:30:00-04:00,2026-07-06 23:30:00-04:00,2026-07-06 23:30:00-04:00,2026-07-06 00:30:00-04:00,body_overlap,2026-07-06 23:30:00-04:00,False,False,6,True,17737
NQ,30m,bear,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:30:00-04:00,29794.75,29801.0,29801.0,29794.75,6.25,27.25,64.5,98.0,0.09689922480620156,0.06377551020408163,85.48214285714286,2026-07-06 00:00:00-04:00,0.7545435554627115,1.1464382703154377,0.07311468560685189,20.0,22.5,28.75,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,,body_overlap,2026-07-06 01:00:00-04:00,False,False,6,True,17738
NQ,30m,bull,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:30:00-04:00,29703.0,29730.25,29703.0,29730.25,27.25,6.25,64.5,98.0,0.42248062015503873,0.2780612244897959,85.48214285714286,2026-07-06 00:00:00-04:00,0.7545435554627115,1.1464382703154377,0.31878002924587423,50.0,70.0,82.5,2026-07-06 21:30:00-04:00,2026-07-06 23:30:00-04:00,2026-07-06 23:30:00-04:00,,body_overlap,2026-07-06 23:30:00-04:00,False,False,6,True,17738
NQ,30m,bear,phase1-v1.0.0,2026-07-06 00:30:00-04:00,2026-07-06 01:00:00-04:00,29828.25,29840.5,29840.5,29828.25,12.25,7.0,32.75,52.0,0.37404580152671757,0.23557692307692307,90.98214285714286,2026-07-06 00:30:00-04:00,0.35996074582924437,0.5715407262021589,0.13464180569185474,40.0,45.0,50.0,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,,,body_overlap,2026-07-06 01:30:00-04:00,False,False,6,True,17739
NQ,30m,bull,phase1-v1.0.0,2026-07-06 00:30:00-04:00,2026-07-06 01:00:00-04:00,29788.5,29795.5,29788.5,29795.5,7.0,12.25,32.75,52.0,0.21374045801526717,0.1346153846153846,90.98214285714286,2026-07-06 00:30:00-04:00,0.35996074582924437,0.5715407262021589,0.07693817468105986,20.0,25.0,27.5,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,,body_overlap,2026-07-06 01:30:00-04:00,False,False,6,True,17739
NQ,30m,bear,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 01:30:00-04:00,29829.5,29830.5,29830.5,29829.5,1.0,1.75,60.0,62.75,0.016666666666666666,0.01593625498007968,92.25,2026-07-06 01:00:00-04:00,0.6504065040650406,0.6802168021680217,0.01084010840108401,0.0,0.0,0.0,2026-07-06 03:00:00-04:00,2026-07-06 03:00:00-04:00,2026-07-06 03:00:00-04:00,,body_overlap,2026-07-06 03:00:00-04:00,False,False,6,True,17740
NQ,30m,bull,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 01:30:00-04:00,29767.75,29769.5,29767.75,29769.5,1.75,1.0,60.0,62.75,0.029166666666666667,0.027888446215139442,92.25,2026-07-06 01:00:00-04:00,0.6504065040650406,0.6802168021680217,0.018970189701897018,10.0,10.0,5.0,2026-07-06 02:00:00-04:00,,2026-07-06 02:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 02:00:00-04:00,False,False,6,True,17740
NQ,30m,bear,phase1-v1.0.0,2026-07-06 01:30:00-04:00,2026-07-06 02:00:00-04:00,29790.5,29801.5,29801.5,29790.5,11.0,17.5,20.5,49.0,0.5365853658536586,0.22448979591836735,88.25,2026-07-06 01:30:00-04:00,0.23229461756373937,0.5552407932011332,0.12464589235127478,50.0,45.0,47.5,2026-07-06 02:30:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 02:30:00-04:00,,body_overlap,2026-07-06 02:30:00-04:00,False,False,6,True,17741
NQ,30m,bull,phase1-v1.0.0,2026-07-06 01:30:00-04:00,2026-07-06 02:00:00-04:00,29752.5,29770.0,29752.5,29770.0,17.5,11.0,20.5,49.0,0.8536585365853658,0.35714285714285715,88.25,2026-07-06 01:30:00-04:00,0.23229461756373937,0.5552407932011332,0.19830028328611898,40.0,55.0,71.25,2026-07-06 02:30:00-04:00,2026-07-06 21:30:00-04:00,2026-07-06 21:30:00-04:00,,body_overlap,2026-07-06 21:30:00-04:00,False,False,6,True,17741
