week,variant_id,trigger_ts,structure_id,activation_ts,deactivation_ts,deactivation_reason,exclusion_reason
historical,EP-00651-ENTRY_ON_IFVG_RETEST,2026-06-02 10:34:00-04:00,IFVG2-002496,2026-06-02 10:24:00-04:00,2026-06-02 10:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00651-ENTRY_ON_IFVG_RETEST,2026-06-02 10:34:00-04:00,IFVG2-000022,2026-06-02 10:33:00-04:00,2026-06-02 18:46:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00754-ENTRY_ON_IFVG_RETEST,2026-06-02 12:51:00-04:00,IFVG2-002498,2026-06-02 12:19:00-04:00,2026-06-02 13:03:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00754-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-02 12:54:00-04:00,IFVG2-002498,2026-06-02 12:19:00-04:00,2026-06-02 13:03:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00754-ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-06-02 12:54:00-04:00,IFVG2-002498,2026-06-02 12:19:00-04:00,2026-06-02 13:03:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00755-ENTRY_ON_TAP,2026-06-02 12:51:00-04:00,IFVG2-002498,2026-06-02 12:19:00-04:00,2026-06-02 13:03:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00760-ENTRY_ON_TAP,2026-06-02 13:04:00-04:00,IFVG2-002498,2026-06-02 12:19:00-04:00,2026-06-02 13:03:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00799-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-02 15:00:00-04:00,IFVG2-004125,2026-06-02 13:56:00-04:00,2026-06-02 15:29:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00819-ENTRY_ON_TAP,2026-06-02 15:24:00-04:00,IFVG2-003408,2026-06-02 12:04:00-04:00,2026-06-02 12:10:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00854-ENTRY_ON_IFVG_RETEST,2026-06-02 18:05:00-04:00,IFVG2-000028,2026-06-02 18:02:00-04:00,2026-06-02 18:31:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00864-ENTRY_ON_TAP,2026-06-02 19:12:00-04:00,IFVG2-002498,2026-06-02 12:19:00-04:00,2026-06-02 13:03:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00872-ENTRY_ON_TAP,2026-06-02 19:18:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00882-ENTRY_ON_TAP,2026-06-02 19:24:00-04:00,IFVG2-002489,2026-06-01 15:36:00-04:00,2026-06-01 23:37:00-04:00,EXPIRED_ACTIVE_8H,inactive_or_traversed
historical,EP-00885-ENTRY_ON_TAP,2026-06-02 19:27:00-04:00,IFVG2-000022,2026-06-02 10:33:00-04:00,2026-06-02 18:46:00-04:00,EXPIRED_ACTIVE_8H,same_direction
historical,EP-00886-ENTRY_ON_TAP,2026-06-02 19:26:00-04:00,IFVG2-000022,2026-06-02 10:33:00-04:00,2026-06-02 18:46:00-04:00,EXPIRED_ACTIVE_8H,same_direction
historical,EP-00893-ENTRY_ON_TAP,2026-06-02 19:46:00-04:00,IFVG2-003955,2026-06-02 19:13:00-04:00,2026-06-02 19:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00900-ENTRY_ON_IFVG_RETEST,2026-06-02 19:46:00-04:00,IFVG2-003417,2026-06-02 19:20:00-04:00,2026-06-02 19:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00903-ENTRY_ON_IFVG_RETEST,2026-06-02 19:46:00-04:00,IFVG2-002500,2026-06-02 19:18:00-04:00,2026-06-02 19:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00906-ENTRY_ON_IFVG_RETEST,2026-06-02 19:46:00-04:00,IFVG2-003955,2026-06-02 19:13:00-04:00,2026-06-02 19:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00907-ENTRY_ON_IFVG_RETEST,2026-06-02 19:48:00-04:00,IFVG2-003417,2026-06-02 19:20:00-04:00,2026-06-02 19:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00908-ENTRY_ON_TAP,2026-06-02 19:54:00-04:00,IFVG2-004126,2026-06-02 19:30:00-04:00,2026-06-02 19:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00909-ENTRY_ON_TAP,2026-06-02 19:54:00-04:00,IFVG2-004126,2026-06-02 19:30:00-04:00,2026-06-02 19:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00912-ENTRY_ON_IFVG_RETEST,2026-06-02 20:15:00-04:00,IFVG2-003956,2026-06-02 19:59:00-04:00,2026-06-03 04:00:00-04:00,EXPIRED_ACTIVE_8H,component
historical,EP-00913-ENTRY_ON_IFVG_RETEST,2026-06-02 20:15:00-04:00,IFVG2-003956,2026-06-02 19:59:00-04:00,2026-06-03 04:00:00-04:00,EXPIRED_ACTIVE_8H,component
historical,EP-00918-ENTRY_ON_NEW_FVG,2026-06-02 23:17:00-04:00,IFVG2-003954,2026-06-02 18:58:00-04:00,2026-06-03 03:14:00-04:00,EXPIRED_ACTIVE_8H,component
historical,EP-00918-ENTRY_ON_NEW_FVG,2026-06-02 23:17:00-04:00,IFVG2-003956,2026-06-02 19:59:00-04:00,2026-06-03 04:00:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00940-ENTRY_ON_IFVG_RETEST,2026-06-02 21:32:00-04:00,IFVG2-002498,2026-06-02 12:19:00-04:00,2026-06-02 13:03:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00940-ENTRY_ON_IFVG_RETEST,2026-06-02 21:32:00-04:00,IFVG2-003957,2026-06-02 21:12:00-04:00,2026-06-03 00:15:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00941-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-02 22:15:00-04:00,IFVG2-000029,2026-06-02 19:17:00-04:00,2026-06-02 19:44:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00941-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-02 22:15:00-04:00,IFVG2-003956,2026-06-02 19:59:00-04:00,2026-06-03 04:00:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00941-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-02 22:15:00-04:00,IFVG2-003957,2026-06-02 21:12:00-04:00,2026-06-03 00:15:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00941-ENTRY_ON_NEW_FVG,2026-06-02 23:17:00-04:00,IFVG2-003956,2026-06-02 19:59:00-04:00,2026-06-03 04:00:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00941-ENTRY_ON_NEW_FVG,2026-06-02 23:17:00-04:00,IFVG2-003957,2026-06-02 21:12:00-04:00,2026-06-03 00:15:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00947-ENTRY_ON_TAP,2026-06-02 22:00:00-04:00,IFVG2-003956,2026-06-02 19:59:00-04:00,2026-06-03 04:00:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00948-ENTRY_ON_TAP,2026-06-02 22:00:00-04:00,IFVG2-003956,2026-06-02 19:59:00-04:00,2026-06-03 04:00:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00960-ENTRY_ON_TAP,2026-06-03 00:20:00-04:00,IFVG2-003424,2026-06-03 00:15:00-04:00,2026-06-03 00:54:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00975-ENTRY_ON_IFVG_RETEST,2026-06-03 01:08:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,component
historical,EP-00979-ENTRY_ON_TAP,2026-06-03 01:46:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00980-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 03:02:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00980-ENTRY_ON_MINIMAL_WICK_REJECTION,2026-06-03 03:02:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00988-ENTRY_ON_TAP,2026-06-03 03:02:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00992-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 03:02:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00993-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 03:02:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
