application_session,lookback,item_id,lookback_had_enough_sessions,n_lookback_sessions,lane,entry_variant,reaction_state,direction,context_tf,trigger_tf,session_window,target_family,target_tf,natural_rr_bin,total_occurrences,executable_occurrences,target_hits,stop_hits,time_exits,success_count,failure_count,support_class,most_recent_session,age_sessions,source_session_dates,source_episode_ids,source_variant_ids
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-001,True,1,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,NY_LUNCH,rb,60,2.0-1000000000.0,2,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41875,EP-41875-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-002,True,1,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,30,1,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41861,EP-41861-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-003,True,1,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41873,EP-41873-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-004,True,1,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,5,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41843,EP-41843-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-005,True,1,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,NY_LUNCH,rb,60,2.0-1000000000.0,3,3,2,1,0,2,1,TWO_OBSERVATIONS_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41871|EP-41875,EP-41871-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-41875-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-006,True,1,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,15,15,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41844,EP-41844-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-007,True,1,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,3,NY_AM,ifvg,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41749,EP-41749-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-008,True,1,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,5,5,ASIA,fvg,3,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41153,EP-41153-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-009,True,1,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,5,5,NY_LUNCH,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41874,EP-41874-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-010,True,1,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,1,3,3,NY_AM,ifvg,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41749,EP-41749-ENTRY_ON_IMMEDIATE_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-011,True,1,A,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,1,5,5,NY_LUNCH,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41874,EP-41874-ENTRY_ON_IMMEDIATE_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-012,True,1,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,1,1,NY_LUNCH,rb,60,2.0-1000000000.0,3,3,2,1,0,2,1,TWO_OBSERVATIONS_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41871|EP-41875,EP-41871-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-41875-ENTRY_ON_MINIMAL_WICK_REJECTION
