variant_id,episode_id,cross_lookback,prev_1,prev_3,prev_10,prev_20,support_1,support_3,support_10,support_20
EP-42403-ENTRY_ON_TAP,EP-42403,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42422-ENTRY_ON_TAP,EP-42422,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42428-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42428,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42441-ENTRY_ON_TAP,EP-42441,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42441-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42441,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42442-ENTRY_ON_TAP,EP-42442,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42442-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42442,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42450-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42450,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42451-ENTRY_ON_TAP,EP-42451,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42535-ENTRY_ON_TAP,EP-42535,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42536-ENTRY_ON_TAP,EP-42536,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42564-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42564,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42567-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42567,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42592-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42592,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42600-ENTRY_ON_TAP,EP-42600,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42604-ENTRY_ON_TAP,EP-42604,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42604-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42604,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,2
EP-42604-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-42604,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42621-ENTRY_ON_TAP,EP-42621,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42621-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42621,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42637-ENTRY_ON_TAP,EP-42637,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42643-ENTRY_ON_TAP,EP-42643,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-42701-ENTRY_ON_DELAYED_DISPLACEMENT,EP-42701,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,1
EP-42703-ENTRY_ON_DELAYED_DISPLACEMENT,EP-42703,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,1
EP-43351-ENTRY_ON_NEW_FVG,EP-43351,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-43352-ENTRY_ON_NEW_FVG,EP-43352,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-43356-ENTRY_ON_DELAYED_DISPLACEMENT,EP-43356,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-43360-ENTRY_ON_TAP,EP-43360,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-43365-ENTRY_ON_TAP,EP-43365,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-43648-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-43648,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-43648-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-43648,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-43907-ENTRY_ON_DELAYED_DISPLACEMENT,EP-43907,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-43910-ENTRY_ON_DELAYED_DISPLACEMENT,EP-43910,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-43932-ENTRY_ON_DELAYED_DISPLACEMENT,EP-43932,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-43960-ENTRY_ON_TAP,EP-43960,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
