structure_id,timeframe,direction,activation_ts,active,deactivation_seq,deactivation_ts,deactivation_available_seq,deactivation_reason,active_until_seq
IFVG2-000001,1,bearish,2026-06-01 09:11:00-04:00,False,181,2026-06-01 09:38:00-04:00,182,DEACTIVATED_CLOSE_THROUGH,181
IFVG2-000002,1,bullish,2026-06-01 09:37:00-04:00,False,198,2026-06-01 09:56:00-04:00,199,DEACTIVATED_CLOSE_THROUGH,198
IFVG2-000003,1,bullish,2026-06-01 09:46:00-04:00,False,194,2026-06-01 09:51:00-04:00,195,DEACTIVATED_OVERSHOOT_LIMIT,194
IFVG2-000004,1,bearish,2026-06-01 09:54:00-04:00,False,217,2026-06-01 10:16:00-04:00,218,DEACTIVATED_CLOSE_THROUGH,217
IFVG2-000005,1,bullish,2026-06-01 10:05:00-04:00,False,449,2026-06-01 18:08:00-04:00,450,EXPIRED_ACTIVE_8H,449
IFVG2-000006,1,bearish,2026-06-01 10:25:00-04:00,False,229,2026-06-01 10:29:00-04:00,230,DEACTIVATED_OVERSHOOT_LIMIT,229
IFVG2-000007,1,bearish,2026-06-01 11:25:00-04:00,False,277,2026-06-01 11:29:00-04:00,278,DEACTIVATED_CLOSE_THROUGH,277
IFVG2-000008,1,bullish,2026-06-01 11:30:00-04:00,False,292,2026-06-01 11:50:00-04:00,293,DEACTIVATED_CLOSE_THROUGH,292
IFVG2-000009,1,bullish,2026-06-01 12:32:00-04:00,False,322,2026-06-01 12:45:00-04:00,323,DEACTIVATED_CLOSE_THROUGH,322
IFVG2-000010,1,bullish,2026-06-01 12:32:00-04:00,False,449,2026-06-01 18:08:00-04:00,450,DEACTIVATED_CLOSE_THROUGH,449
IFVG2-000011,1,bearish,2026-06-01 13:04:00-04:00,False,346,2026-06-01 13:29:00-04:00,347,DEACTIVATED_CLOSE_THROUGH,346
IFVG2-000012,1,bullish,2026-06-01 13:29:00-04:00,False,442,2026-06-01 16:46:00-04:00,443,DEACTIVATED_CLOSE_THROUGH,442
IFVG2-000013,1,bullish,2026-06-01 13:40:00-04:00,False,431,2026-06-01 15:50:00-04:00,432,DEACTIVATED_CLOSE_THROUGH,431
IFVG2-000014,1,bearish,2026-06-01 14:49:00-04:00,False,406,2026-06-01 14:58:00-04:00,407,DEACTIVATED_CLOSE_THROUGH,406
IFVG2-000015,1,bearish,2026-06-01 15:31:00-04:00,False,534,2026-06-01 23:31:00-04:00,535,EXPIRED_UNTOUCHED_8H,534
IFVG2-000016,1,bearish,2026-06-01 15:31:00-04:00,False,534,2026-06-01 23:31:00-04:00,535,EXPIRED_UNTOUCHED_8H,534
IFVG2-000017,1,bearish,2026-06-01 16:08:00-04:00,False,542,2026-06-02 00:09:00-04:00,543,EXPIRED_UNTOUCHED_8H,542
IFVG2-000018,1,bearish,2026-06-01 18:08:00-04:00,False,573,2026-06-02 02:08:00-04:00,574,EXPIRED_ACTIVE_8H,573
IFVG2-000019,1,bearish,2026-06-02 10:23:00-04:00,False,745,2026-06-02 10:44:00-04:00,746,DEACTIVATED_CLOSE_THROUGH,745
IFVG2-000020,1,bearish,2026-06-02 10:25:00-04:00,False,736,2026-06-02 10:33:00-04:00,737,DEACTIVATED_CLOSE_THROUGH,736
IFVG2-000021,1,bearish,2026-06-02 10:26:00-04:00,False,732,2026-06-02 10:29:00-04:00,733,DEACTIVATED_OVERSHOOT_LIMIT,732
IFVG2-000022,1,bullish,2026-06-02 10:33:00-04:00,False,954,2026-06-02 18:46:00-04:00,955,EXPIRED_ACTIVE_8H,954
IFVG2-000023,1,bullish,2026-06-02 10:44:00-04:00,False,954,2026-06-02 18:46:00-04:00,955,EXPIRED_ACTIVE_8H,954
IFVG2-000024,1,bearish,2026-06-02 11:06:00-04:00,False,760,2026-06-02 11:07:00-04:00,761,DEACTIVATED_CLOSE_THROUGH,760
IFVG2-000025,1,bullish,2026-06-02 13:41:00-04:00,False,892,2026-06-02 14:39:00-04:00,893,DEACTIVATED_CLOSE_THROUGH,892
IFVG2-000026,1,bullish,2026-06-02 13:42:00-04:00,False,892,2026-06-02 14:39:00-04:00,893,DEACTIVATED_CLOSE_THROUGH,892
IFVG2-000027,1,bullish,2026-06-02 15:00:00-04:00,False,969,2026-06-02 19:22:00-04:00,970,DEACTIVATED_CLOSE_THROUGH,969
IFVG2-000028,1,bearish,2026-06-02 18:02:00-04:00,False,952,2026-06-02 18:31:00-04:00,953,DEACTIVATED_CLOSE_THROUGH,952
IFVG2-000029,1,bearish,2026-06-02 19:17:00-04:00,False,984,2026-06-02 19:44:00-04:00,985,DEACTIVATED_CLOSE_THROUGH,984
IFVG2-000030,1,bullish,2026-06-02 19:36:00-04:00,False,1106,2026-06-03 03:41:00-04:00,1107,EXPIRED_ACTIVE_8H,1106
IFVG2-000031,1,bullish,2026-06-03 09:51:00-04:00,False,1248,2026-06-03 09:57:00-04:00,1249,DEACTIVATED_CLOSE_THROUGH,1248
IFVG2-000032,1,bullish,2026-06-03 09:52:00-04:00,False,1246,2026-06-03 09:55:00-04:00,1247,DEACTIVATED_OVERSHOOT_LIMIT,1246
IFVG2-000033,1,bullish,2026-06-03 10:02:00-04:00,False,1349,2026-06-03 11:45:00-04:00,1350,DEACTIVATED_CLOSE_THROUGH,1349
IFVG2-000034,1,bearish,2026-06-03 10:07:00-04:00,False,1259,2026-06-03 10:08:00-04:00,1260,DEACTIVATED_CLOSE_THROUGH,1259
IFVG2-000035,1,bullish,2026-06-03 10:13:00-04:00,False,1327,2026-06-03 11:23:00-04:00,1328,DEACTIVATED_CLOSE_THROUGH,1327
IFVG2-000036,1,bullish,2026-06-03 10:15:00-04:00,False,1300,2026-06-03 10:50:00-04:00,1301,DEACTIVATED_CLOSE_THROUGH,1300
IFVG2-000037,1,bearish,2026-06-03 10:23:00-04:00,False,1277,2026-06-03 10:26:00-04:00,1278,DEACTIVATED_CLOSE_THROUGH,1277
IFVG2-000038,1,bullish,2026-06-03 10:29:00-04:00,False,1286,2026-06-03 10:36:00-04:00,1287,DEACTIVATED_CLOSE_THROUGH,1286
IFVG2-000039,1,bearish,2026-06-03 10:36:00-04:00,False,1287,2026-06-03 10:37:00-04:00,1288,DEACTIVATED_CLOSE_THROUGH,1287
IFVG2-000040,1,bearish,2026-06-03 10:36:00-04:00,False,1287,2026-06-03 10:37:00-04:00,1288,DEACTIVATED_CLOSE_THROUGH,1287
IFVG2-000041,1,bearish,2026-06-03 10:50:00-04:00,False,1301,2026-06-03 10:51:00-04:00,1302,DEACTIVATED_CLOSE_THROUGH,1301
IFVG2-000042,1,bullish,2026-06-03 10:51:00-04:00,False,1305,2026-06-03 10:55:00-04:00,1306,DEACTIVATED_CLOSE_THROUGH,1305
IFVG2-000043,1,bearish,2026-06-03 11:22:00-04:00,False,1333,2026-06-03 11:29:00-04:00,1334,DEACTIVATED_CLOSE_THROUGH,1333
IFVG2-000044,1,bearish,2026-06-03 11:34:00-04:00,False,1477,2026-06-03 14:25:00-04:00,1478,DEACTIVATED_CLOSE_THROUGH,1477
IFVG2-000045,1,bearish,2026-06-03 11:34:00-04:00,False,1518,2026-06-03 15:37:00-04:00,1519,DEACTIVATED_CLOSE_THROUGH,1518
IFVG2-000046,1,bearish,2026-06-03 11:38:00-04:00,False,1454,2026-06-03 13:55:00-04:00,1455,DEACTIVATED_CLOSE_THROUGH,1454
IFVG2-000047,1,bullish,2026-06-03 11:49:00-04:00,False,1358,2026-06-03 11:55:00-04:00,1359,DEACTIVATED_OVERSHOOT_LIMIT,1358
IFVG2-000048,1,bullish,2026-06-03 11:49:00-04:00,False,1361,2026-06-03 12:01:00-04:00,1362,DEACTIVATED_CLOSE_THROUGH,1361
IFVG2-000049,1,bearish,2026-06-03 12:01:00-04:00,False,1448,2026-06-03 13:47:00-04:00,1449,DEACTIVATED_CLOSE_THROUGH,1448
IFVG2-000050,1,bearish,2026-06-03 12:18:00-04:00,False,1412,2026-06-03 12:58:00-04:00,1413,DEACTIVATED_CLOSE_THROUGH,1412
IFVG2-000051,1,bearish,2026-06-03 12:35:00-04:00,False,1402,2026-06-03 12:48:00-04:00,1403,DEACTIVATED_CLOSE_THROUGH,1402
IFVG2-000052,1,bearish,2026-06-03 12:41:00-04:00,False,1404,2026-06-03 12:50:00-04:00,1405,DEACTIVATED_CLOSE_THROUGH,1404
IFVG2-000053,1,bullish,2026-06-03 12:52:00-04:00,False,1419,2026-06-03 13:06:00-04:00,1420,DEACTIVATED_CLOSE_THROUGH,1419
IFVG2-000054,1,bearish,2026-06-03 13:13:00-04:00,False,1432,2026-06-03 13:25:00-04:00,1433,DEACTIVATED_CLOSE_THROUGH,1432
IFVG2-000055,1,bearish,2026-06-03 13:18:00-04:00,False,1431,2026-06-03 13:24:00-04:00,1432,DEACTIVATED_CLOSE_THROUGH,1431
IFVG2-000056,1,bearish,2026-06-03 14:13:00-04:00,False,1474,2026-06-03 14:21:00-04:00,1475,DEACTIVATED_CLOSE_THROUGH,1474
IFVG2-000057,1,bullish,2026-06-03 16:04:00-04:00,False,1541,2026-06-03 16:06:00-04:00,1542,DEACTIVATED_CLOSE_THROUGH,1541
IFVG2-000058,1,bearish,2026-06-03 16:41:00-04:00,False,1698,2026-06-04 01:11:00-04:00,1699,EXPIRED_ACTIVE_8H,1698
IFVG2-000059,1,bullish,2026-06-04 05:25:00-04:00,False,1821,2026-06-04 06:36:00-04:00,1822,DEACTIVATED_CLOSE_THROUGH,1821
IFVG2-000060,1,bullish,2026-06-04 05:34:00-04:00,False,1787,2026-06-04 05:39:00-04:00,1788,DEACTIVATED_CLOSE_THROUGH,1787
IFVG2-000061,1,bullish,2026-06-04 08:33:00-04:00,False,1910,2026-06-04 09:30:00-04:00,1911,DEACTIVATED_CLOSE_THROUGH,1910
IFVG2-000062,1,bearish,2026-06-04 09:27:00-04:00,False,1913,2026-06-04 09:33:00-04:00,1914,DEACTIVATED_CLOSE_THROUGH,1913
IFVG2-000063,1,bearish,2026-06-04 09:41:00-04:00,False,1932,2026-06-04 09:52:00-04:00,1933,DEACTIVATED_OVERSHOOT_LIMIT,1932
IFVG2-000064,1,bearish,2026-06-04 09:41:00-04:00,False,1964,2026-06-04 10:25:00-04:00,1965,DEACTIVATED_CLOSE_THROUGH,1964
IFVG2-000065,1,bullish,2026-06-04 09:47:00-04:00,False,1929,2026-06-04 09:49:00-04:00,1930,DEACTIVATED_OVERSHOOT_LIMIT,1929
IFVG2-000066,1,bullish,2026-06-04 09:48:00-04:00,False,1929,2026-06-04 09:49:00-04:00,1930,DEACTIVATED_CLOSE_THROUGH,1929
IFVG2-000067,1,bearish,2026-06-04 09:59:00-04:00,False,1951,2026-06-04 10:11:00-04:00,1952,DEACTIVATED_CLOSE_THROUGH,1951
IFVG2-000068,1,bearish,2026-06-04 09:59:00-04:00,False,1955,2026-06-04 10:15:00-04:00,1956,DEACTIVATED_CLOSE_THROUGH,1955
IFVG2-000069,1,bullish,2026-06-04 10:10:00-04:00,False,2247,2026-06-04 18:10:00-04:00,2248,EXPIRED_UNTOUCHED_8H,2247
IFVG2-000070,1,bullish,2026-06-04 10:10:00-04:00,False,2247,2026-06-04 18:10:00-04:00,2248,EXPIRED_UNTOUCHED_8H,2247
IFVG2-000071,1,bullish,2026-06-04 10:23:00-04:00,False,2254,2026-06-04 18:23:00-04:00,2255,EXPIRED_ACTIVE_8H,2254
IFVG2-000072,1,bearish,2026-06-04 11:20:00-04:00,False,2063,2026-06-04 12:17:00-04:00,2064,DEACTIVATED_CLOSE_THROUGH,2063
IFVG2-000073,1,bearish,2026-06-04 11:48:00-04:00,False,2055,2026-06-04 12:06:00-04:00,2056,DEACTIVATED_CLOSE_THROUGH,2055
IFVG2-000074,1,bearish,2026-06-04 13:00:00-04:00,False,2103,2026-06-04 13:09:00-04:00,2104,DEACTIVATED_CLOSE_THROUGH,2103
IFVG2-000075,1,bullish,2026-06-04 13:42:00-04:00,False,2213,2026-06-04 15:51:00-04:00,2214,DEACTIVATED_CLOSE_THROUGH,2213
IFVG2-000076,1,bullish,2026-06-04 14:25:00-04:00,False,2162,2026-06-04 14:33:00-04:00,2163,DEACTIVATED_CLOSE_THROUGH,2162
IFVG2-000077,1,bearish,2026-06-04 14:58:00-04:00,False,2176,2026-06-04 15:05:00-04:00,2177,DEACTIVATED_CLOSE_THROUGH,2176
IFVG2-000078,1,bearish,2026-06-04 15:45:00-04:00,False,2209,2026-06-04 15:46:00-04:00,2210,DEACTIVATED_CLOSE_THROUGH,2209
IFVG2-000079,1,bearish,2026-06-04 18:24:00-04:00,False,2263,2026-06-04 18:58:00-04:00,2264,DEACTIVATED_CLOSE_THROUGH,2263
IFVG2-000080,1,bullish,2026-06-05 03:38:00-04:00,False,2477,2026-06-05 03:40:00-04:00,2478,DEACTIVATED_CLOSE_THROUGH,2477
IFVG2-000081,1,bullish,2026-06-05 03:38:00-04:00,False,2477,2026-06-05 03:40:00-04:00,2478,DEACTIVATED_CLOSE_THROUGH,2477
IFVG2-000082,1,bearish,2026-06-05 07:06:00-04:00,False,2963,2026-06-05 15:06:00-04:00,2964,EXPIRED_UNTOUCHED_8H,2963
IFVG2-000083,1,bullish,2026-06-05 08:43:00-04:00,False,2599,2026-06-05 08:54:00-04:00,2600,DEACTIVATED_CLOSE_THROUGH,2599
IFVG2-000084,1,bearish,2026-06-05 08:50:00-04:00,False,3064,2026-06-05 16:50:00-04:00,3065,EXPIRED_UNTOUCHED_8H,3064
IFVG2-000085,1,bullish,2026-06-05 09:28:00-04:00,False,2627,2026-06-05 09:30:00-04:00,2628,DEACTIVATED_CLOSE_THROUGH,2627
IFVG2-000086,1,bullish,2026-06-05 09:28:00-04:00,False,2627,2026-06-05 09:30:00-04:00,2628,DEACTIVATED_CLOSE_THROUGH,2627
IFVG2-000087,1,bullish,2026-06-05 10:08:00-04:00,False,2668,2026-06-05 10:11:00-04:00,2669,DEACTIVATED_CLOSE_THROUGH,2668
IFVG2-000088,1,bullish,2026-06-05 10:08:00-04:00,False,2719,2026-06-05 11:02:00-04:00,2720,DEACTIVATED_CLOSE_THROUGH,2719
