application_session,lookback,item_id,lookback_had_enough_sessions,n_lookback_historical_sessions,lane,entry_variant,reaction_state,direction,context_tf,trigger_tf,session_window,target_family,target_tf,natural_rr_bin,total_occurrences,executable_occurrences,target_hits,stop_hits,time_exits,success_count,failure_count,support_class,most_recent_session,age_sessions,source_session_dates,source_episode_ids,source_variant_ids
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-001,True,20,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,1,1,ASIA,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-22,20,2026-06-22,EP-19639,EP-19639-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-002,True,20,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,1,1,ASIA,ifvg,3,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-22,20,2026-06-22,EP-19616,EP-19616-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-003,True,20,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,1,1,NY_PM,ifvg,5,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-16,26,2026-06-16,EP-14258,EP-14258-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-004,True,20,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,3,3,ASIA,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-22,20,2026-06-22,EP-19633,EP-19633-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-005,True,20,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,ASIA,fvg,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-14,28,2026-06-14,EP-09905,EP-09905-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-006,True,20,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,3,1,ASIA,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-16,26,2026-06-16,EP-13301,EP-13301-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-007,True,20,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,ASIA,ifvg,3,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-22,20,2026-06-22,EP-19616,EP-19616-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-008,True,20,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,1,ASIA,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-16,26,2026-06-16,EP-13301,EP-13301-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-009,True,20,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,3,ASIA,fvg,60,1.0-2.0,2,2,1,1,0,1,1,SINGLE_OBSERVATION_PROVISIONAL,2026-06-14,28,2026-06-14,EP-09915,EP-09915-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_20_SESSIONS,PREV_20_SESSIONS-010,True,20,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,5,1,ASIA,ifvg,1,0.5-1.0,2,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-06-16,26,2026-06-16,EP-13303,EP-13303-ENTRY_ON_FIRST_CLOSE_OUTSIDE
