episode_id,variant_id,role,structure_id
EP-00001,,context/component,FVG2-004443
EP-00002,,context/component,FVG2-004443
EP-00003,,context/component,FVG2-007142
EP-00004,,context/component,IFVG2-003941
EP-00005,,context/component,FVG2-007142
EP-00006,,context/component,IFVG2-003941
EP-00007,,context/component,RB2-017341
EP-00008,,context/component,RB2-017341
EP-00009,,context/component,RB2-017342
EP-00010,,context/component,RB2-017342
EP-00011,,context/component,FVG2-000001
EP-00012,,context/component,RB2-023763
EP-00012,EP-00012-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-007143
EP-00012,EP-00012-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-000001
EP-00012,EP-00012-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007143
EP-00012,EP-00012-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-017342
EP-00013,,context/component,RB2-027815
EP-00014,,context/component,RB2-027815
EP-00014,EP-00014-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,RB2-023765
EP-00014,EP-00014-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-023765
EP-00014,EP-00014-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-023765
EP-00015,,context/component,RB2-023765
EP-00015,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00015,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-000001
EP-00015,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00015,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,RB2-017343
EP-00016,,context/component,RB2-023765
EP-00016,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00016,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-000001
EP-00016,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00016,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,RB2-027815
EP-00017,,context/component,RB2-017345
EP-00017,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00017,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-000001
EP-00017,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00017,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,RB2-027815
EP-00018,,context/component,RB2-017345
EP-00019,,context/component,FVG2-007144
EP-00019,EP-00019-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00019,EP-00019-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,FVG2-000001
EP-00019,EP-00019-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00019,EP-00019-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-027815
EP-00020,,context/component,FVG2-007144
EP-00020,,context/component,RB2-027817
EP-00020,EP-00020-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00020,EP-00020-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,FVG2-000001
EP-00020,EP-00020-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00020,EP-00020-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-027815
EP-00021,,context/component,RB2-027817
EP-00022,,context/component,RB2-027816
EP-00022,EP-00022-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,RB2-023767
EP-00022,EP-00022-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-023767
EP-00022,EP-00022-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-003942
EP-00022,EP-00022-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-023765
EP-00022,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00022,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-000001
EP-00022,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00022,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,RB2-027817
EP-00023,,context/component,RB2-027816
EP-00024,,context/component,FVG2-007145
EP-00025,,context/component,RB2-027818
EP-00026,,context/component,FVG2-007145
EP-00026,,context/component,IFVG2-003942
EP-00026,EP-00026-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,RB2-027816
EP-00026,EP-00026-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-027816
EP-00026,EP-00026-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-027815
EP-00027,,context/component,RB2-027818
EP-00028,,context/component,RB2-023766
EP-00028,EP-00028-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00028,EP-00028-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-000001
EP-00028,EP-00028-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00028,EP-00028-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-027817
EP-00029,,context/component,IFVG2-003942
EP-00029,EP-00029-ENTRY_ON_IFVG_RETEST,target:NEAREST_OPPOSING_VALID_STRUCTURE,RB2-027816
EP-00029,EP-00029-ENTRY_ON_IFVG_RETEST,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-027816
EP-00029,EP-00029-ENTRY_ON_IFVG_RETEST,target:ANY_SURFACE_DIAGNOSTIC,RB2-027815
EP-00030,,context/component,RB2-023767
EP-00031,,context/component,IFVG2-003943
EP-00032,,context/component,RB2-023767
EP-00033,,context/component,IFVG2-003943
EP-00034,,context/component,FVG2-007146
EP-00034,EP-00034-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000001
EP-00034,EP-00034-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,FVG2-000001
EP-00034,EP-00034-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007525
EP-00034,EP-00034-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-027820
EP-00035,,context/component,FVG2-007146
EP-00036,,context/component,RB2-027819
EP-00037,,context/component,RB2-027819
EP-00038,,context/component,IFVG2-003944
EP-00039,,context/component,RB2-027820
EP-00040,,context/component,IFVG2-003944
EP-00041,,context/component,RB2-000002
EP-00042,,context/component,RB2-027820
EP-00043,,context/component,RB2-027822
EP-00044,,context/component,FVG2-000002
EP-00045,,context/component,RB2-000004
EP-00046,,context/component,RB2-027822
EP-00046,EP-00046-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000002
EP-00046,EP-00046-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-023769
EP-00046,EP-00046-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-017347
EP-00047,,context/component,RB2-017347
EP-00047,EP-00047-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,FVG2-000002
EP-00047,EP-00047-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-023769
