variant_id,episode_id,symbol,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,executable,interaction_ts,trigger_ts,entry_ts,entry_price,atr_1m_24,atr_5m_24,raw_stop_price,raw_stop_distance,effective_stop_price,effective_stop_distance,stop_widened_by_atr_floor,target_surface,target_family,target_tf,target_distance,target_distance_atr5_multiple,natural_rr,rejection_reason,session_date
EP-42002-ENTRY_ON_COMPRESSION_BREAK,EP-42002,NQU6,ENTRY_ON_COMPRESSION_BREAK,COMPRESSION_THEN_BREAK,-1,A,GLOBEX_EVENING,30,30,False,False,,2026-07-12 18:30:00-04:00,2026-07-12 18:30:00-04:00,29887.25,14.3111,27.0561,30072.25,185.0,30072.25,185.0,False,29887.0,ifvg,3,0.25,0.0092,0.0014,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42082-ENTRY_ON_DELAYED_DISPLACEMENT,EP-42082,NQU6,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,GLOBEX_EVENING,30,30,False,False,,2026-07-12 18:30:00-04:00,2026-07-12 18:30:00-04:00,29887.25,14.3111,27.0561,30094.0,206.75,30094.0,206.75,False,29887.0,ifvg,3,0.25,0.0092,0.0012,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42082-ENTRY_ON_COMPRESSION_BREAK,EP-42082,NQU6,ENTRY_ON_COMPRESSION_BREAK,COMPRESSION_THEN_BREAK,-1,A,GLOBEX_EVENING,30,30,False,False,,2026-07-12 18:30:00-04:00,2026-07-12 18:30:00-04:00,29887.25,14.3111,27.0561,30094.0,206.75,30094.0,206.75,False,29887.0,ifvg,3,0.25,0.0092,0.0012,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42083-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42083,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,GLOBEX_EVENING,60,60,False,False,,2026-07-12 19:00:00-04:00,2026-07-12 19:00:00-04:00,29909.75,10.7218,26.1078,30094.0,184.25,30094.0,184.25,False,29908.75,fvg,3,1.0,0.0383,0.0054,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42083-ENTRY_ON_STRONG_REJECTION,EP-42083,NQU6,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,A,ASIA,60,60,False,False,,2026-07-12 21:00:00-04:00,2026-07-12 21:00:00-04:00,29836.75,19.8538,36.0356,30094.0,257.25,30094.0,257.25,False,29836.25,ifvg,1,0.5,0.0139,0.0019,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42083-ENTRY_ON_DELAYED_DISPLACEMENT,EP-42083,NQU6,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,ASIA,60,60,False,False,,2026-07-12 21:00:00-04:00,2026-07-12 21:00:00-04:00,29836.75,19.8538,36.0356,30094.0,257.25,30094.0,257.25,False,29836.25,ifvg,1,0.5,0.0139,0.0019,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42083-ENTRY_ON_NEW_FVG,EP-42083,NQU6,ENTRY_ON_NEW_FVG,NEW_FVG,-1,A,ASIA,60,60,False,False,,2026-07-13 00:00:00-04:00,2026-07-13 00:00:00-04:00,29689.75,10.4679,30.9094,30094.0,404.25,30094.0,404.25,False,29688.75,ifvg,3,1.0,0.0324,0.0025,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42083-ENTRY_ON_NEW_IFVG,EP-42083,NQU6,ENTRY_ON_NEW_IFVG,NEW_IFVG,-1,A,GLOBEX_EVENING,60,60,False,False,,2026-07-12 19:00:00-04:00,2026-07-12 19:00:00-04:00,29909.75,10.7218,26.1078,30094.0,184.25,30094.0,184.25,False,29908.75,fvg,3,1.0,0.0383,0.0054,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42084-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42084,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,GLOBEX_EVENING,60,60,False,False,,2026-07-12 19:00:00-04:00,2026-07-12 19:00:00-04:00,29909.75,10.7218,26.1078,30071.0,161.25,30071.0,161.25,False,29908.75,fvg,3,1.0,0.0383,0.0062,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42084-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-42084,NQU6,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,A,ASIA,60,60,False,False,,2026-07-12 21:00:00-04:00,2026-07-12 21:00:00-04:00,29836.75,19.8538,36.0356,30071.0,234.25,30071.0,234.25,False,29836.25,ifvg,1,0.5,0.0139,0.0021,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42084-ENTRY_ON_STRONG_REJECTION,EP-42084,NQU6,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,-1,A,ASIA,60,60,False,False,,2026-07-12 21:00:00-04:00,2026-07-12 21:00:00-04:00,29836.75,19.8538,36.0356,30071.0,234.25,30071.0,234.25,False,29836.25,ifvg,1,0.5,0.0139,0.0021,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42084-ENTRY_ON_DELAYED_DISPLACEMENT,EP-42084,NQU6,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,ASIA,60,60,False,False,,2026-07-12 21:00:00-04:00,2026-07-12 21:00:00-04:00,29836.75,19.8538,36.0356,30071.0,234.25,30071.0,234.25,False,29836.25,ifvg,1,0.5,0.0139,0.0021,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42084-ENTRY_ON_NEW_FVG,EP-42084,NQU6,ENTRY_ON_NEW_FVG,NEW_FVG,-1,A,ASIA,60,60,False,False,,2026-07-13 00:00:00-04:00,2026-07-13 00:00:00-04:00,29689.75,10.4679,30.9094,30071.0,381.25,30071.0,381.25,False,29688.75,ifvg,3,1.0,0.0324,0.0026,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42084-ENTRY_ON_NEW_IFVG,EP-42084,NQU6,ENTRY_ON_NEW_IFVG,NEW_IFVG,-1,A,GLOBEX_EVENING,60,60,False,False,,2026-07-12 19:00:00-04:00,2026-07-12 19:00:00-04:00,29909.75,10.7218,26.1078,30071.0,161.25,30071.0,161.25,False,29908.75,fvg,3,1.0,0.0383,0.0062,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
EP-42174-ENTRY_ON_TAP,EP-42174,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,GLOBEX_EVENING,5,5,False,False,,2026-07-12 18:00:00-04:00,2026-07-12 18:00:00-04:00,29952.0,4.4565,19.3094,30059.5,107.5,29844.5,107.5,False,,,,,,,NO_STRUCTURAL_STOP,2026-07-12
EP-42176-ENTRY_ON_TAP,EP-42176,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,GLOBEX_EVENING,3,3,False,False,,2026-07-12 18:00:00-04:00,2026-07-12 18:00:00-04:00,29952.0,4.4565,19.3094,30059.5,107.5,29844.5,107.5,False,,,,,,,NO_STRUCTURAL_STOP,2026-07-12
EP-42177-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42177,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,F,GLOBEX_EVENING,5,1,True,False,2026-07-10 16:58:00-04:00,2026-07-12 18:00:00-04:00,2026-07-12 18:00:00-04:00,29952.0,4.4565,19.3094,30059.5,107.5,29844.5,107.5,False,,,,,,,NO_STRUCTURAL_STOP,2026-07-12
EP-42178-ENTRY_ON_TAP,EP-42178,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,GLOBEX_EVENING,1,1,False,False,2026-07-10 16:59:00-04:00,2026-07-12 18:00:00-04:00,2026-07-12 18:00:00-04:00,29952.0,4.4565,19.3094,30076.25,124.25,30076.25,124.25,False,29950.0,ifvg,1,2.0,0.1036,0.0161,TARGET_DISTANCE_BELOW_5M_ATR24,2026-07-12
