label,tp_k,sl_k,be_bar,occ_trades,pf,net_r,win_pct,green_years
0.7RR_BE30,1.5,2.1429,30,2544,1.1373,132.1,61.44,7
1.0RR_BE30,1.5,1.5,30,2544,1.1354,161.0,53.07,8
1.25RR_BE30,1.5,1.2,30,2544,1.1545,204.25,48.0,7
2.0RR_BE30,2.0,1.0,30,2357,1.1007,153.0,35.47,5
0.7RR_NOBE,1.5,2.1429,9999,2543,1.1276,124.3,61.7,7
1.0RR_NOBE,1.5,1.5,9999,2543,1.1316,157.0,53.09,8
1.25RR_NOBE,1.5,1.2,9999,2543,1.1545,204.25,48.01,7
2.0RR_NOBE,2.0,1.0,9999,2357,1.1013,154.0,35.51,5
