candidate_id,year,entry_ts,direction,context_id,context_family,context_tf,trigger_tf,entry_variant,old_present,new_present,removal_reason,context_zone_lo,context_zone_hi,contract_old,contract_new
seg000_NQH8::EP-00850-ENTRY_ON_TAP,2018,2018-01-02 09:56:00-05:00,1,,TAP_ONLY,5,1,ENTRY_ON_TAP,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-00857-ENTRY_ON_TAP,2018,2018-01-02 10:01:00-05:00,-1,,TAP_ONLY,1,1,ENTRY_ON_TAP,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-00858-ENTRY_ON_TAP,2018,2018-01-02 10:04:00-05:00,-1,,TAP_ONLY,3,1,ENTRY_ON_TAP,True,True,,,,,
seg000_NQH8::EP-00893-ENTRY_ON_TAP,2018,2018-01-02 10:39:00-05:00,1,,TAP_ONLY,1,1,ENTRY_ON_TAP,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-00894-ENTRY_ON_TAP,2018,2018-01-02 10:39:00-05:00,1,,TAP_ONLY,1,1,ENTRY_ON_TAP,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01802-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2018,2018-01-03 09:30:00-05:00,1,,CLOSE_BACK_OUTSIDE,5,5,ENTRY_ON_FIRST_CLOSE_OUTSIDE,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01802-ENTRY_ON_MINIMAL_WICK_REJECTION,2018,2018-01-03 09:30:00-05:00,1,,MINIMAL_WICK_REJECTION,5,5,ENTRY_ON_MINIMAL_WICK_REJECTION,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01811-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2018,2018-01-03 09:30:00-05:00,1,,CLOSE_BACK_OUTSIDE,5,5,ENTRY_ON_FIRST_CLOSE_OUTSIDE,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01811-ENTRY_ON_MINIMAL_WICK_REJECTION,2018,2018-01-03 09:30:00-05:00,1,,MINIMAL_WICK_REJECTION,5,5,ENTRY_ON_MINIMAL_WICK_REJECTION,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01816-ENTRY_ON_TAP,2018,2018-01-03 09:30:00-05:00,-1,,TAP_ONLY,5,5,ENTRY_ON_TAP,True,True,,,,,
seg000_NQH8::EP-01822-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2018,2018-01-03 09:30:00-05:00,-1,,CLOSE_BACK_OUTSIDE,1,1,ENTRY_ON_FIRST_CLOSE_OUTSIDE,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01822-ENTRY_ON_MINIMAL_WICK_REJECTION,2018,2018-01-03 09:30:00-05:00,-1,,MINIMAL_WICK_REJECTION,1,1,ENTRY_ON_MINIMAL_WICK_REJECTION,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01822-ENTRY_ON_IMMEDIATE_DISPLACEMENT,2018,2018-01-03 09:30:00-05:00,-1,,IMMEDIATE_DISPLACEMENT,1,1,ENTRY_ON_IMMEDIATE_DISPLACEMENT,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01827-ENTRY_ON_TAP,2018,2018-01-03 09:36:00-05:00,-1,,TAP_ONLY,1,1,ENTRY_ON_TAP,True,False,NOT_IN_NEW_FILTERED,,,,
seg000_NQH8::EP-01841-ENTRY_ON_TAP,2018,2018-01-03 09:56:00-05:00,-1,,TAP_ONLY,5,1,ENTRY_ON_TAP,True,True,,,,,
