timeframe,a_seq,b_seq,c_seq,a_ts,b_ts,c_ts,a_colour_state,b_colour_state,c_colour_state,geometry_direction,lo,hi,exclusion_reason
1,54,55,56,2026-07-12 18:54:00-04:00,2026-07-12 18:55:00-04:00,2026-07-12 18:56:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29892.75,29902.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,128,129,130,2026-07-12 20:08:00-04:00,2026-07-12 20:09:00-04:00,2026-07-12 20:10:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29992.25,29996.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,222,223,224,2026-07-12 21:42:00-04:00,2026-07-12 21:43:00-04:00,2026-07-12 21:44:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29815.0,29817.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,272,273,274,2026-07-12 22:32:00-04:00,2026-07-12 22:33:00-04:00,2026-07-12 22:34:00-04:00,bullish,bullish,exact_doji_colour_unresolved,bullish,29772.75,29773.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,274,275,276,2026-07-12 22:34:00-04:00,2026-07-12 22:35:00-04:00,2026-07-12 22:36:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29769.0,29773.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,409,410,411,2026-07-13 00:49:00-04:00,2026-07-13 00:50:00-04:00,2026-07-13 00:51:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29621.5,29622.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,1334,1335,1336,2026-07-13 16:14:00-04:00,2026-07-13 16:15:00-04:00,2026-07-13 16:16:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29422.0,29453.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,1359,1360,1361,2026-07-13 16:39:00-04:00,2026-07-13 16:40:00-04:00,2026-07-13 16:41:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29433.25,29435.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,1418,1419,1420,2026-07-13 18:38:00-04:00,2026-07-13 18:39:00-04:00,2026-07-13 18:40:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29431.0,29433.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,1518,1519,1520,2026-07-13 20:18:00-04:00,2026-07-13 20:19:00-04:00,2026-07-13 20:20:00-04:00,exact_doji_colour_unresolved,bearish,bullish,bearish,29400.0,29422.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,1648,1649,1650,2026-07-13 22:28:00-04:00,2026-07-13 22:29:00-04:00,2026-07-13 22:30:00-04:00,bullish,bullish,exact_doji_colour_unresolved,bullish,29389.25,29394.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,1679,1680,1681,2026-07-13 22:59:00-04:00,2026-07-13 23:00:00-04:00,2026-07-13 23:01:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,29383.5,29385.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,1681,1682,1683,2026-07-13 23:01:00-04:00,2026-07-13 23:02:00-04:00,2026-07-13 23:03:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29370.5,29378.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,1692,1693,1694,2026-07-13 23:12:00-04:00,2026-07-13 23:13:00-04:00,2026-07-13 23:14:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29338.0,29340.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,1765,1766,1767,2026-07-14 00:25:00-04:00,2026-07-14 00:26:00-04:00,2026-07-14 00:27:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29431.25,29431.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,1802,1803,1804,2026-07-14 01:02:00-04:00,2026-07-14 01:03:00-04:00,2026-07-14 01:04:00-04:00,bullish,bullish,exact_doji_colour_unresolved,bullish,29501.0,29507.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,2508,2509,2510,2026-07-14 12:48:00-04:00,2026-07-14 12:49:00-04:00,2026-07-14 12:50:00-04:00,bearish,bullish,exact_doji_colour_unresolved,bullish,29801.0,29805.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,2628,2629,2630,2026-07-14 14:48:00-04:00,2026-07-14 14:49:00-04:00,2026-07-14 14:50:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29822.25,29828.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,2712,2713,2714,2026-07-14 16:12:00-04:00,2026-07-14 16:13:00-04:00,2026-07-14 16:14:00-04:00,exact_doji_colour_unresolved,bullish,bearish,bullish,29782.25,29787.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,2733,2734,2735,2026-07-14 16:33:00-04:00,2026-07-14 16:34:00-04:00,2026-07-14 16:35:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29782.0,29784.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,2832,2833,2834,2026-07-14 19:12:00-04:00,2026-07-14 19:13:00-04:00,2026-07-14 19:14:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29790.0,29794.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,2997,2998,2999,2026-07-14 21:57:00-04:00,2026-07-14 21:58:00-04:00,2026-07-14 21:59:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29942.5,29949.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,3016,3017,3018,2026-07-14 22:16:00-04:00,2026-07-14 22:17:00-04:00,2026-07-14 22:18:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29967.25,29970.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,3145,3146,3147,2026-07-15 00:25:00-04:00,2026-07-15 00:26:00-04:00,2026-07-15 00:27:00-04:00,exact_doji_colour_unresolved,bullish,bearish,bearish,30008.75,30010.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,3278,3279,3280,2026-07-15 02:38:00-04:00,2026-07-15 02:39:00-04:00,2026-07-15 02:40:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,30022.25,30025.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,3398,3399,3400,2026-07-15 04:38:00-04:00,2026-07-15 04:39:00-04:00,2026-07-15 04:40:00-04:00,bullish,bullish,exact_doji_colour_unresolved,bullish,29912.25,29915.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,3446,3447,3448,2026-07-15 05:26:00-04:00,2026-07-15 05:27:00-04:00,2026-07-15 05:28:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,29950.25,29951.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,3506,3507,3508,2026-07-15 06:26:00-04:00,2026-07-15 06:27:00-04:00,2026-07-15 06:28:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,29895.0,29896.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,3508,3509,3510,2026-07-15 06:28:00-04:00,2026-07-15 06:29:00-04:00,2026-07-15 06:30:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29895.0,29895.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,3893,3894,3895,2026-07-15 12:53:00-04:00,2026-07-15 12:54:00-04:00,2026-07-15 12:55:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29504.0,29507.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,4299,4300,4301,2026-07-15 20:39:00-04:00,2026-07-15 20:40:00-04:00,2026-07-15 20:41:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29650.0,29652.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,4424,4425,4426,2026-07-15 22:44:00-04:00,2026-07-15 22:45:00-04:00,2026-07-15 22:46:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29681.5,29685.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,4497,4498,4499,2026-07-15 23:57:00-04:00,2026-07-15 23:58:00-04:00,2026-07-15 23:59:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,29730.0,29737.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,4520,4521,4522,2026-07-16 00:20:00-04:00,2026-07-16 00:21:00-04:00,2026-07-16 00:22:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,29716.75,29725.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,4664,4665,4666,2026-07-16 02:44:00-04:00,2026-07-16 02:45:00-04:00,2026-07-16 02:46:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29667.75,29672.0,EXACT_DOJI_COLOUR_UNRESOLVED
