id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,confirming_candle_number,confirmed,rejection_reason,activation_ts_et,first_tap_ts_et,max_penetration_after_activation,deactivation_ts_et,deactivation_reason_final
RB2-000361,1,bearish,489,2026-07-13 02:09:00-04:00,29625.5,29628.5,29612.5,29612.75,3.0,0.25,12.75,False,16.0,0.23529411764705882,0.1875,12.0,14.984930013362602,29625.5,29628.5,18.5,25.5,,1.2345736672445506,1.7017096494451913,,2,True,,2026-07-13 02:11:00-04:00,2026-07-13 02:25:00-04:00,6.75,2026-07-13 02:25:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000362,1,bearish,490,2026-07-13 02:10:00-04:00,29613.0,29618.0,29607.0,29610.25,5.0,3.25,2.75,False,11.0,1.8181818181818181,0.45454545454545453,1.5384615384615385,14.700292155265274,29613.0,29618.0,13.0,23.0,,0.8843361657505376,1.5645947547894128,,2,True,,2026-07-13 02:12:00-04:00,2026-07-13 02:20:00-04:00,3.0,2026-07-13 02:24:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000373,1,bullish,502,2026-07-13 02:22:00-04:00,29611.25,29613.0,29602.5,29605.75,3.25,1.75,5.5,False,10.5,0.5909090909090909,0.30952380952380953,1.8571428571428572,13.100367404144205,29602.5,29605.75,6.25,15.25,29.5,0.4770858562350594,1.164089489213545,2.2518452414294803,3,True,,2026-07-13 02:25:00-04:00,2026-07-13 02:37:00-04:00,2.5,2026-07-13 02:37:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000374,1,bullish,503,2026-07-13 02:23:00-04:00,29608.75,29612.0,29604.25,29611.0,4.5,1.0,2.25,False,7.75,2.0,0.5806451612903226,4.5,12.718198303848189,29604.25,29608.75,12.25,26.5,,0.9631867429125929,2.083628464259895,,2,True,,2026-07-13 02:25:00-04:00,2026-07-13 02:35:00-04:00,4.25,2026-07-13 02:37:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000376,1,bullish,508,2026-07-13 02:28:00-04:00,29612.25,29620.75,29609.25,29619.75,3.0,1.0,7.5,False,11.5,0.4,0.2608695652173913,3.0,13.057850714789053,29609.25,29612.25,17.75,38.25,,1.359335497678551,2.929272269645328,,2,True,,2026-07-13 02:30:00-04:00,2026-07-13 02:35:00-04:00,0.75,2026-07-13 02:35:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000379,1,bearish,512,2026-07-13 02:32:00-04:00,29636.25,29641.75,29615.75,29618.25,5.5,2.5,18.0,False,26.0,0.3055555555555556,0.21153846153846154,2.2,14.175044884035042,29636.25,29641.75,21.5,,,1.5167500474171232,,,1,True,,2026-07-13 02:33:00-04:00,2026-07-13 02:42:00-04:00,3.0,2026-07-13 02:44:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000386,1,bullish,520,2026-07-13 02:40:00-04:00,29614.75,29621.0,29612.0,29620.25,2.75,0.75,5.5,False,9.0,0.5,0.3055555555555556,3.6666666666666665,13.080037935456316,29612.0,29614.75,5.75,21.5,,0.4396011715236209,1.6437261196100608,,2,True,,2026-07-13 02:42:00-04:00,2026-07-13 02:54:00-04:00,0.75,2026-07-13 02:56:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000387,1,bullish,521,2026-07-13 02:41:00-04:00,29620.25,29620.5,29610.5,29617.75,7.25,0.25,2.5,False,10.0,2.9,0.725,29.0,12.860035225780864,29610.5,29617.75,18.5,22.25,,1.4385652663619881,1.7301663338677966,,2,True,,2026-07-13 02:43:00-04:00,2026-07-13 02:53:00-04:00,2.0,2026-07-13 03:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000394,1,bearish,540,2026-07-13 03:00:00-04:00,29631.5,29646.25,29608.5,29610.5,14.75,2.0,21.0,False,37.75,0.7023809523809523,0.39072847682119205,7.375,14.316157025929515,29631.5,29646.25,24.5,,,1.7113531205075108,,,1,True,,2026-07-13 03:01:00-04:00,2026-07-13 03:02:00-04:00,4.75,2026-07-13 03:04:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000395,1,bullish,541,2026-07-13 03:01:00-04:00,29610.5,29626.5,29607.0,29626.5,3.5,0.0,16.0,False,19.5,0.21875,0.1794871794871795,14.0,14.686431524077406,29607.0,29610.5,23.5,,,1.6001164041430587,,,1,True,,2026-07-13 03:02:00-04:00,2026-07-13 09:40:00-04:00,44.75,2026-07-13 09:40:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000397,1,bullish,546,2026-07-13 03:06:00-04:00,29644.75,29646.5,29633.25,29637.5,4.25,1.75,7.25,False,13.25,0.5862068965517241,0.32075471698113206,2.4285714285714284,14.802507827596523,29633.25,29637.5,4.25,14.0,28.5,0.2871135114062676,0.945785684632411,1.925349429430265,3,True,,2026-07-13 03:09:00-04:00,2026-07-13 03:33:00-04:00,1.5,2026-07-13 09:34:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000398,1,bullish,547,2026-07-13 03:07:00-04:00,29638.75,29641.75,29636.75,29640.25,2.0,1.5,1.5,False,5.0,1.3333333333333333,0.4,1.3333333333333333,14.102328697053915,29636.75,29638.75,12.75,27.25,,0.9041060007815286,1.9323049820624827,,2,True,,2026-07-13 03:09:00-04:00,2026-07-13 03:33:00-04:00,0.75,2026-07-13 03:34:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
