family,id,timeframe,event,ts_et,deactivation_reason
RB,RB2-004024,1,DEACTIVATED,2026-07-14 20:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004025,1,SOURCE,2026-07-14 19:58:00-04:00,
RB,RB2-004026,1,SOURCE,2026-07-14 20:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004026,1,ACTIVATED,2026-07-14 20:01:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004026,1,FIRST_TAP,2026-07-14 20:10:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004026,1,DEACTIVATED,2026-07-14 20:13:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004027,1,SOURCE,2026-07-14 20:01:00-04:00,
RB,RB2-004028,1,SOURCE,2026-07-14 20:02:00-04:00,
RB,RB2-004029,1,SOURCE,2026-07-14 20:02:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004029,1,ACTIVATED,2026-07-14 20:05:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004029,1,FIRST_TAP,2026-07-14 20:03:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004029,1,DEACTIVATED,2026-07-14 20:10:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB,RB2-004030,1,SOURCE,2026-07-14 20:03:00-04:00,
RB,RB2-004031,1,SOURCE,2026-07-14 20:04:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004031,1,ACTIVATED,2026-07-14 20:05:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004031,1,FIRST_TAP,2026-07-14 20:10:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004031,1,DEACTIVATED,2026-07-14 20:10:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004032,1,SOURCE,2026-07-14 20:06:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004032,1,ACTIVATED,2026-07-14 20:08:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004032,1,FIRST_TAP,2026-07-14 20:07:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004032,1,DEACTIVATED,2026-07-15 04:08:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004033,1,SOURCE,2026-07-14 20:06:00-04:00,
RB,RB2-004034,1,SOURCE,2026-07-14 20:07:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004034,1,ACTIVATED,2026-07-14 20:10:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004034,1,FIRST_TAP,2026-07-14 20:43:00-04:00,EXPIRED_ACTIVE_8H
RB,RB2-004034,1,DEACTIVATED,2026-07-15 04:10:00-04:00,EXPIRED_ACTIVE_8H
