branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-368036,GEP-081842,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368037,GEP-081842,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368038,GEP-081842,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368039,GEP-081971,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368040,GEP-081971,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368041,GEP-081971,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368042,GEP-081978,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-368043,GEP-081978,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-368044,GEP-081978,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-368045,GEP-081978,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-368046,GEP-081978,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-368047,GEP-081979,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368048,GEP-081979,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368049,GEP-081980,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368050,GEP-081980,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368051,GEP-081981,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-368052,GEP-081981,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-368053,GEP-081981,H_fvg_no_fill_continuation,EMITTED,fvg_no_fill,2
GBR-368054,GEP-081981,H_fvg_first_touch,EXPIRED,inactive,1
GBR-368055,GEP-081981,H_fvg_first_fill,EXPIRED,inactive,1
GBR-368056,GEP-081981,H_fvg_midpoint,EXPIRED,inactive,1
GBR-368057,GEP-081981,H_fvg_full_fill,EXPIRED,inactive,1
GBR-368058,GEP-081926,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368059,GEP-081926,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368060,GEP-081926,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368061,GEP-081982,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368062,GEP-081982,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368063,GEP-081982,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368064,GEP-081983,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368065,GEP-081983,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368066,GEP-081983,H_ifvg_retest,EXPIRED,inactive,3
GBR-368067,GEP-081984,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-368068,GEP-081984,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-368069,GEP-081984,H_fvg_no_fill_continuation,EMITTED,fvg_no_fill,2
GBR-368070,GEP-081984,H_fvg_first_touch,EXPIRED,inactive,1
GBR-368071,GEP-081984,H_fvg_first_fill,EXPIRED,inactive,1
GBR-368072,GEP-081984,H_fvg_midpoint,EXPIRED,inactive,1
GBR-368073,GEP-081984,H_fvg_full_fill,EXPIRED,inactive,1
GBR-368074,GEP-081973,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368075,GEP-081973,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-368076,GEP-081973,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368077,GEP-081979,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368078,GEP-081979,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-368079,GEP-081979,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368080,GEP-081980,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368081,GEP-081980,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-368082,GEP-081980,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368083,GEP-081974,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368084,GEP-081974,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-368085,GEP-081974,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368086,GEP-081985,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368087,GEP-081985,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-368088,GEP-081986,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368089,GEP-081986,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-368090,GEP-081987,H_fvg_no_fill_continuation,EMITTED,fvg_no_fill,2
GBR-368091,GEP-081987,H_fvg_first_touch,EXPIRED,inactive,1
GBR-368092,GEP-081987,H_fvg_first_fill,EXPIRED,inactive,1
GBR-368093,GEP-081987,H_fvg_midpoint,EXPIRED,inactive,1
GBR-368094,GEP-081987,H_fvg_full_fill,EXPIRED,inactive,1
GBR-368095,GEP-081951,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368096,GEP-081951,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-368097,GEP-081951,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368098,GEP-081956,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368099,GEP-081956,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-368100,GEP-081956,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368101,GEP-081952,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368102,GEP-081952,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-368103,GEP-081952,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368104,GEP-081988,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368105,GEP-081988,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368106,GEP-081988,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368107,GEP-081960,H_time_anchor_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368108,GEP-081960,H_time_anchor_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368109,GEP-081960,H_time_anchor_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368110,GEP-081989,H_rb_reaction_continuation,INVALIDATED,origin_invalidated,2
GBR-368111,GEP-081989,H_rb_fvg_fill_continuation,INVALIDATED,origin_invalidated,2
GBR-368112,GEP-081989,H_rb_unresolved_fade,INVALIDATED,origin_invalidated,2
GBR-368113,GEP-081990,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368114,GEP-081990,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368115,GEP-081991,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368116,GEP-081991,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368117,GEP-081992,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368118,GEP-081992,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368119,GEP-081992,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368120,GEP-081993,H_rb_reaction_continuation,INVALIDATED,origin_invalidated,2
GBR-368121,GEP-081993,H_rb_fvg_fill_continuation,INVALIDATED,origin_invalidated,2
GBR-368122,GEP-081993,H_rb_unresolved_fade,INVALIDATED,origin_invalidated,2
GBR-368123,GEP-081960,H_anchor_reclaim_continuation,EMITTED,anchor_reclaim,1
GBR-368124,GEP-081886,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368125,GEP-081886,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368126,GEP-081886,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368127,GEP-081994,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-368128,GEP-081994,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-368129,GEP-081994,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-368130,GEP-081994,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-368131,GEP-081994,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-368132,GEP-081994,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-368133,GEP-081994,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-368134,GEP-081791,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368135,GEP-081791,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368136,GEP-081791,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368137,GEP-081792,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368138,GEP-081792,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
