episode_id,origin_family,origin_subtype,start_timestamp,segment_id,n_branches
GEP-079185,fvg,BULLISH_FVG_FORMED,2026-07-13 18:00:00-04:00,1,5
GEP-079186,liquidity,SWING_HIGH_BREAK,2026-07-13 18:00:00-04:00,1,5
GEP-079187,vwap,VWAP_VWAP_BOUNCE_UP,2026-07-13 18:00:00-04:00,1,3
GEP-079188,ifvg,BULLISH_IFVG_ACTIVATION,2026-07-13 18:00:00-04:00,1,3
GEP-079189,fvg,BULLISH_FVG_FORMED,2026-07-13 18:01:00-04:00,1,5
GEP-079190,liquidity,SWING_LOW_BREAK,2026-07-13 18:02:00-04:00,1,5
GEP-079191,liquidity,EQUAL_LOWS_BREAK,2026-07-13 18:02:00-04:00,1,5
GEP-079192,liquidity,SWING_HIGH_BREAK,2026-07-13 18:03:00-04:00,1,5
GEP-079193,liquidity,EQUAL_HIGHS_BREAK,2026-07-13 18:03:00-04:00,1,5
GEP-079194,fvg,BEARISH_FVG_FORMED,2026-07-13 18:04:00-04:00,1,5
GEP-079195,ifvg,BULLISH_IFVG_ACTIVATION,2026-07-13 18:05:00-04:00,1,3
GEP-079196,fvg,BULLISH_FVG_FORMED,2026-07-13 18:06:00-04:00,1,7
GEP-079197,liquidity,SWING_LOW_BREAK,2026-07-13 18:07:00-04:00,1,5
GEP-079198,liquidity,EQUAL_LOWS_BREAK,2026-07-13 18:07:00-04:00,1,5
GEP-079199,liquidity,SWING_HIGH_BREAK,2026-07-13 18:09:00-04:00,1,5
GEP-079200,fvg,BEARISH_FVG_FORMED,2026-07-13 18:11:00-04:00,1,5
GEP-079201,rejection_block,BEARISH_RB_CONFIRMED,2026-07-13 18:11:00-04:00,1,3
GEP-079202,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:11:00-04:00,1,3
GEP-079203,liquidity,SWING_HIGH_BREAK,2026-07-13 18:12:00-04:00,1,5
GEP-079204,rejection_block,BEARISH_RB_CONFIRMED,2026-07-13 18:13:00-04:00,1,3
GEP-079205,liquidity,SWING_LOW_BREAK,2026-07-13 18:14:00-04:00,1,5
GEP-079206,liquidity,EQUAL_LOWS_BREAK,2026-07-13 18:14:00-04:00,1,5
GEP-079207,liquidity,SWING_HIGH_BREAK,2026-07-13 18:15:00-04:00,1,5
GEP-079208,liquidity,SWING_LOW_BREAK,2026-07-13 18:18:00-04:00,1,5
GEP-079209,ifvg,BULLISH_IFVG_ACTIVATION,2026-07-13 18:20:00-04:00,1,3
GEP-079210,fvg,BEARISH_FVG_FORMED,2026-07-13 18:23:00-04:00,1,7
GEP-079211,liquidity,SWING_HIGH_BREAK,2026-07-13 18:23:00-04:00,1,5
GEP-079212,fvg,BEARISH_FVG_FORMED,2026-07-13 18:25:00-04:00,1,7
GEP-079213,fvg,BULLISH_FVG_FORMED,2026-07-13 18:27:00-04:00,1,5
GEP-079214,liquidity,SWING_LOW_SWEEP_BELOW,2026-07-13 18:28:00-04:00,1,5
GEP-079215,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:28:00-04:00,1,3
GEP-079216,fvg,BEARISH_FVG_FORMED,2026-07-13 18:29:00-04:00,1,5
GEP-079217,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:29:00-04:00,1,3
GEP-079218,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:30:00-04:00,1,3
GEP-079219,liquidity,SWING_HIGH_BREAK,2026-07-13 18:31:00-04:00,1,5
GEP-079220,liquidity,EQUAL_HIGHS_BREAK,2026-07-13 18:31:00-04:00,1,5
GEP-079221,rejection_block,BEARISH_RB_CONFIRMED,2026-07-13 18:36:00-04:00,1,3
GEP-079222,liquidity,SWING_LOW_BREAK,2026-07-13 18:36:00-04:00,1,5
GEP-079223,liquidity,SWING_HIGH_BREAK,2026-07-13 18:38:00-04:00,1,5
GEP-079224,liquidity,EQUAL_HIGHS_BREAK,2026-07-13 18:38:00-04:00,1,5
GEP-079225,rejection_block,BULLISH_RB_CONFIRMED,2026-07-13 18:39:00-04:00,1,3
GEP-079226,fvg,BULLISH_FVG_FORMED,2026-07-13 18:40:00-04:00,1,5
GEP-079227,liquidity,SWING_LOW_BREAK,2026-07-13 18:41:00-04:00,1,5
GEP-079228,liquidity,SWING_HIGH_BREAK,2026-07-13 18:43:00-04:00,1,5
GEP-079229,liquidity,EQUAL_HIGHS_BREAK,2026-07-13 18:43:00-04:00,1,5
GEP-079230,fvg,BULLISH_FVG_FORMED,2026-07-13 18:45:00-04:00,1,5
GEP-079231,ifvg,BULLISH_IFVG_ACTIVATION,2026-07-13 18:45:00-04:00,1,3
GEP-079232,ifvg,BULLISH_IFVG_ACTIVATION,2026-07-13 18:45:00-04:00,1,3
GEP-079233,fvg,BULLISH_FVG_FORMED,2026-07-13 18:46:00-04:00,1,5
GEP-079234,liquidity,SWING_LOW_BREAK,2026-07-13 18:46:00-04:00,1,5
GEP-079235,liquidity,EQUAL_LOWS_BREAK,2026-07-13 18:46:00-04:00,1,5
GEP-079236,rejection_block,BEARISH_RB_CONFIRMED,2026-07-13 18:49:00-04:00,1,3
GEP-079237,liquidity,SWING_HIGH_BREAK,2026-07-13 18:49:00-04:00,1,5
GEP-079238,liquidity,EQUAL_HIGHS_BREAK,2026-07-13 18:49:00-04:00,1,5
GEP-079239,fvg,BEARISH_FVG_FORMED,2026-07-13 18:50:00-04:00,1,7
GEP-079240,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:50:00-04:00,1,3
GEP-079241,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:50:00-04:00,1,3
GEP-079242,fvg,BEARISH_FVG_FORMED,2026-07-13 18:51:00-04:00,1,7
GEP-079243,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:52:00-04:00,1,3
GEP-079244,fvg,BEARISH_FVG_FORMED,2026-07-13 18:53:00-04:00,1,7
GEP-079245,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:53:00-04:00,1,3
GEP-079246,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:53:00-04:00,1,3
GEP-079247,fvg,BEARISH_FVG_FORMED,2026-07-13 18:55:00-04:00,1,7
GEP-079248,ifvg,BEARISH_IFVG_ACTIVATION,2026-07-13 18:55:00-04:00,1,3
GEP-079249,fvg,BEARISH_FVG_FORMED,2026-07-13 18:56:00-04:00,1,5
GEP-079250,liquidity,SWING_LOW_BREAK,2026-07-13 18:59:00-04:00,1,5
GEP-079251,fvg,BEARISH_FVG_FORMED,2026-07-13 19:01:00-04:00,1,5
GEP-079252,liquidity,SWING_HIGH_BREAK,2026-07-13 19:02:00-04:00,1,5
GEP-079253,liquidity,EQUAL_HIGHS_BREAK,2026-07-13 19:02:00-04:00,1,5
GEP-079254,liquidity,SWING_LOW_BREAK,2026-07-13 19:03:00-04:00,1,5
GEP-079255,liquidity,EQUAL_LOWS_BREAK,2026-07-13 19:03:00-04:00,1,5
GEP-079256,fvg,BEARISH_FVG_FORMED,2026-07-13 19:05:00-04:00,1,7
GEP-079257,liquidity,SWING_HIGH_BREAK,2026-07-13 19:06:00-04:00,1,5
GEP-079258,liquidity,SWING_LOW_BREAK,2026-07-13 19:07:00-04:00,1,5
GEP-079259,liquidity,EQUAL_LOWS_BREAK,2026-07-13 19:07:00-04:00,1,5
GEP-079260,liquidity,SWING_LOW_BREAK,2026-07-13 19:08:00-04:00,1,5
