session,day,event_type,event_subtype
2026-07-13,2026-07-13,displacement,BAD_BEARISH_DISPLACEMENT x4
2026-07-13,2026-07-13,displacement,BAD_BULLISH_DISPLACEMENT x6
2026-07-13,2026-07-13,displacement,DISPLACEMENT_CONTINUATION x86
2026-07-13,2026-07-13,displacement,DISPLACEMENT_FAILED_CONTINUATION x11
2026-07-13,2026-07-13,displacement,GOOD_BEARISH_DISPLACEMENT x20
2026-07-13,2026-07-13,displacement,GOOD_BULLISH_DISPLACEMENT x15
2026-07-13,2026-07-13,displacement,MIXED_BEARISH_DISPLACEMENT x55
2026-07-13,2026-07-13,displacement,MIXED_BULLISH_DISPLACEMENT x52
2026-07-13,2026-07-13,fvg,BEARISH_FVG_CONTINUATION x1
2026-07-13,2026-07-13,fvg,BEARISH_FVG_EXACT_TOUCH x2
2026-07-13,2026-07-13,fvg,BEARISH_FVG_EXPIRY x4
2026-07-13,2026-07-13,fvg,BEARISH_FVG_FAILURE x47
2026-07-13,2026-07-13,fvg,BEARISH_FVG_FIRST_FILL x48
2026-07-13,2026-07-13,fvg,BEARISH_FVG_FIRST_TOUCH x48
2026-07-13,2026-07-13,fvg,BEARISH_FVG_FORMED x50
2026-07-13,2026-07-13,fvg,BEARISH_FVG_FULL_FILL x51
2026-07-13,2026-07-13,fvg,BEARISH_FVG_MIDPOINT x49
2026-07-13,2026-07-13,fvg,BEARISH_FVG_REVISIT x149
2026-07-13,2026-07-13,fvg,BULLISH_FVG_EXACT_TOUCH x3
2026-07-13,2026-07-13,fvg,BULLISH_FVG_FAILURE x42
2026-07-13,2026-07-13,fvg,BULLISH_FVG_FIRST_FILL x40
2026-07-13,2026-07-13,fvg,BULLISH_FVG_FIRST_TOUCH x40
2026-07-13,2026-07-13,fvg,BULLISH_FVG_FORMED x46
2026-07-13,2026-07-13,fvg,BULLISH_FVG_FULL_FILL x40
2026-07-13,2026-07-13,fvg,BULLISH_FVG_MIDPOINT x41
2026-07-13,2026-07-13,fvg,BULLISH_FVG_REVISIT x161
