candidate_id,source_branch_id,source_episode_id,trigger_event_id,direction,entry_mode,continuation_or_fade,trigger_family,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,stop_anchor_type,stop_anchor_object_id,target_anchor_type,target_anchor_object_id,target_policy_id,target_anchor_timeframe,target_surface_policy,target_prominence_grade,selected_target_rank,selection_rule_id,natural_target,executed_target,parent_fvg_id,effective_sample,shrunk_expected_R,qualification,outcome
GNC-1132570,GBR-355575,GEP-079133,EVT-5036139,short,formation_close,fade,sweep_fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,83458,29470.0,29480.0,29469.5,0.05,0.0,swept_extreme,LVL-025299,branch:opposing_liquidity,LVL-036051,BRANCH_SEMANTIC,,PROXIMAL_EDGE,,0,BRANCH_SEMANTIC|branch:opposing_liquidity|rank=0,29469.5,0.0,,,,UNSCORED,UNEVALUATED
GNC-1132571,GBR-355575,GEP-079133,EVT-5036139,short,formation_close,fade,sweep_fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,83458,29470.0,29480.0,29469.5,0.05,0.0,swept_extreme,LVL-025299,rejection_block,RB-008811,NEAREST_VALID_STRUCTURE,1m,PROXIMAL_EDGE,,0,NEAREST_VALID_STRUCTURE|rejection_block|rank=0,29469.5,0.0,,,,UNSCORED,UNEVALUATED
GNC-1132574,GBR-355578,GEP-079137,EVT-5036144,short,formation_close,fade,sweep_fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,83458,29470.0,29480.0,29469.5,0.05,0.0,swept_extreme,LVL-025301,branch:opposing_liquidity,LVL-036051,BRANCH_SEMANTIC,,PROXIMAL_EDGE,,0,BRANCH_SEMANTIC|branch:opposing_liquidity|rank=0,29469.5,0.0,,,,UNSCORED,UNEVALUATED
GNC-1132575,GBR-355578,GEP-079137,EVT-5036144,short,formation_close,fade,sweep_fade,SWING_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,83458,29470.0,29480.0,29469.5,0.05,0.0,swept_extreme,LVL-025301,rejection_block,RB-008811,NEAREST_VALID_STRUCTURE,1m,PROXIMAL_EDGE,,0,NEAREST_VALID_STRUCTURE|rejection_block|rank=0,29469.5,0.0,,,,UNSCORED,UNEVALUATED
GNC-1132578,GBR-355583,GEP-079134,EVT-5036168,short,formation_close,fade,sweep_fade,EQUAL_HIGHS_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,83458,29470.0,29480.0,29469.5,0.05,0.0,swept_extreme,LVL-031651,branch:opposing_liquidity,LVL-036051,BRANCH_SEMANTIC,,PROXIMAL_EDGE,,0,BRANCH_SEMANTIC|branch:opposing_liquidity|rank=0,29469.5,0.0,,,,UNSCORED,UNEVALUATED
GNC-1132579,GBR-355583,GEP-079134,EVT-5036168,short,formation_close,fade,sweep_fade,EQUAL_HIGHS_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,83458,29470.0,29480.0,29469.5,0.05,0.0,swept_extreme,LVL-031651,rejection_block,RB-008811,NEAREST_VALID_STRUCTURE,1m,PROXIMAL_EDGE,,0,NEAREST_VALID_STRUCTURE|rejection_block|rank=0,29469.5,0.0,,,,UNSCORED,UNEVALUATED
GNC-1132586,GBR-355587,GEP-079187,EVT-5036189,long,formation_close,fade,vwap_band_fade,VWAP_BAND_REJECT_M1_618 -> FORMATION_CLOSE_LONG_TRIGGER,BAND_REJECTION -> ENTRY_TRIGGER,83458,29470.0,29461.916666666668,29471.0,0.1237,0.0,vwap_band,VWAP-000123,rejection_block,RB-007479,NEAREST_VALID_STRUCTURE,1m,PROXIMAL_EDGE,,0,NEAREST_VALID_STRUCTURE|rejection_block|rank=0,29471.0,0.0,,,,UNSCORED,UNEVALUATED
GNC-1132589,GBR-355588,GEP-079188,EVT-5036197,long,formation_close,fade,ifvg_activation,BEARISH_FVG_FORMED -> BEARISH_FVG_FAILURE -> BULLISH_IFVG_ACTIVATION -> FORMATION_CLOSE_LONG_TRIGGER,GAP_FORMATION -> GAP_FAILURE -> INVERSION_ACTIVATION -> ENTRY_TRIGGER,83458,29470.0,29421.5,29470.375,0.0077,0.0,ifvg_invalidation_boundary,IFVG-017558,branch:opposing_liquidity,LVL-031087,BRANCH_SEMANTIC,,PROXIMAL_EDGE,,0,BRANCH_SEMANTIC|branch:opposing_liquidity|rank=0,29470.375,0.0,FVG-019017,,,UNSCORED,UNEVALUATED
GNC-1132590,GBR-355588,GEP-079188,EVT-5036197,long,formation_close,fade,ifvg_activation,BEARISH_FVG_FORMED -> BEARISH_FVG_FAILURE -> BULLISH_IFVG_ACTIVATION -> FORMATION_CLOSE_LONG_TRIGGER,GAP_FORMATION -> GAP_FAILURE -> INVERSION_ACTIVATION -> ENTRY_TRIGGER,83458,29470.0,29421.5,29471.0,0.0206,0.0,ifvg_invalidation_boundary,IFVG-017558,rejection_block,RB-007479,NEAREST_VALID_STRUCTURE,1m,PROXIMAL_EDGE,,0,NEAREST_VALID_STRUCTURE|rejection_block|rank=0,29471.0,0.0,FVG-019017,,,UNSCORED,UNEVALUATED
GNC-1132593,GBR-355589,GEP-079188,EVT-5036197,long,next_bar,fade,ifvg_activation,BEARISH_FVG_FORMED -> BEARISH_FVG_FAILURE -> BULLISH_IFVG_ACTIVATION -> NEXT_BAR_LONG_TRIGGER,GAP_FORMATION -> GAP_FAILURE -> INVERSION_ACTIVATION -> ENTRY_TRIGGER,83459,29472.0,29421.5,29473.25,0.0248,0.0,ifvg_invalidation_boundary,IFVG-017558,branch:opposing_liquidity,LVL-022615,BRANCH_SEMANTIC,,PROXIMAL_EDGE,,0,BRANCH_SEMANTIC|branch:opposing_liquidity|rank=0,29473.25,0.0,FVG-019017,,,UNSCORED,UNEVALUATED
