amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
AMD15,none,930_and_EMA,479,1.1506520247083047,1.414134922615197,1.293987872591475,91.73447133790674,68.19634267581348,-21.221239564011086,-22.651579128022153,6,5
AMD15,in_value,none,1303,3.1300617707618397,1.272086900052205,1.1684184310821308,178.58458357148027,115.77366714296056,-37.99712707699171,-43.54255415398343,7,7
AMD15,in_value,K1_930,524,1.2587508579272477,1.3545073692640144,1.2317231788358547,86.36447428038227,59.375948560764535,-23.54687961974147,-29.37085085084844,7,5
AMD15,below_POC,none,1987,4.773164035689773,1.199003087008093,1.1055840724721306,204.08758921877114,113.18747843754223,-33.63559581879201,-58.78183928067668,7,4
AMD15,below_POC,K1_930,558,1.3404255319148937,1.3202953046013335,1.2062505094576783,86.25010920835996,58.27941841671995,-28.040877066816954,-35.59435413363385,6,5
AMD15,above_POC,none,1628,3.9107755662319836,1.1847750350740152,1.0914139841517145,161.17178184828128,83.3693636965626,-50.92962779750715,-67.71652496683681,7,4
AMD15,above_POC,K1_930,518,1.2443376801647221,1.3585376502604032,1.227214647538252,85.18355413213413,56.83200826426827,-24.0689449362431,-25.82848987248626,7,6
AMD15,gt1ATR_POC,none,3194,7.672614962251202,1.154488259476213,1.064295140932922,272.1915302999285,118.55626059985693,-58.86649412764049,-82.39438300326412,6,4
AMD15,gt1ATR_POC,K1_930,873,2.0971173644474947,1.3271543408074515,1.2057520919924904,138.7100073640151,91.76111472803015,-21.094277466363224,-23.44805493272648,7,7
AMD16,none,none,1819,4.369595058339053,1.295986250709049,1.2053117327905283,270.6952900954982,195.33138019099638,-21.187273937275506,-26.7448577916673,7,7
AMD16,in_value,none,650,1.5614275909402884,1.2637624096494795,1.1708443257022598,84.97962193703799,57.345643874075975,-14.305940586612522,-16.86171455587671,6,5
AMD16,below_POC,none,1001,2.404598490048044,1.328907836151439,1.237835980567829,160.30842049486319,120.53264098972642,-16.58903465313489,-21.279187100698394,6,6
