config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2,best_year_share2
T0001,BASE,RB-K1 benchmark (09:30 VWAP <1sd),EVALUATED,2150,5.164722031571722,1.48615804879205,1.3514820637900458,1.2295607889638893,459.4424,349.5419324833029,239.64146496660578,-21.441724631451265,-26.107251297285522,8,8,8,0.24026136965488393
T0002,B,TPO dev bin1: inside_value,EVALUATED,1082,2.5991763898421416,1.2821253968253967,1.179697616888678,1.086630546247752,159.9651,107.01253666489967,54.059973329799334,-26.626163762157937,-29.442827524315884,7,7,6,0.3340036659550406
T0003,C,TPO dev bin1: inside_value + 09:30VWAP<1sd,EVALUATED,612,1.4701441317776254,1.3779089655172414,1.2591592308114028,1.1515042287739115,109.5936,79.02890776848189,48.46421553696376,-23.957872505742614,-33.42624501148522,8,6,4,0.6382349357035879
T0004,C,TPO dev bin1: inside_value + LONVWAP<1sd + EMA,EVALUATED,336,0.8071379547014413,1.5130617021276593,1.382222681800636,1.2627284636964335,72.3417,56.45172251411857,40.56174502823711,-15.949391305602184,-22.021360125400072,7,5,5,0.4752877069201344
T0005,B,TPO dev bin1: above_VAH,EVALUATED,1015,2.438229238160604,1.2987801443330629,1.2108578275977702,1.1302880030170646,170.2636,125.64263696410458,81.02167392820915,-37.2305540652807,-45.87040813056112,7,7,5,0.2679186384723766
T0006,C,TPO dev bin1: above_VAH + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0007,C,TPO dev bin1: above_VAH + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0008,B,TPO dev bin1: below_VAL,EVALUATED,1617,3.8843514070006866,1.2639572112325113,1.1760340641113192,1.0952828286967553,229.5402,159.8791748301457,90.21814966029135,-37.62478233381863,-49.620943399686205,6,5,4,0.3423846205742062
T0009,C,TPO dev bin1: below_VAL + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0010,C,TPO dev bin1: below_VAL + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0011,B,TPO dev bin1: within_0.25ATR_POC,TOO_FEW,,,,,,,,,,,,,,
T0012,C,TPO dev bin1: within_0.25ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0013,C,TPO dev bin1: within_0.25ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0014,B,TPO dev bin1: within_0.50ATR_POC,EVALUATED,331,0.7951269732326699,1.2290182390671005,1.1308176478029632,1.0405229135946013,35.5235,21.1797182504708,6.8359365009415995,-26.872617165816003,-34.33243433163203,4,3,3,0.5903545709931639
T0015,C,TPO dev bin1: within_0.50ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0016,C,TPO dev bin1: within_0.50ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0017,B,TPO dev bin1: 0.5-1.0ATR_from_POC,EVALUATED,823,1.9770075497597803,1.2329628351327462,1.1533572311669429,1.0791163422327352,87.34210000000002,59.57385265929926,31.80560531859851,-22.428514301931934,-24.587328603863792,6,6,5,0.3133474222013251
T0018,C,TPO dev bin1: 0.5-1.0ATR_from_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0019,C,TPO dev bin1: 0.5-1.0ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0020,B,TPO dev bin1: gt_1ATR_from_POC,EVALUATED,2937,7.055250514756349,1.3027282263352147,1.2092550681646739,1.123989318131863,500.31010000000003,362.47397278693865,224.6378455738773,-40.903630189890535,-49.43356037978091,8,7,6,0.34760898324352174
T0021,C,TPO dev bin1: gt_1ATR_from_POC + 09:30VWAP<1sd,EVALUATED,364,0.8743994509265615,1.741265189873418,1.59321939397502,1.4592996727998895,117.1199,98.67199187471618,80.22408374943237,-10.156764163808603,-11.506620871138484,8,8,8,0.2394560136234717
T0022,C,TPO dev bin1: gt_1ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0023,B,TPO dev bin1: above_POC,EVALUATED,1542,3.7041866849691147,1.3062812588686914,1.2118136052992823,1.125465310530748,256.3153,185.59271812166034,114.8701362433207,-36.548209980655656,-40.82891996131124,8,7,5,0.24906077163421528
T0024,C,TPO dev bin1: above_POC + 09:30VWAP<1sd,EVALUATED,396,0.9512697323266988,1.6207421052631577,1.483241464982795,1.3582580381726597,106.1469,86.77224336188456,67.39758672376911,-11.269412101120356,-12.313224202240718,7,7,6,0.3015432789880778
