yr,r,entry
2020,0.10607915136677804,9191.25
2020,-0.17043736426862743,9094.25
2020,0.14236824093087908,9131.25
2020,2.421760590117694,9218.5
2020,-1.6,9082.25
2020,-0.028549923434295632,9632.25
2020,2.1859860569537926,8463.0
2020,2.2530230435774623,8766.0
2020,-1.6,9082.0
2020,1.3447328935820901,8830.75
2020,1.4280932723418571,8963.0
2020,0.39490887744484393,9369.25
2020,0.3089224059603879,9630.25
2020,0.8108300339031205,10544.75
2020,-1.6,10857.5
2020,-0.28572766874326305,10674.5
2020,-1.6,10900.75
2020,-1.3895332140411387,11316.75
2020,1.7533120545669134,11435.5
2020,-0.3442303991789797,11692.75
2020,0.08359053497942748,11664.0
2020,3.4544036061026406,11536.0
2020,1.2461198329574152,11194.75
2020,1.54706598710026,11085.5
2020,-0.9478672985782088,11868.75
2021,-1.6,13568.5
2021,1.372311595456388,13007.25
2021,-0.7229585689127793,13486.25
2021,3.505802253192647,13292.25
2021,-1.6,12435.25
2021,-1.6,13040.5
2021,-0.6055640651159488,14036.5
2021,0.37103423552607984,13947.5
2021,-0.03402639732087431,13959.75
2021,0.5078328278931177,13931.75
2021,0.2757487216946686,13690.0
2021,1.6878416309646926,13538.0
2021,-1.0046354230925147,14184.25
2021,1.0212188420669288,15104.5
2021,-0.8399973120086113,14881.0
2021,-0.47782140172083487,14963.75
2021,-0.40282649926988157,14894.75
2021,0.5049145011444711,14854.0
2021,0.2337346311475308,15616.0
2021,-1.1474507580179871,14989.75
2021,-0.9079942618674952,15336.0
2021,0.10625623852915655,15528.5
2021,0.20091617777062698,15553.75
2021,-0.9994580291388999,15683.5
2021,0.9447685546725371,16326.75
2021,0.9459772779967457,16173.75
2022,0.042426063745160114,14142.25
2022,-1.6,14161.5
2022,0.004962614967252144,15113.0
2022,2.218214303774002,14831.75
2022,-1.6,14762.5
2022,2.149607347264737,15026.0
2022,-1.6,14606.75
2022,-1.6,14076.0
2022,3.713709453583258,13510.75
2022,-1.6,12959.25
2022,2.1723869694727505,13176.75
2022,2.8399213967198245,13231.0
2022,-1.6,11898.5
2022,3.129594622978371,11902.5
2022,0.8585677910818323,11880.25
2022,2.6130101470199563,12294.25
2022,1.2558869701726927,12580.75
2022,-0.7318825105317339,12877.75
2022,-0.2928257686676483,13489.25
2022,-1.6,12942.75
2022,-1.6,12310.5
2022,0.14512116465493774,10853.0
2022,-1.6,11496.25
2022,1.6515366947391419,11428.75
2022,3.734049697783748,11167.5
2022,0.5350204878877274,11775.25
2022,0.5628840287027925,11636.5
2023,0.3398577632324207,11916.75
2023,1.741925994410698,11897.75
2023,-1.6,12097.5
2023,2.534396809571282,12537.5
2023,0.5533783650721769,12694.75
2023,0.32671680433977723,12166.5
2023,-1.6,12038.0
2023,0.5797046357364111,13153.25
2023,-0.7817313616759081,12984.0
2023,2.085101458220806,12961.0
2023,-0.7714561234329897,13221.75
2023,0.48995404307038415,13164.5
2023,1.9706884016377657,13066.5
2023,0.7931786634939542,13868.25
2023,0.5032226932754291,14506.5
2023,2.0038662831816656,15906.75
2023,0.10237542989682824,15628.75
2023,-1.6,15637.75
2023,1.7249320986673866,15739.75
2023,0.56167953511711,15444.75
2023,-1.6,15341.75
2023,-0.21859328790021504,15554.0
2023,0.0067829950314513,14742.75
2023,1.0584911930874075,15045.0
2023,2.075018602448764,14783.0
2023,1.3191511549090151,14384.25
2023,-0.04554212646697975,14272.5
2023,1.8690943011625771,14472.25
2023,-1.6,14943.25
2023,0.5435037982614244,15961.25
2023,-0.6454940452002234,15995.5
2023,0.3550066377291605,16760.25
2024,-0.18602405532439636,17605.25
2024,1.2700094499012105,17460.5
2024,0.9638902959693274,17273.75
2024,0.7372159090909047,17600.0
2024,2.0385371163605948,17684.25
2024,-1.199375667460778,18259.5
2024,-0.05518451437627192,17668.0
2024,-0.5350883468059342,17473.75
2024,0.40523997804950973,17767.25
2024,-1.6,17481.5
2024,0.852905880336019,17499.0
2024,1.5542141487081107,17726.0
2024,0.7866808171928863,18845.0
2024,-0.014034013345065599,19595.25
2024,3.2116622777728754,19841.75
2024,2.680710994075053,18987.5
2024,-1.6,19637.75
2024,-1.6,18918.5
2024,-1.6,19224.0
2024,2.4263568964833726,18917.25
2024,0.4559457794208299,20287.5
2024,-0.9824840572372318,20738.25
2024,2.120348744787781,20444.75
2024,0.1951983687881631,20107.75
2024,-1.6,20862.75
2024,0.4619355461211949,20728.0
2024,0.3510387293548911,21721.25
2025,0.2770918112993126,21563.25
2025,-0.6159478689355069,21714.5
2025,-0.9123791416448368,21564.5
2025,-1.1651463300179743,21842.75
2025,2.9663460972537803,21238.25
2025,-0.22176245400598038,20179.25
2025,0.22855707647870815,19907.5
2025,0.6697654481400583,18663.25
2025,0.8520526723470256,19365.0
2025,-0.22462040406575623,19922.5
2025,-1.6,19771.25
2025,-1.6,20088.0
2025,-0.4799033221394633,21514.75
2025,-1.6,21498.75
2025,-1.0191806455924546,22444.5
2025,-0.08548195796425073,23396.75
2025,-1.6,23696.25
2025,1.6833353027747688,23272.25
2025,-1.6,23057.75
2025,1.1168192986374725,23504.25
2025,-0.0906694781233508,23712.5
2025,-0.5037251530781495,24864.75
2025,-0.9473936680524542,25016.0
2025,1.3460438512869377,26225.0
2025,-0.6421834236403745,26160.75
2025,-0.8877305061827601,25514.5
2025,-1.6,25059.0
2025,1.8321651090342672,25680.0
2025,1.054495612938089,24988.25
2026,-1.6,26234.25
2026,1.0911542350845127,25958.75
2026,1.5295820980784192,25382.75
