sess,sym,yr,rank,plain,stop,rk
2018-01-23,NFLX,2018,,0.4884542206375686,-0.18519126920861773,99.0
2018-02-01,MSFT,2018,,-1.0164035487070233,-0.07779687949823755,99.0
2018-02-02,GOOGL,2018,,-2.325624709927676,0.39597466068261866,99.0
2018-02-08,TSLA,2018,,3.912359106527108,0.09309550324019256,99.0
2018-02-09,NVDA,2018,,1.3700976478958404,0.05740272555005976,99.0
2018-04-17,NFLX,2018,,-1.89460146317737,-0.1518884478576954,99.0
2018-04-24,GOOGL,2018,,-2.2924499379609053,-0.10958578164802502,99.0
2018-04-26,META,2018,,1.330578097780566,0.23433053036534535,99.0
2018-04-27,MSFT,2018,,-1.0204988266729886,0.10127132960520147,99.0
2018-05-02,AAPL,2018,,-0.8707033034946243,0.10612367613844764,99.0
2018-05-03,TSLA,2018,,-0.31362585806666843,-0.2645616669324946,99.0
2018-05-11,NVDA,2018,,-0.09609656874320915,-0.04574280115563489,99.0
2018-07-17,NFLX,2018,,-1.5169822939965494,-0.38848387194510003,99.0
2018-07-20,MSFT,2018,,-0.2368637694909803,0.0002642283404519219,99.0
2018-07-24,GOOGL,2018,,0.25325394722051087,0.2600129732746037,99.0
2018-07-26,META,2018,,0.6477607763286652,0.6041793513756444,99.0
2018-07-27,AMZN,2018,,-1.9281094780340124,-0.2902216418013137,99.0
2018-08-01,AAPL,2018,,0.054615219665654635,0.19889998667770303,99.0
2018-08-02,TSLA,2018,,-1.5628289954445318,-0.3689840882148854,99.0
2018-08-17,NVDA,2018,,-0.16989736474708472,-0.1122797617966409,99.0
2018-10-17,NFLX,2018,,0.6269419573091128,-0.0063327470435359245,99.0
2018-10-25,TSLA,2018,,2.6024283961141093,0.2783494938907838,99.0
2018-10-26,GOOGL,2018,,2.192029506117532,1.8390479853062747,99.0
2018-10-31,META,2018,,2.1215089996089898,0.3385745017668196,99.0
2018-11-02,AAPL,2018,,1.3817666772309778,1.0738280404108957,99.0
2018-11-16,NVDA,2018,,0.3392651922315526,0.3682405476052364,99.0
2020-01-22,NFLX,2020,10.0,0.023252878807489274,0.023252878807489274,10.0
2020-01-29,AAPL,2020,1.0,-0.13382544262018348,-0.02694048947279315,1.0
2020-01-30,MSFT,2020,2.0,0.17286028365870454,-0.2379423803801517,2.0
2020-01-31,AMZN,2020,3.0,2.382405403230581,-0.14885319877564474,3.0
2020-02-04,GOOGL,2020,4.0,-2.555473911801154,0.09604196751261673,4.0
2020-02-14,NVDA,2020,7.0,-0.033500378449435875,-0.33455738961564174,7.0
2020-04-22,NFLX,2020,10.0,2.420725937687629,0.01949996823040756,10.0
2020-04-29,GOOGL,2020,4.0,3.1640049869987585,0.680864017963767,4.0
2020-04-30,MSFT,2020,2.0,-0.3825986965891426,0.8013422507654688,2.0
2020-05-01,AAPL,2020,1.0,2.294936282548865,0.7304440432714943,1.0
2020-05-22,NVDA,2020,7.0,0.3444595270057027,-0.27427574502792984,7.0
2020-06-12,ADBE,2020,9.0,0.4032343561159335,-0.16841966972116484,9.0
2020-07-01,MU,2020,,2.7585232764322454,-0.14954793757687712,99.0
2020-07-17,NFLX,2020,10.0,0.7314084326599302,0.7314084326599302,10.0
2020-07-21,CDNS,2020,,-1.3592493132670858,-0.226940252584662,99.0
2020-07-22,TXN,2020,,-0.1559295044181508,-0.3076297887872226,99.0
2020-07-23,MSFT,2020,2.0,-2.5906088391006388,-0.19499384649434015,2.0
2020-07-24,INTC,2020,,-0.9023871831450925,-0.0008329320115407768,99.0
2020-07-29,SBUX,2020,,0.8802184455386275,-0.007790801124052393,99.0
2020-07-30,LRCX,2020,,0.08086870754977493,-0.021970111299651762,99.0
2020-07-31,AAPL,2020,1.0,-0.05515526564954243,-0.22482144697921758,1.0
2020-08-04,KLAC,2020,,0.141446574793469,-0.38028814844116576,99.0
2020-08-07,BKNG,2020,,-1.334477075831686,-0.31929478078823736,99.0
2020-08-12,SMCI,2020,,2.32501605197295,0.3122078903548875,99.0
2020-08-13,CSCO,2020,,0.19282858841354056,-0.37226972860257,99.0
2020-08-14,AMAT,2020,,-0.23312536480315504,-0.05879761952334306,99.0
2020-08-20,NVDA,2020,7.0,-1.4448105175121961,-0.18271824791356028,7.0
2020-08-25,PANW,2020,,0.48011573964479304,-0.24248512257026844,99.0
2020-08-26,INTU,2020,,1.9280261500047358,-0.035609532109492914,99.0
2020-09-03,CRWD,2020,,-5.330044541981849,-0.28604636304813136,99.0
2020-09-04,AVGO,2020,,1.3156637496225865,0.24550053699261554,99.0
2020-09-16,ADBE,2020,9.0,1.7454503158619183,-0.2550595408578493,9.0
2020-09-25,COST,2020,,1.8566067205552983,-0.14699482183363477,99.0
2020-09-30,MU,2020,,0.6166450890963127,-0.17533402877483173,99.0
2020-10-01,PEP,2020,,1.6918813762556217,1.6918813762556217,99.0
2020-10-16,ISRG,2020,,-0.730487470214225,-0.2205844613206276,99.0
2020-10-20,CDNS,2020,,0.014783973897891656,0.3106349596733615,99.0
2020-10-21,NFLX,2020,10.0,-0.10744504077077055,0.06186437441435544,10.0
2020-10-22,TSLA,2020,6.0,0.11457351449113418,-0.16397520042221725,6.0
2020-10-23,INTC,2020,,0.19284979045925965,0.038443001398613674,99.0
2020-10-28,MSFT,2020,2.0,3.584788964957719,-0.06838446326116188,2.0
2020-10-29,GILD,2020,,1.3191009285776323,-0.11013383363259743,99.0
2020-10-30,AAPL,2020,1.0,2.160353209510346,0.6160174084257508,1.0
2020-11-04,SMCI,2020,,4.359571804284013,-0.20847510030623795,99.0
2020-11-05,QCOM,2020,,2.166922623743761,-0.07682945807714336,99.0
2020-11-06,BKNG,2020,,-0.2481182419915573,-0.3228064095559535,99.0
2020-11-13,AMAT,2020,,-0.9384590924742309,-0.39073101987940895,99.0
2020-11-19,NVDA,2020,7.0,-1.0246183451178892,-0.31212338422794694,7.0
2020-11-20,INTU,2020,,0.476770152043271,0.012782646766984485,99.0
2020-12-03,CRWD,2020,,-0.13554662907327986,-0.27166173889935363,99.0
2020-12-11,COST,2020,,-0.2962753859410694,-0.2982894398480984,99.0
2022-01-21,ISRG,2022,,2.2805873556438594,0.0690507810486296,99.0
2022-01-26,MSFT,2022,2.0,-0.7773602261481605,0.4655955711739823,2.0
2022-01-27,TSLA,2022,,-0.9695153824863079,0.42695038036790756,99.0
2022-01-28,AAPL,2022,1.0,2.9641931291098933,0.9952931877488691,1.0
2022-02-02,GOOGL,2022,3.0,0.6008125809940257,0.6241094361116195,3.0
2022-02-03,META,2022,6.0,2.810235237730674,0.4663956055503182,6.0
2022-02-04,AMZN,2022,4.0,-0.09070969335346346,0.3856888912391332,4.0
2022-02-08,AMGN,2022,,0.7750792705589982,-0.23380009906853738,99.0
2022-02-10,PEP,2022,7.0,2.1196230949757977,2.1196230949757977,7.0
2022-02-17,NVDA,2022,5.0,-3.0682934976777765,-0.20986445743459425,5.0
2022-02-23,CDNS,2022,,-3.2024097864626566,-0.27485018831876484,99.0
2022-02-24,BKNG,2022,,-3.542267665186083,-0.19113328395601314,99.0
2022-02-25,INTU,2022,,-1.8393811468719212,0.07964403285672939,99.0
2022-03-04,AVGO,2022,8.0,-1.7811139006801202,-0.2457504512193509,8.0
2022-03-10,CRWD,2022,,-1.3321081926419787,-0.10522518221662835,99.0
2022-03-23,ADBE,2022,,1.2490045593370191,-0.34397397414918096,99.0
2022-03-30,MU,2022,,0.8563990165811997,-0.11164933942287014,99.0
2022-04-20,NFLX,2022,,0.5435604965002394,-0.26254554010827214,99.0
2022-04-21,TSLA,2022,,-2.600517213825404,-0.17830663950810788,99.0
2022-04-22,ISRG,2022,,2.4169374110963426,-0.2917245354727038,99.0
2022-04-26,PEP,2022,7.0,-4.028430424780249,-0.348991549721378,7.0
2022-04-27,MSFT,2022,2.0,-0.14648303044062505,0.5833325149385948,2.0
2022-04-28,META,2022,6.0,2.654017721409452,0.4866401282050514,6.0
2022-04-29,AAPL,2022,1.0,3.9662117047036705,1.2451205251029829,1.0
2022-05-04,SMCI,2022,,-3.3073307975084676,-0.34925862695984744,99.0
2022-05-05,BKNG,2022,,-5.068453147890228,-0.33248835305181856,99.0
2022-05-19,CSCO,2022,10.0,-0.2625862191678485,-0.08622704102680956,10.0
2022-05-20,AMAT,2022,,-0.40996376624096165,0.10332187528321324,99.0
2022-05-25,INTU,2022,,1.1419616876839012,-0.055710815668297275,99.0
2022-05-26,NVDA,2022,5.0,3.2403421708748326,-0.018772500507158174,5.0
2022-05-27,MRVL,2022,,3.3493467878785044,-0.1853398149910479,99.0
2022-06-03,CRWD,2022,,-2.7803284970147724,-0.1376478453982588,99.0
2022-06-17,ADBE,2022,,0.7483513216727689,-0.03900655688443555,99.0
2022-07-01,MU,2022,,-0.8473872689042317,0.03407751540522863,99.0
2022-07-12,PEP,2022,7.0,0.7809856666610826,-0.3225476152498352,7.0
2022-07-20,NFLX,2022,,1.2378368009688279,0.09885022858506787,99.0
2022-07-21,TSLA,2022,,-1.931503238975285,-0.34751427998291895,99.0
