event_id,series,family,release_ts_utc,resp_sess,z,absz,r_5m,r_15m,r_30m,r_60m,r_to_open,r_open_close,r_total
74ab94f0bfd0,US_CORE_CPI_MOM,inflation,2020-12-10 13:30:00+00:00,2020-12-10,-0.4629100498862757,0.4629100498862757,-0.12788242936018213,-0.19283858395583442,-0.4567229620006441,-0.44860344267619867,-0.44860344267619867,1.1194258100034604,0.6658005846053916
e61038c5bbd4,US_CPI_MOM,inflation,2020-12-10 13:30:00+00:00,2020-12-10,-0.659380473395787,0.659380473395787,-0.12788242936018213,-0.19283858395583442,-0.4567229620006441,-0.44860344267619867,-0.44860344267619867,1.1194258100034604,0.6658005846053916
140f4fba1c9e,US_CPI_MOM,inflation,2022-01-12 13:30:00+00:00,2022-01-12,-0.4948716593053935,0.4948716593053935,0.17785192646688763,0.4359733064719151,0.5272601359858964,0.3242256358599871,0.3242256358599871,-0.25258071601141907,0.07082598841601229
cc0302cdafb9,US_CORE_CPI_MOM,inflation,2022-01-12 13:30:00+00:00,2022-01-12,-0.3917759207672459,0.3917759207672459,0.17785192646688763,0.4359733064719151,0.5272601359858964,0.3242256358599871,0.3242256358599871,-0.25258071601141907,0.07082598841601229
112a9a7d1f87,US_PPI_MOM,inflation,2022-01-13 13:30:00+00:00,2022-01-13,0.703452458112659,0.703452458112659,0.19966669811024573,0.16350658742885216,0.24840423859384675,0.29399742162690146,0.29399742162690146,-2.8231937673412477,-2.5374964625978658
e102baf42c3d,TSLA_EPS,eps,2022-01-26 21:26:43+00:00,2022-01-27,0.6741998624632421,0.6741998624632421,0.08512600422083683,0.003546916842545045,0.39548122794261786,0.3830670189937324,1.6156206217745162,-2.3491221334077994,-0.7714544132512824
969b24952a0f,AAPL_EPS,eps,2022-01-27 21:30:36+00:00,2022-01-28,1.2924606552829938,1.2924606552829938,0.3877769835596956,0.8255897069335161,0.8845604002859275,0.8845604002859275,0.7809149392423054,2.3706934766033694,3.1701215153681295
47d2808532c3,GOOGL_EPS,eps,2022-02-01 21:01:29+00:00,2022-02-02,1.1467480514847646,1.1467480514847646,0.3168039483776308,0.5652449394737635,0.7369860272784967,0.8220228765798421,0.9087271150832077,-0.10575191262248707,0.8020142061559987
6eb739f3f2c9,META_EPS,eps,2022-02-02 21:08:34+00:00,2022-02-03,-0.5417455398054639,0.5417455398054639,-0.6537586944890261,-0.7273274478330705,-0.5868780096308202,-0.5935660781166363,-1.5834002140181935,-1.4440801209629428,-3.0046147672552204
f76396f44525,AMZN_EPS,eps,2022-02-03 21:11:33+00:00,2022-02-04,6.00981846101697,6.00981846101697,0.3887004108631631,0.6819305453739544,0.8660517926249112,0.9512931107966693,-0.9206062362548395,1.0392828260233689,0.10910888725983448
883d8254c3ba,US_CPI_MOM,inflation,2022-02-10 13:30:00+00:00,2022-02-10,-1.0115610777177466,1.0115610777177466,-1.415667160181655,-1.2892386006354672,-1.6252724036398103,-1.823232911350292,-1.823232911350292,-0.3473575410474994,-2.1642573153893507
87767a1f71dc,US_CORE_CPI_MOM,inflation,2022-02-10 13:30:00+00:00,2022-02-10,-0.3938421427075865,0.3938421427075865,-1.415667160181655,-1.2892386006354672,-1.6252724036398103,-1.823232911350292,-1.823232911350292,-0.3473575410474994,-2.1642573153893507
bdee7b1c966b,US_PPI_MOM,inflation,2022-02-15 13:30:00+00:00,2022-02-15,-1.6837611310372242,1.6837611310372242,-0.16003854691882813,-0.14627179019462977,-0.4164443909070559,-0.3699815869628864,-0.3699815869628864,0.932706922758042,0.559274491920636
fef5a2ede3ac,US_CORE_PPI_MOM,inflation,2022-02-15 13:30:00+00:00,2022-02-15,-0.8627635262664033,0.8627635262664033,-0.16003854691882813,-0.14627179019462977,-0.4164443909070559,-0.3699815869628864,-0.3699815869628864,0.932706922758042,0.559274491920636
c980b8418e02,NVDA_EPS,eps,2022-02-16 21:21:16+00:00,2022-02-17,1.995243360633492,1.995243360633492,0.04970690068903938,0.08912961502862693,-0.027424496931882647,0.04799286963079741,-0.817592814781809,-2.073792447939171,-2.8744300846731297
c19b028c0f3b,US_CORE_PPI_MOM,inflation,2022-03-15 12:30:00+00:00,2022-03-15,1.5536132999283587,1.5536132999283587,0.5038937242327179,0.3683768514276986,0.41609406016185346,0.7004886242174324,0.7004886242174324,2.0072404708201486,2.721789586196355
116ee1fc4067,US_PPI_MOM,inflation,2022-03-15 12:30:00+00:00,2022-03-15,0.8587375429068915,0.8587375429068915,0.5038937242327179,0.3683768514276986,0.41609406016185346,0.7004886242174324,0.7004886242174324,2.0072404708201486,2.721789586196355
59da795d5f72,US_CORE_CPI_MOM,inflation,2022-04-12 12:30:00+00:00,2022-04-12,0.8691172572598894,0.8691172572598894,1.0147043116032428,1.3226759710898373,1.5451988464414201,0.856268024352902,0.856268024352902,-1.5673815197246532,-0.7245344821447675
b877dead27d2,US_CORE_PPI_MOM,inflation,2022-04-13 12:30:00+00:00,2022-04-13,-1.6346451533369355,1.6346451533369355,-0.1038161380396696,0.13424500608576473,-0.06443760292117462,-0.20047254242142598,-0.20047254242142598,2.0284812396872187,1.8239421493520425
53223ac2a6dc,US_PPI_MOM,inflation,2022-04-13 12:30:00+00:00,2022-04-13,-1.1495513464430414,1.1495513464430414,-0.1038161380396696,0.13424500608576473,-0.06443760292117462,-0.20047254242142598,-0.20047254242142598,2.0284812396872187,1.8239421493520425
fcfb8dfe6fbe,TSLA_EPS,eps,2022-04-20 20:12:16+00:00,2022-04-21,3.934671710407681,3.934671710407681,-0.06223217937092462,-0.10668373606443904,-0.010668373606448345,0.06934442844188649,0.9690439359186342,-3.3423731201352447,-2.4057182482530526
269f0dd4f0b1,GOOGL_EPS,eps,2022-04-26 20:01:32+00:00,2022-04-27,-0.4135707001008418,0.4135707001008418,-0.9610209886983911,-0.711155531636809,-1.0494349196586428,-1.4722841546859433,0.4651341585300228,-0.5031566864358128,-0.0403628815253354
88390ec4d99d,META_EPS,eps,2022-04-27 20:07:54+00:00,2022-04-28,0.5124717674263262,0.5124717674263262,0.13752268169229254,0.18336357558972338,0.410658007831155,0.6093018813866813,1.3351160347626845,1.504127869717653,2.85932575685226
bb078e356778,AMZN_EPS,eps,2022-04-28 20:27:13+00:00,2022-04-29,-1.932076231571605,1.932076231571605,0.4673423423423362,0.45045045045044585,0.007507507507509281,-0.09009009009008917,-0.326576576576576,-3.172899484050762,-3.4891141141141113
a5ef05b4df89,AAPL_EPS,eps,2022-04-28 20:32:12+00:00,2022-04-29,0.6059933822036437,0.6059933822036437,-0.2236636099306688,-0.6188026541415037,-0.7828226347573297,-0.7828226347573297,-1.0176694251845197,-3.172899484050762,-4.158279281294264
884b797ea51d,US_CPI_MOM,inflation,2022-05-11 12:30:00+00:00,2022-05-11,-0.5062713497835429,0.5062713497835429,-1.4847512038523303,-1.869983948635634,-2.6183788121990403,-1.8258426966292096,-1.8258426966292096,-2.107091763744129,-3.8944622792937422
a31621969bf9,US_CORE_CPI_MOM,inflation,2022-05-11 12:30:00+00:00,2022-05-11,-0.8043996665398438,0.8043996665398438,-1.4847512038523303,-1.869983948635634,-2.6183788121990403,-1.8258426966292096,-1.8258426966292096,-2.107091763744129,-3.8944622792937422
1c1f5e955bed,US_CORE_PPI_MOM,inflation,2022-05-12 12:30:00+00:00,2022-05-12,0.6538580613347743,0.6538580613347743,-0.05299866443365664,-0.0042398931546894225,-0.04451887812426669,0.4812278730575992,0.4812278730575992,0.8312587028988627,1.316486824532026
43a2b0dec51c,NVDA_EPS,eps,2022-05-25 20:22:25+00:00,2022-05-26,1.3664794312435,1.3664794312435,-0.3497387493679449,0.05477835833473943,0.0948086971178208,0.22964773301870078,0.3876622282150688,3.047347212894569,3.4468228552165803
d02776c0f6c9,US_CORE_CPI_MOM,inflation,2022-06-10 12:30:00+00:00,2022-06-10,-0.5077524002897476,0.5077524002897476,-1.7964193541831763,-1.5302078888008275,-2.0727915625190496,-2.0870166026539905,-2.0870166026539905,-1.7309368643891876,-3.7818285273019114
34eedeaf4ceb,US_CPI_MOM,inflation,2022-06-10 12:30:00+00:00,2022-06-10,-2.1375759095832763,2.1375759095832763,-1.7964193541831763,-1.5302078888008275,-2.0727915625190496,-2.0870166026539905,-2.0870166026539905,-1.7309368643891876,-3.7818285273019114
c052af2f6966,US_CORE_PPI_MOM,inflation,2022-06-14 12:30:00+00:00,2022-06-14,0.3138589853526057,0.3138589853526057,0.35803716557571974,0.5974607916355401,0.4349163115582311,0.3558406185476537,0.3558406185476537,-0.6259849413412732,-0.27237183148091093
266e0215d49f,US_CORE_PCE_MOM,inflation,2022-06-30 12:30:00+00:00,2022-06-30,1.2610953357233272,1.2610953357233272,0.4279724533466478,0.5431122504399255,0.05431122504400143,0.5192153114205622,0.5192153114205622,-0.25502485411713627,0.26286632921292963
022fd0407a03,US_CORE_CPI_MOM,inflation,2022-07-13 12:30:00+00:00,2022-07-13,-1.0369939322284465,1.0369939322284465,-3.5922492974877374,-3.6761313593088096,-3.0784716688336156,-2.6821289267290216,-2.6821289267290216,1.3252311073760348,-1.3924422262299174
b9bcd735d08e,US_CPI_MOM,inflation,2022-07-13 12:30:00+00:00,2022-07-13,-1.3470089048297798,1.3470089048297798,-3.5922492974877374,-3.6761313593088096,-3.0784716688336156,-2.6821289267290216,-2.6821289267290216,1.3252311073760348,-1.3924422262299174
0d7035cb6855,US_CORE_PPI_MOM,inflation,2022-07-14 12:30:00+00:00,2022-07-14,0.3093889741828283,0.3093889741828283,0.15246193819922205,0.17178809937941075,0.14601988447249248,0.31566063260968225,0.31566063260968225,1.031766418357738,1.3506839313706553
093f9d13f2e3,US_PPI_MOM,inflation,2022-07-14 12:30:00+00:00,2022-07-14,-1.222431847851449,1.222431847851449,0.15246193819922205,0.17178809937941075,0.14601988447249248,0.31566063260968225,0.31566063260968225,1.031766418357738,1.3506839313706553
771cd610f70b,TSLA_EPS,eps,2022-07-20 20:43:32+00:00,2022-07-21,1.3734321204463236,1.3734321204463236,0.0020112226222224194,-0.020112226222324114,-0.018101003600090593,-0.018101003600090593,0.2996721707125838,1.4237016242229839,1.7276402324973406
5c82200c23cc,GOOGL_EPS,eps,2022-07-26 20:02:00+00:00,2022-07-27,-0.3291511791111071,0.3291511791111071,0.15038213542633017,0.16274231094082214,0.16480234019322637,0.498527079084532,1.44820056444801,2.4692360800877333,3.9531961353851175
16b3f838cbe2,META_EPS,eps,2022-07-27 20:07:22+00:00,2022-07-28,-0.2553053903667213,0.2553053903667213,-0.05771029432249941,0.2646713498238862,0.16318083222224278,0.1393007104336208,0.5751129330759497,0.8211317768104465,1.4009671449324301
0b6a711bf95b,AMZN_EPS,eps,2022-07-28 20:09:30+00:00,2022-07-29,-0.5677740620063332,0.5677740620063332,-0.13456850316918567,-0.03900536323744319,0.824963432471959,0.8230131643100824,-0.18527547537786626,1.3833528722157151,1.1955143832276915
a144d9d06e59,AAPL_EPS,eps,2022-07-28 20:31:44+00:00,2022-07-29,0.3515502391145097,0.3515502391145097,0.003876795440893588,0.10273507918354685,0.2093469538079873,0.2093469538079873,-0.7928046676617062,1.3833528722157151,0.5795809184128364
c5a0b7224e3f,US_CORE_PCE_MOM,inflation,2022-07-29 12:30:00+00:00,2022-07-29,-1.2610953357233272,1.2610953357233272,-0.22954518927751355,-0.22759989106330147,-0.20620161070692422,-0.439637396412873,-0.439637396412873,1.3833528722157151,0.9376337392522194
