sess,sym,rk,yr,entry,plain,be,tp2.0,tp2.5,tp3.0
2020-01-22,NFLX,10,2020,9191.25,0.10607915136677804,0.0,0.10607915136677804,0.10607915136677804,0.10607915136677804
2020-01-29,AAPL,1,2020,9094.25,-0.17043736426862743,-0.0,-0.17043736426862743,-0.17043736426862743,-0.17043736426862743
2020-01-30,MSFT,2,2020,9131.25,0.14236824093087908,0.0,0.14236824093087908,0.14236824093087908,0.14236824093087908
2020-01-31,AMZN,3,2020,9218.5,2.421760590117694,2.421760590117694,2.000000000000013,2.499999999999991,2.421760590117694
2020-02-04,GOOGL,4,2020,9082.25,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2020-02-14,NVDA,7,2020,9632.25,-0.028549923434295632,0.0,-0.028549923434295632,-0.028549923434295632,-0.028549923434295632
2020-04-22,NFLX,10,2020,8463.0,2.1859860569537926,2.1859860569537926,2.0000000000000018,2.499999999999991,2.1859860569537926
2020-04-29,GOOGL,4,2020,8766.0,2.2530230435774623,2.2530230435774623,2.0000000000000018,2.499999999999991,2.2530230435774623
2020-04-30,MSFT,2,2020,9082.0,-1.6000000000000014,0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2020-05-01,AAPL,1,2020,8830.75,1.3447328935820901,-0.0,1.3447328935820901,1.3447328935820901,1.3447328935820901
2020-05-07,PYPL,8,2020,8963.0,1.4280932723418571,1.4280932723418571,1.4280932723418571,1.4280932723418571,1.4280932723418571
2020-05-22,NVDA,7,2020,9369.25,0.39490887744484393,0.0,0.39490887744484393,0.39490887744484393,0.39490887744484393
2020-06-12,ADBE,9,2020,9630.25,0.3089224059603879,0.0,2.0000000000000018,0.3089224059603879,0.3089224059603879
2020-07-17,NFLX,10,2020,10544.75,0.8108300339031205,0.0,0.8108300339031205,0.8108300339031205,0.8108300339031205
2020-07-23,MSFT,2,2020,10857.5,-1.5999999999999903,0.0,-1.5999999999999903,-1.5999999999999903,-1.5999999999999903
2020-07-30,PYPL,8,2020,10674.5,-0.28572766874326305,-0.0,-0.28572766874326305,-0.28572766874326305,-0.28572766874326305
2020-07-31,AAPL,1,2020,10900.75,-1.6000000000000014,0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2020-08-20,NVDA,7,2020,11316.75,-1.3895332140411387,-0.0,-1.3895332140411387,-1.3895332140411387,-1.3895332140411387
2020-09-16,ADBE,9,2020,11435.5,1.7533120545669134,-0.0,1.7533120545669134,1.7533120545669134,1.7533120545669134
2020-10-21,NFLX,10,2020,11692.75,-0.3442303991789797,0.0,-0.3442303991789797,-0.3442303991789797,-0.3442303991789797
2020-10-22,TSLA,6,2020,11664.0,0.08359053497942748,-0.0,0.08359053497942748,0.08359053497942748,0.08359053497942748
2020-10-28,MSFT,2,2020,11536.0,3.4544036061026406,3.4544036061026406,1.9999999999999907,2.500000000000002,3.0000000000000027
2020-10-30,AAPL,1,2020,11194.75,1.2461198329574152,-0.0,2.0000000000000018,1.2461198329574152,1.2461198329574152
2020-11-03,PYPL,8,2020,11085.5,1.54706598710026,1.54706598710026,2.0000000000000018,1.54706598710026,1.54706598710026
2020-11-19,NVDA,7,2020,11868.75,-0.9478672985782088,-0.0,-0.9478672985782088,-0.9478672985782088,-0.9478672985782088
2022-01-26,MSFT,2,2022,14142.25,0.042426063745160114,0.0,2.0000000000000018,2.499999999999991,3.0000000000000027
2022-01-28,AAPL,1,2022,14161.5,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-02-02,GOOGL,3,2022,15113.0,0.004962614967252144,0.0,0.004962614967252144,0.004962614967252144,0.004962614967252144
2022-02-03,META,6,2022,14831.75,2.218214303774002,-0.0,2.0000000000000018,2.500000000000002,2.218214303774002
2022-02-04,AMZN,4,2022,14762.5,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-02-10,PEP,7,2022,15026.0,2.149607347264737,-0.0,2.0000000000000018,2.500000000000002,2.149607347264737
2022-02-17,NVDA,5,2022,14606.75,-1.6000000000000014,0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-03-04,AVGO,8,2022,14076.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-04-26,PEP,7,2022,13510.75,3.713709453583258,3.713709453583258,2.0000000000000018,2.5000000000000133,3.0000000000000027
