sess,yr,entry,r,be_r,mfe,hrs,be_hrs
2020-01-22,2020,9191.25,0.10607915136677804,0.0,0.6827145382837019,19.65,19.05
2020-01-29,2020,9094.25,-0.17043736426862743,-0.0,0.24249772658382351,20.566666666666666,14.083333333333334
2020-01-30,2020,9131.25,0.14236824093087908,0.0,0.1861738535249735,21.9,15.416666666666666
2020-01-31,2020,9218.5,2.421760590117694,2.421760590117694,2.816194512603176,21.9,21.9
2020-02-04,2020,9082.25,-1.6,-1.6000000000000014,0.05508276184968963,9.383333333333333,9.383333333333333
2020-02-14,2020,9632.25,-0.028549923434295632,0.0,0.2803083391730965,19.4,12.916666666666666
2020-04-22,2020,8463.0,2.1859860569537926,2.1859860569537926,2.800425381070548,21.9,21.9
2020-04-29,2020,8766.0,2.2530230435774623,2.2530230435774623,2.8376682637462958,21.9,21.9
2020-04-30,2020,9082.0,-1.6,0.0,0.690927108566397,17.916666666666668,15.416666666666666
2020-05-01,2020,8830.75,1.3447328935820901,-0.0,1.830604243542444,21.9,15.483333333333333
2020-05-07,2020,8963.0,1.4280932723418571,1.4280932723418571,1.8185875264978169,21.9,21.9
2020-05-22,2020,9369.25,0.39490887744484393,0.0,0.5176508258398549,21.9,15.416666666666666
2020-06-12,2020,9630.25,0.3089224059603879,0.0,2.274084265725196,21.816666666666666,16.866666666666667
2020-07-17,2020,10544.75,0.8108300339031205,0.0,1.1854240261741644,21.65,16.1
2020-07-23,2020,10857.5,-1.6,0.0,0.7460280911812056,18.416666666666668,15.333333333333334
2020-07-30,2020,10674.5,-0.28572766874326305,-0.0,1.6352859965247157,19.9,15.933333333333334
2020-07-31,2020,10900.75,-1.6,0.0,0.3508932871591375,14.966666666666667,14.166666666666666
2020-08-20,2020,11316.75,-1.3895332140411387,-0.0,0.8488170030744646,20.983333333333334,14.6
2020-09-16,2020,11435.5,1.7533120545669134,-0.0,1.8571301327157785,20.733333333333334,14.25
2020-10-21,2020,11692.75,-0.3442303991789797,0.0,0.7397746466827781,21.9,15.416666666666666
2020-10-22,2020,11664.0,0.08359053497942748,-0.0,1.3291634089132032,21.9,15.416666666666666
2020-10-28,2020,11536.0,3.4544036061026406,3.4544036061026406,3.706034385886059,21.9,21.9
2020-10-30,2020,11194.75,1.2461198329574152,-0.0,2.2865366165653933,21.9,15.416666666666666
2020-11-03,2020,11085.5,1.54706598710026,1.54706598710026,2.3589373505931155,21.65,21.65
2020-11-19,2020,11868.75,-0.9478672985782088,-0.0,0.5442839595069637,20.483333333333334,14.0
2022-01-26,2022,14142.25,0.042426063745160114,0.0,3.5178277855362428,21.816666666666666,20.883333333333333
2022-01-28,2022,14161.5,-1.6,-1.6000000000000014,0.1447586766938569,13.283333333333333,13.283333333333333
2022-02-02,2022,15113.0,0.004962614967252144,0.0,0.9726725335803543,21.9,15.433333333333334
2022-02-03,2022,14831.75,2.218214303774002,-0.0,2.5974924340683048,21.9,16.25
2022-02-04,2022,14762.5,-1.6,-1.6000000000000014,0.42845046570703094,12.8,12.8
2022-02-10,2022,15026.0,2.149607347264737,-0.0,2.7629599234030966,20.816666666666666,15.533333333333333
2022-02-17,2022,14606.75,-1.6,0.0,0.08728841117975339,16.233333333333334,15.416666666666666
2022-03-04,2022,14076.0,-1.6,-1.6000000000000014,0.07459505541347333,1.0333333333333334,1.0333333333333334
2022-04-26,2022,13510.75,3.713709453583258,3.713709453583258,3.8789043728976402,21.9,21.9
2022-04-27,2022,12959.25,-1.6,-1.6000000000000014,0.23203202041881532,10.183333333333334,10.183333333333334
2022-04-28,2022,13176.75,2.1723869694727505,0.0,2.771927827423304,21.9,15.566666666666666
2022-04-29,2022,13231.0,2.8399213967198245,-0.0,3.1114228378825937,21.9,15.416666666666666
2022-05-19,2022,11898.5,-1.6,-1.6000000000000014,0.4622431398915827,11.566666666666666,11.566666666666666
2022-05-26,2022,11902.5,3.129594622978371,0.0,3.7009031716026097,21.9,15.416666666666666
2022-07-12,2022,11880.25,0.8585677910818323,-0.0,1.436560792349728,21.15,14.666666666666666
2022-07-27,2022,12294.25,2.6130101470199563,0.0,3.2189844846167937,21.9,15.45
2022-07-28,2022,12580.75,1.2558869701726927,0.0,1.4605647517039966,21.483333333333334,15.166666666666666
2022-07-29,2022,12877.75,-0.7318825105317339,-0.0,1.0475312395786363,21.15,14.966666666666667
2022-08-18,2022,13489.25,-0.2928257686676483,-0.0,0.5853513039911995,21.9,15.416666666666666
2022-08-25,2022,12942.75,-1.6,-0.0,0.13733075435202746,21.2,14.75
2022-09-02,2022,12310.5,-1.6,0.0,1.2265951829738775,19.733333333333334,15.6
2022-10-12,2022,10853.0,0.14512116465493774,-0.0,0.4395909490537253,21.483333333333334,15.0
2022-10-26,2022,11496.25,-1.6,-0.0,0.5532231260386711,17.15,15.533333333333333
2022-10-27,2022,11428.75,1.6515366947391419,-0.0,1.8582473652547948,21.9,15.416666666666666
2022-10-28,2022,11167.5,3.734049697783748,3.734049697783748,3.922095366017464,21.9,21.9
2022-11-17,2022,11775.25,0.5350204878877274,0.5350204878877274,2.142562834775452,21.9,21.9
2022-12-09,2022,11636.5,0.5628840287027925,-0.0,1.0375965963358436,20.983333333333334,14.733333333333333
2024-01-25,2024,17605.25,-0.18602405532439636,-0.0,0.360563219701282,20.9,14.416666666666666
2024-01-31,2024,17460.5,1.2700094499012105,-0.0,1.3348422854821296,21.9,20.633333333333333
2024-02-01,2024,17273.75,0.9638902959693274,0.0,1.0391489977567225,21.9,15.916666666666666
2024-02-02,2024,17600.0,0.7372159090909047,0.0,0.9971590909090944,19.983333333333334,13.5
2024-02-22,2024,17684.25,2.0385371163605948,2.0385371163605948,2.277450273548487,21.9,21.9
2024-03-08,2024,18259.5,-1.199375667460778,0.0,0.9693584161669211,21.9,17.083333333333332
2024-04-24,2024,17668.0,-0.05518451437627192,0.0,0.7216436495358858,21.9,16.966666666666665
2024-04-25,2024,17473.75,-0.5350883468059342,-0.0,0.9561914116100745,21.9,18.683333333333334
2024-04-26,2024,17767.25,0.40523997804950973,0.0,0.7556037090714618,21.9,15.416666666666666
2024-05-01,2024,17481.5,-1.6,-0.0,0.47272152535311474,20.916666666666668,15.416666666666666
2024-05-02,2024,17499.0,0.852905880336019,0.0,1.0657751871535615,21.9,15.733333333333333
2024-05-03,2024,17726.0,1.5542141487081107,1.5542141487081107,1.829233893715454,21.9,21.9
2024-05-23,2024,18845.0,0.7866808171928863,-0.0,1.20022554574013,21.65,15.166666666666666
2024-06-13,2024,19595.25,-0.014034013345065599,0.0,0.48863882828746874,21.9,16.116666666666667
2024-07-24,2024,19841.75,3.2116622777728754,3.2116622777728754,3.510922725790677,21.9,21.9
2024-07-31,2024,18987.5,2.680710994075053,2.680710994075053,3.084924292297564,21.9,21.9
2024-08-01,2024,19637.75,-1.6,0.0,0.40355947091699207,16.916666666666668,15.416666666666666
2024-08-02,2024,18918.5,-1.6,-1.6000000000000014,0.18236118085472874,14.416666666666666,14.416666666666666
2024-08-29,2024,19224.0,-1.6,-0.0,0.4375595930042664,15.433333333333334,15.416666666666666
2024-09-06,2024,18917.25,2.4263568964833726,-0.0,2.642394975651441,21.816666666666666,15.333333333333334
2024-10-24,2024,20287.5,0.4559457794208299,0.0,0.6950092421441845,21.9,17.7
2024-10-30,2024,20738.25,-0.9824840572372318,0.0,0.24230588405482756,21.9,15.416666666666666
2024-10-31,2024,20444.75,2.120348744787781,2.120348744787781,2.1764933718155355,21.9,21.9
