sess,yr,day,az,entry,A_30_nostop,B_30_s05,C_30_s05tp05,D_open_s05,E_30_s03
2022-01-07,2022,NFP,0.895105558326105,15800.0,-0.6424050632911404,-0.5,-0.5,-0.5,-0.3
2022-02-04,2022,NFP,1.200570988449998,14515.75,0.8766340009989104,0.8766340009989104,0.5,-0.09300242839673789,0.8766340009989104
2022-02-10,2022,CPI,1.0115610777177466,14918.25,1.0071556650411373,1.0071556650411373,0.5,1.099324652690492,1.0071556650411373
2022-02-15,2022,PPI,1.6837611310372242,14495.25,0.1431503423535263,0.1431503423535263,0.1431503423535263,0.14659974819337673,0.1431503423535263
2022-03-04,2022,NFP,0.8264833103086302,13955.0,-0.2902185596560414,-0.2902185596560414,-0.2902185596560414,-0.5,-0.3
2022-03-15,2022,PPI,1.5536132999283587,13144.75,0.02662659997336725,0.02662659997336725,0.02662659997336725,0.3423419996576582,0.02662659997336725
2022-04-12,2022,CPI,0.8691172572598894,14161.0,0.7079302309158875,0.7079302309158875,0.5,0.019419532518893945,0.7079302309158875
2022-04-13,2022,PPI,1.6346451533369355,13948.0,-0.05556352165185796,-0.05556352165185796,-0.05556352165185796,0.06452537998279384,-0.3
2022-05-11,2022,CPI,0.8043996665398438,12304.5,1.2251615262708793,1.2251615262708793,0.5,0.5851517737413103,-0.3
2022-06-10,2022,CPI,2.1375759095832763,12119.5,0.3939931515326567,-0.5,-0.5,-0.5,-0.3
2022-07-13,2022,CPI,1.3470089048297798,11608.75,0.4479379778184578,0.4479379778184578,0.5,0.06029934316786889,0.4479379778184578
2022-07-14,2022,PPI,1.222431847851449,11650.25,0.02789639707303504,0.02789639707303504,0.02789639707303504,0.24677582026135791,0.02789639707303504
2022-08-05,2022,NFP,1.0932780012733567,13211.0,0.4939065929906894,0.4939065929906894,0.5,0.4352433578078907,0.4939065929906894
2022-08-10,2022,CPI,1.612757024996288,13262.75,0.5353339239599686,0.5353339239599686,0.5,0.640892725867559,0.5353339239599686
2022-08-11,2022,PPI,2.9564405186880625,13488.0,0.053751482799535566,0.053751482799535566,0.053751482799535566,0.0648724792408073,0.053751482799535566
2022-09-02,2022,NFP,1.4062460986213174,12377.5,-0.20197939810139287,-0.5,-0.5,-0.5,-0.3
2022-09-13,2022,CPI,1.942016624910449,12633.75,1.4682893044424605,1.4682893044424605,0.5,1.3040467003067158,1.4682893044424605
2022-10-07,2022,NFP,1.2335371226084146,11409.0,0.5412393724252729,0.5412393724252729,0.5,0.7165395740205138,-0.3
2022-10-13,2022,CPI,1.4250506063888508,10553.25,-0.004737876957339182,-0.004737876957339182,-0.004737876957339182,0.17056357046407733,-0.3
2022-11-10,2022,CPI,1.4062460986213052,11163.75,1.2115104691523992,1.2115104691523992,0.5,1.9729033702832854,1.2115104691523992
2022-11-15,2022,PPI,1.181526428122759,12028.0,0.2972231459926755,0.2972231459926755,0.5,-0.04364815430661917,0.2972231459926755
2022-12-13,2022,CPI,1.261095335723328,12339.0,-0.5612286246859499,-0.5,-0.5,-0.5,-0.3
2024-01-11,2024,CPI,1.3932610920384736,16956.0,0.22116065109695215,0.22116065109695215,0.22116065109695215,-0.27423920736022733,0.22116065109695215
2024-01-12,2024,PPI,1.0725328887197914,16953.25,0.04718859215784299,0.04718859215784299,0.04718859215784299,0.29787798799640886,0.04718859215784299
2024-02-02,2024,NFP,1.6290959388456951,17527.25,0.15547219329901107,0.15547219329901107,0.15547219329901107,0.13978233892938396,0.15547219329901107
2024-02-13,2024,CPI,1.4957567100278115,17731.25,0.4258019034191096,0.4258019034191096,0.5,0.6457525555163879,0.4258019034191096
2024-02-16,2024,PPI,2.1266132558701933,17948.0,0.05153777579675056,0.05153777579675056,0.05153777579675056,0.16714954312457841,0.05153777579675056
2024-03-08,2024,NFP,1.192971329492848,18326.0,0.2264542180508533,0.2264542180508533,0.2264542180508533,-0.07912255811415303,0.2264542180508533
2024-03-12,2024,CPI,1.3932610920384727,18243.75,-0.43713600548132003,-0.5,-0.5,-0.5,-0.3
2024-03-14,2024,PPI,1.0435081492551312,18375.75,-0.061221990939142046,-0.061221990939142046,-0.061221990939142046,0.10883909500292166,-0.061221990939142046
2024-04-05,2024,NFP,1.2774811175218876,18110.25,-0.2967932524399197,-0.2967932524399197,-0.2967932524399197,-0.18083681892850922,-0.3
2024-04-10,2024,CPI,1.3932610920384727,18168.75,0.38527691778466044,0.38527691778466044,0.5,0.22291021671826394,0.38527691778466044
