sess,family,z,react,streak_into_open,adx,agree,hrs,y
2020-12-10,inflation,-0.5611452616410313,-1.0,0,30.691427002977402,1.0,1.0,-1.1194258100034604
2022-01-12,inflation,-0.4433237900363197,1.0,0,20.082509439339546,0.0,1.0,-0.25258071601141907
2022-01-13,inflation,0.703452458112659,1.0,2,15.640814478069883,1.0,1.0,-2.8231937673412477
2022-01-27,eps,0.6741998624632421,1.0,1,33.22026773135982,1.0,17.05472222222222,-2.3491221334077994
2022-01-28,eps,1.2924606552829938,1.0,3,23.089474022412197,1.0,16.99,2.3706934766033694
2022-02-02,eps,1.1467480514847646,1.0,0,24.869863051713068,1.0,17.475277777777777,-0.10575191262248707
2022-02-03,eps,-0.5417455398054639,-1.0,1,22.081051032670572,1.0,17.357222222222223,1.4440801209629428
2022-02-04,eps,6.00981846101697,-1.0,0,31.16239124781968,0.0,17.3075,-1.0392828260233689
2022-02-10,inflation,-0.7027016102126665,-1.0,0,56.17615875677462,1.0,1.0,0.3473575410474994
2022-02-15,inflation,-1.2732623286518137,-1.0,1,22.23827826250188,1.0,1.0,-0.932706922758042
2022-02-17,eps,1.995243360633492,-1.0,1,22.42959641853795,0.0,17.145555555555557,2.073792447939171
2022-03-15,inflation,1.2061754214176252,1.0,1,20.190778687500483,1.0,1.0,2.0072404708201486
2022-04-12,inflation,0.8691172572598894,1.0,0,29.63662034185686,1.0,1.0,-1.5673815197246532
2022-04-13,inflation,-1.3920982498899885,-1.0,2,24.125862636297125,1.0,1.0,-2.0284812396872187
2022-04-21,eps,3.934671710407681,1.0,0,12.365844886382272,1.0,17.295555555555556,-3.3423731201352447
2022-04-27,eps,-0.4135707001008418,1.0,1,13.957935773407899,0.0,17.474444444444444,-0.5031566864358128
2022-04-28,eps,0.5124717674263262,1.0,0,19.662503267780057,1.0,17.368333333333332,1.504127869717653
2022-04-29,eps,-0.6630414246839806,-1.0,1,22.412642667943256,1.0,17.046388888888888,3.172899484050762
2022-05-11,inflation,-0.6553355081616934,-1.0,2,23.96788013547346,1.0,1.0,2.107091763744129
2022-05-12,inflation,0.6538580613347743,1.0,0,24.18754363556955,1.0,1.0,0.8312587028988627
2022-05-26,eps,1.3664794312435,1.0,0,45.84471361376734,1.0,17.12638888888889,3.047347212894569
2022-06-10,inflation,-1.322664154936512,-1.0,0,25.027539328361097,1.0,1.0,1.7309368643891876
2022-06-14,inflation,0.3138589853526057,1.0,0,20.415753220134388,1.0,1.0,-0.6259849413412732
2022-06-30,inflation,1.2610953357233272,1.0,1,18.397862711225837,1.0,1.0,-0.25502485411713627
2022-07-13,inflation,-1.192001418529113,-1.0,0,15.260321533606676,1.0,1.0,-1.3252311073760348
2022-07-14,inflation,-0.4565214368343104,1.0,0,17.456911647915952,1.0,1.0,1.031766418357738
2022-07-21,eps,1.3734321204463236,1.0,0,21.898009147148183,1.0,16.774444444444445,1.4237016242229839
2022-07-27,eps,-0.3291511791111071,1.0,0,22.33602105051765,0.0,17.466666666666665,2.4692360800877333
2022-07-28,eps,-0.2553053903667213,1.0,0,22.501527545042762,0.0,17.377222222222223,0.8211317768104465
2022-07-29,eps,-0.49243971953838356,-1.0,1,22.67844320312997,1.0,17.341666666666665,-1.3833528722157151
2022-08-10,inflation,1.5030090585173803,1.0,1,18.235427263289054,1.0,1.0,0.34275439680844233
2022-08-11,inflation,1.8116939731145556,1.0,1,21.5880733637518,1.0,1.0,-1.3280975049548949
2022-08-25,eps,0.2703802361888272,1.0,0,16.342111657435613,1.0,17.090555555555557,1.1666570566414958
2022-08-26,inflation,1.7320508075688763,1.0,0,38.326489582557365,1.0,1.0,-3.9430615817918846
2022-09-13,inflation,-1.6354415836769136,-1.0,1,49.25497611857568,1.0,1.0,2.800946346940414
2022-09-14,inflation,-0.3715848675706955,1.0,2,19.079687583680602,0.0,1.0,0.4790591524970633
2022-09-30,inflation,-1.4957567100278102,-1.0,3,29.241280492209107,1.0,1.0,1.5376032135683948
2022-10-12,inflation,-0.6334159813827913,-1.0,2,15.385564852527587,1.0,1.0,0.09909660766961315
2022-10-13,inflation,-1.354786932127682,-1.0,0,30.090005012833938,1.0,1.0,-5.182601267174491
2022-10-20,eps,0.4512936824065242,-1.0,2,16.253120425226335,0.0,16.237222222222222,0.4153942877672012
2022-10-26,eps,-0.9570712302246422,-1.0,3,19.79709503701554,1.0,17.476944444444445,-0.07427148411900397
2022-10-27,eps,-0.573242712269343,1.0,0,13.680321886616666,0.0,17.180833333333332,-1.8276306308273482
2022-10-28,eps,0.13426571540857815,1.0,3,38.77809651278454,1.0,17.34027777777778,3.117698110688294
2022-11-10,inflation,1.3336707171723168,1.0,5,40.74865758693786,1.0,1.0,2.149947294448351
2022-11-15,inflation,0.9056815427102664,1.0,0,18.175800938632907,1.0,1.0,-0.9752344513526467
2022-11-17,eps,-3.1780661709413502,-1.0,4,21.126247189226326,1.0,17.145,-1.284185493460166
2022-12-01,inflation,1.4957567100278102,-1.0,1,13.079050045613679,0.0,1.0,-0.19107751100773118
2022-12-09,inflation,-0.5271511987647943,-1.0,0,14.789582471464307,1.0,1.0,0.3723873689648438
2022-12-13,inflation,0.919222802456477,1.0,0,25.972783855078696,1.0,1.0,-2.598143020035837
2024-01-11,inflation,-1.3932610920384736,-1.0,0,24.739996698363008,1.0,1.0,0.21761505660932157
2024-01-12,inflation,0.8589132270375472,1.0,4,49.085512750260115,1.0,1.0,-0.1852532529589057
2024-01-25,eps,-0.279310193865464,1.0,1,19.281660240217786,0.0,16.0925,-0.2798586572438144
2024-01-31,eps,0.2268275895711012,-1.0,0,14.822287032281412,0.0,17.476111111111113,0.8996708871674697
2024-02-02,eps,0.5856905933690744,1.0,1,23.97034895710572,1.0,17.399444444444445,1.2969390524346203
2024-02-13,inflation,-1.37842602287557,-1.0,0,43.03744026655536,1.0,1.0,-0.3618715143258511
2024-02-16,inflation,-1.3983363250653418,-1.0,0,14.803754109607889,1.0,1.0,0.9543475834356552
2024-02-22,eps,2.2370683830889866,1.0,1,22.29132564301683,1.0,17.13083333333333,0.8720564600656733
2024-03-12,inflation,-1.3932610920384727,1.0,2,26.983590450143332,0.0,1.0,0.7978941051310695
2024-03-14,inflation,-0.7469012359235306,-1.0,0,25.888400901449902,1.0,1.0,0.4222110237936394
2024-04-10,inflation,-1.2829325159971654,-1.0,0,27.658152542631907,1.0,1.0,-0.3489029553321421
2024-04-11,inflation,0.3402785236893603,1.0,1,18.330110148822204,1.0,1.0,1.210212882469719
2024-04-24,eps,-0.590178353462243,1.0,2,30.142070687049422,0.0,17.334722222222222,-0.4397772922686616
2024-04-25,eps,0.927657559459202,-1.0,1,29.69383247739656,0.0,17.37611111111111,-1.2565384670807145
2024-04-26,eps,1.7967446244148189,1.0,0,18.470924722397985,1.0,17.47361111111111,0.830872274583494
2024-05-01,eps,0.3355455786256719,-1.0,2,28.90405554482909,0.0,17.323888888888888,0.4667894308594933
2024-05-03,eps,0.2223239024939453,1.0,1,20.511987720930403,1.0,16.990555555555556,0.28411464861703983
2024-05-14,inflation,-1.2052183244970793,-1.0,3,33.411266237977976,1.0,1.0,-0.660178781334575
2024-05-15,inflation,1.1978241142570365,1.0,0,13.42006052518754,1.0,1.0,1.0377957650365532
2024-05-23,eps,1.9961615473657628,1.0,0,51.0139106419962,1.0,17.141944444444444,-1.4352364383994898
2024-05-31,inflation,1.9420166249104476,1.0,0,37.49914603870823,1.0,1.0,-0.028220116911914506
2024-06-12,inflation,1.2519783784209406,1.0,0,21.96480809100447,1.0,1.0,0.5766105105647457
2024-06-13,inflation,1.3034404111964508,-1.0,0,21.2979831319561,0.0,1.0,0.21645021645021467
2024-07-11,inflation,1.7412433326650727,-1.0,1,20.11200560308183,0.0,1.0,2.1715968539379626
2024-07-12,inflation,-0.6306827476713581,1.0,1,18.754743035703275,0.0,1.0,0.39590410322833947
