sess,sym,core,hour,plain,stop,mcap,yr,rank_pct
2020-06-12,ADBE,True,16,0.4032343561159335,-0.1684196697211648,102250000000.0,2020,0.5916666666666667
2020-07-01,MU,True,16,2.7585232764322454,-0.1495479375768771,36200000000.0,2020,0.275
2020-07-17,NFLX,True,16,0.7314084326599302,0.7314084326599302,156930337748.0,2020,0.7416666666666667
2020-07-21,CDNS,True,16,-1.3592493132670858,-0.226940252584662,19837633930.0,2020,0.175
2020-07-22,TXN,True,16,-0.1559295044181508,-0.3076297887872226,107187939993.0,2020,0.625
2020-07-23,MSFT,True,16,-2.5906088391006388,-0.1949938464943401,769600000000.0,2020,0.9166666666666666
2020-07-24,INTC,True,16,-0.9023871831450924,-0.0008329320115407,212000000000.0,2020,0.825
2020-07-29,AMGN,False,16,0.9520789834316812,0.0634371764603125,110809019075.0,2020,0.6583333333333333
2020-07-30,QCOM,True,16,0.2899038701831724,0.1868502557439422,69171646680.0,2020,0.4166666666666667
2020-07-31,AAPL,True,18,-0.0551552656495424,-0.2248214469792175,874698000000.0,2020,0.975
2020-08-04,KLAC,True,16,0.141446574793469,-0.3802881484411657,13530000000.0,2020,0.08333333333333333
2020-08-07,BKNG,False,16,-1.334477075831686,-0.3192947807882373,80000000000.0,2020,0.475
2020-08-12,SMCI,True,16,2.32501605197295,0.3122078903548875,596876261.0,2020,0.016666666666666666
2020-08-13,CSCO,True,16,0.1928285884135405,-0.37226972860257,204000000000.0,2020,0.7833333333333333
2020-08-14,AMAT,True,16,-0.233125364803155,-0.058797619523343,41677858958.0,2020,0.30833333333333335
2020-08-20,NVDA,True,16,-1.444810517512196,-0.1827182479135602,102150000000.0,2020,0.5583333333333333
2020-08-25,PANW,True,16,0.480115739644793,-0.2424851225702684,19595846244.0,2020,0.15
2020-08-26,INTU,True,16,1.928026150004736,-0.0356095321094929,53700000000.0,2020,0.3333333333333333
2020-09-03,CRWD,True,16,-5.330044541981849,-0.2860463630481313,6150000000.0,2020,0.058333333333333334
2020-09-04,AVGO,True,16,1.3156637496225865,0.2455005369926155,122700000000.0,2020,0.6916666666666667
2020-09-16,ADBE,True,16,1.7454503158619183,-0.2550595408578493,102250000000.0,2020,0.5916666666666667
2020-09-25,COST,False,17,1.8566067205552983,-0.1469948218336347,95005703244.0,2020,0.5333333333333333
2020-09-30,MU,True,16,0.6166450890963127,-0.1753340287748317,36200000000.0,2020,0.275
2020-10-01,PEP,False,17,1.6918813762556215,1.6918813762556215,185400000000.0,2020,0.7666666666666667
2020-10-16,ISRG,False,16,-0.730487470214225,-0.2205844613206276,59900000000.0,2020,0.35833333333333334
2020-10-20,CDNS,True,16,0.0147839738978916,0.3106349596733615,19837633930.0,2020,0.175
2020-10-21,NFLX,True,16,-0.1074450407707705,0.0618643744143554,156930337748.0,2020,0.7416666666666667
2020-10-22,TSLA,True,16,0.1145735144911341,-0.1639752004222172,31540000000.0,2020,0.24166666666666667
2020-10-23,INTC,True,16,0.1928497904592596,0.0384430013986136,212000000000.0,2020,0.825
2020-10-28,MSFT,True,16,3.584788964957719,-0.0683844632611618,1200000000000.0,2020,1.0
2020-10-29,AMGN,False,16,1.4896909514678258,0.0580498000519513,110809019075.0,2020,0.6583333333333333
2020-10-30,AAPL,True,16,2.160353209510346,0.6160174084257508,874698000000.0,2020,0.975
2020-11-04,SMCI,True,16,4.359571804284013,-0.2084751003062379,1057388840.0,2020,0.03333333333333333
2020-11-05,QCOM,True,16,2.166922623743761,-0.0768294580771433,74900000000.0,2020,0.45
2020-11-06,BKNG,False,16,-0.2481182419915573,-0.3228064095559535,80000000000.0,2020,0.475
2020-11-13,CSCO,True,16,-0.8575703886737784,-0.3102812470298088,207100000000.0,2020,0.8
2020-11-19,NVDA,True,16,-1.0246183451178892,-0.3121233842279469,102150000000.0,2020,0.5583333333333333
2020-11-20,INTU,True,16,0.476770152043271,0.0127826467669844,70600000000.0,2020,0.43333333333333335
2020-12-03,SNPS,True,16,-0.1775914479507534,-0.313649250747694,13700000000.0,2020,0.10833333333333334
2020-12-11,COST,False,16,-0.2962753859410694,-0.2982894398480984,140245657604.0,2020,0.7166666666666667
2022-01-21,NFLX,True,16,2.4999036209442216,0.2933305017054022,196932116552.0,2022,0.680327868852459
2022-01-26,MSFT,True,16,-0.7773602261481605,0.4655955711739823,1700000000000.0,2022,0.9508196721311475
2022-01-27,INTC,True,16,-0.9097663633214848,0.4875419427147642,244500000000.0,2022,0.7868852459016393
2022-01-28,AAPL,True,16,2.9641931291098933,0.9952931877488692,2021360000000.0,2022,0.9795081967213115
2022-02-02,GOOGL,True,16,0.6008125809940257,0.6241094361116195,849700000000.0,2022,0.8524590163934426
2022-02-03,META,True,16,2.810235237730674,0.4663956055503182,563000000000.0,2022,0.8442622950819673
2022-02-04,AMZN,True,16,-0.0907096933534634,0.3856888912391332,1174367787295.0,2022,0.8852459016393442
2022-02-08,AMGN,False,16,0.7750792705589982,-0.2338000990685373,138056968288.0,2022,0.5163934426229508
2022-02-10,PEP,False,18,2.1196230949757977,2.1196230949757977,178500000000.0,2022,0.5983606557377049
2022-02-17,NVDA,True,16,-3.0682934976777765,-0.2098644574345942,241210000000.0,2022,0.7786885245901639
2022-02-23,CDNS,True,16,-3.2024097864626566,-0.2748501883187648,38179000000.0,2022,0.11885245901639344
2022-02-24,BKNG,False,16,-3.542267665186083,-0.1911332839560131,89700000000.0,2022,0.3483606557377049
2022-02-25,INTU,True,16,-1.8393811468719208,0.0796440328567293,96200000000.0,2022,0.3770491803278688
2022-03-04,AVGO,True,16,-1.7811139006801202,-0.2457504512193509,182800000000.0,2022,0.6147540983606558
2022-03-10,CRWD,True,16,-1.3321081926419789,-0.1052251822166283,20800000000.0,2022,0.040983606557377046
2022-03-23,ADBE,True,16,1.2490045593370191,-0.3439739741491809,188310000000.0,2022,0.639344262295082
2022-03-30,MU,True,16,0.8563990165811997,-0.1116493394228701,79900000000.0,2022,0.3114754098360656
2022-04-20,NFLX,True,16,0.5435604965002394,-0.2625455401082721,229758549359.0,2022,0.7540983606557377
2022-04-21,TSLA,True,16,-2.600517213825404,-0.1783066395081078,541280000000.0,2022,0.8278688524590164
2022-04-22,ISRG,False,16,2.416937411096342,-0.2917245354727038,108700000000.0,2022,0.4016393442622951
2022-04-26,PEP,False,17,-4.028430424780249,-0.348991549721378,203900000000.0,2022,0.6967213114754098
2022-04-27,MSFT,True,16,-0.146483030440625,0.5833325149385948,1700000000000.0,2022,0.9508196721311475
2022-04-28,META,True,16,2.654017721409452,0.4866401282050514,857000000000.0,2022,0.8688524590163934
2022-04-29,AAPL,True,16,3.9662117047036713,1.2451205251029829,2021360000000.0,2022,0.9795081967213115
2022-05-04,SBUX,False,16,2.953752517072039,-0.3023034998722251,129300000000.0,2022,0.4713114754098361
2022-05-05,BKNG,False,16,-5.068453147890228,-0.3324883530518185,89700000000.0,2022,0.3483606557377049
2022-05-19,CSCO,True,16,-0.2625862191678485,-0.0862270410268095,189000000000.0,2022,0.6639344262295082
2022-05-20,AMAT,True,16,-0.4099637662409616,0.1033218752832132,120888771285.0,2022,0.4385245901639344
2022-05-25,INTU,True,16,1.1419616876839012,-0.0557108156682972,96200000000.0,2022,0.3770491803278688
2022-05-26,NVDA,True,16,3.240342170874833,-0.0187725005071581,467250000000.0,2022,0.8032786885245902
2022-05-27,MRVL,True,16,3.3493467878785044,-0.1853398149910479,49623085335.0,2022,0.1721311475409836
2022-06-03,CRWD,True,16,-2.7803284970147724,-0.1376478453982588,51500000000.0,2022,0.20491803278688525
2022-06-17,ADBE,True,16,0.7483513216727689,-0.0390065568844355,188310000000.0,2022,0.639344262295082
2022-07-01,MU,True,16,-0.8473872689042317,0.0340775154052286,79900000000.0,2022,0.3114754098360656
2022-07-12,PEP,False,18,0.7809856666610826,-0.3225476152498352,203900000000.0,2022,0.6967213114754098
2022-07-20,NFLX,True,16,1.237836800968828,0.0988502285850678,229758549359.0,2022,0.7540983606557377
2022-07-21,TSLA,True,16,-1.931503238975285,-0.3475142799829189,541280000000.0,2022,0.8278688524590164
2022-07-22,ISRG,False,16,1.5313258856405,0.4197713415401316,108700000000.0,2022,0.4016393442622951
2022-07-26,CDNS,True,16,1.8937318801321767,0.2269318829675626,38179000000.0,2022,0.11885245901639344
2022-07-27,MSFT,True,16,3.745704725933252,3.745704725933252,1700000000000.0,2022,0.9508196721311475
2022-07-28,META,True,16,1.1985700049225834,-0.1420056942889269,857000000000.0,2022,0.8688524590163934
2022-07-29,AAPL,True,16,-0.7811432048224765,-0.3790907718245195,2021360000000.0,2022,0.9795081967213115
2022-08-03,SBUX,False,16,2.74999308084114,0.0307152590968584,129300000000.0,2022,0.4713114754098361
2022-08-04,BKNG,False,16,-0.7806317327577972,-0.1890607834047486,89700000000.0,2022,0.3483606557377049
2022-08-05,AMGN,False,16,-0.9577917883984431,-0.2782280121804814,137531019585.0,2022,0.5
2022-08-10,SMCI,True,16,-2.8378596273005874,-0.2445504034889634,1374947450.0,2022,0.01639344262295082
2022-08-18,CSCO,True,16,-0.3840471226813857,-0.1929807482263124,189000000000.0,2022,0.6639344262295082
2022-08-19,AMAT,True,16,1.804125466834372,1.804125466834372,120888771285.0,2022,0.4385245901639344
2022-08-23,PANW,True,16,-0.39649907148952,-0.2227653011192321,33296058434.0,2022,0.09016393442622951
2022-08-24,INTU,True,16,-0.5560797663138661,-0.3578324745079353,96200000000.0,2022,0.3770491803278688
2022-08-25,NVDA,True,16,-1.758601130487869,-0.1946010485180282,467250000000.0,2022,0.8032786885245902
2022-08-26,MRVL,True,16,3.856681160671338,-0.3318274003811128,49623085335.0,2022,0.1721311475409836
2022-08-31,CRWD,True,16,-0.837457805557118,-0.3086016793725332,51500000000.0,2022,0.20491803278688525
2022-09-02,AVGO,True,16,-1.6792528426977538,-0.1772740871724076,182800000000.0,2022,0.6147540983606558
2022-09-30,MU,True,16,-1.99004132985392,-0.3195558712299151,79900000000.0,2022,0.3114754098360656
2022-10-12,PEP,False,18,0.1313504621732852,-0.2418697095752708,203900000000.0,2022,0.6967213114754098
2022-10-19,NFLX,True,16,-1.3274638455760046,0.1387581157486384,229758549359.0,2022,0.7540983606557377
2022-10-20,TSLA,True,17,0.3679496020109529,-0.1127894745638569,541280000000.0,2022,0.8278688524590164
2022-10-25,CDNS,True,16,-2.238626569281088,-0.0694655274483091,38179000000.0,2022,0.11885245901639344
