sess,eps_pct,absz,t15_fire,t15_plain,t15_structdist,t15_struct,t15_trail0.5,t15_trail1.0,c02_fire,c02_plain,c02_structdist,c02_struct,c02_trail0.5,c02_trail1.0,c04_fire,c04_plain,c04_structdist,c04_struct,c04_trail0.5,c04_trail1.0,c06_fire,c06_plain,c06_structdist,c06_struct,c06_trail0.5,c06_trail1.0
2022-01-27,0.06,0.6741998624632421,1,-1.9847595690636766,0.6062635484041623,-0.6026101427695552,-0.4233073486905381,-0.9236927388981409,1,-0.9695153824863079,0.4251352637422712,0.42695038036790756,0.6081103970433599,0.10254200308836836,1,-1.1667872641945132,0.2263830387197907,0.22689669435120852,0.40769583449944413,-0.09686545110105804,1,-1.3632747646633026,0.027630813697321344,0.027638450426081818,0.20807814894379106,-0.29548003270920553
2022-01-28,0.21,1.2924606552829938,1,1.9945234519918698,0.07602277147200631,-0.07596502075788436,-0.4068368518682086,-0.7848776609840069,1,2.9641931291098933,0.9854847254105681,0.9952931877488691,0.6180812071354014,0.15836803876165817,1,2.759085174669429,0.7878509623874153,0.7941073447453872,0.4176467824199781,-0.041150622670149684,1,2.5547927588152275,0.5902171993642957,0.593721445451667,0.2180093136676664,-0.23987596934476052
2022-02-02,0.17,1.1467480514847646,1,-0.016538493343254412,0.0794478375291785,-0.07938476804763006,0.44620855040107266,-0.058546266435133276,1,0.6008125809940257,0.6202384692983287,0.6241094361116195,1.0664168711298716,0.5585454295663927,1,0.4004125559322613,0.4218756718318506,0.42366300297194126,0.8650893474821952,0.3582296020174347,1,0.20080935005566403,0.22351287436538358,0.22401357354258078,0.6645623308868087,0.15871025887228551
2022-02-03,0.16,0.5417455398054639,1,2.2396359959555134,0.20852953047222345,-0.20896528479945609,0.06567239635997257,0.0893158072126754,1,2.810235237730674,0.46858104696179126,0.4663956055503182,0.6489604409461114,0.6724658519821847,1,2.6150750675253076,0.2672412051843098,0.2665289300594509,0.4494603615102566,0.4730129721668863,1,2.419129544522358,0.0659013634068284,0.06585796211189265,0.24915746485334456,0.2727574650686404
2022-02-04,1.21,6.00981846101697,1,-0.621107500676954,0.2340966921119625,-0.23354995938261736,-0.39391246953696113,-0.6397745735174598,1,-0.09070969335346346,0.3842070473381809,0.3856888912391332,0.13769790660593806,-0.10947639473937176,1,-0.28973218400414336,0.1853731292689953,0.18571739942390142,-0.06177957926378763,-0.308461501522761,1,-0.48796333274371273,0.013460788800201406,-0.013458977115710091,-0.2604639140962761,-0.506655415038626
2022-02-17,0.009,1.995243360633492,1,-2.9974664475486135,0.13713658804168638,-0.1369487811558434,-0.3943953711311954,-0.8949260476581733,1,-3.0682934976777765,0.21030581459133835,-0.20986445743459425,-0.46712307105647444,-0.9672882817546857,1,2.484367554892697,0.6316358288587232,2.484367554892697,0.08912961502862693,2.484367554892697,1,2.2881590389065676,0.8311706966722565,2.2881590389065676,-0.1118982931906265,2.2881590389065676
2022-04-21,0.32,3.934671710407681,1,-2.5253063399040987,0.10132792917711964,-0.1012253596164081,-0.10595808914934945,0.44517847629195195,1,-2.600517213825404,0.1786251399925387,-0.17830663950810788,-0.18303571729605395,0.367675594562189,1,-2.7945400879014426,0.37858247560129676,-0.37715463425010975,-0.381874291564388,0.1677399858080797,1,-2.9877914992575194,0.6411576363442473,-0.6370729941928777,0.4734912655607326,-0.03140065034660244
2022-04-27,0.06,0.4135707001008418,1,-0.17528314970336467,0.10390609967289022,-0.10401417674705815,-0.32577625394867304,-0.7840550119423639,1,-0.15995703253974813,0.573223832029135,0.569956704367458,0.29539165977069404,-0.20065116779264258,1,-0.3610814442516652,0.37167428527156154,0.3702979828902775,0.09518160286260402,-0.40185729463559916,1,-0.5630152097330532,0.17012473851398813,0.16983580579348345,-0.10583412831874917,-0.6038731040815426
2022-04-28,0.19,0.5124717674263262,1,2.2131116425615938,0.13303937965638557,-0.13286262005086646,0.8276487112325759,0.3209771096686076,1,2.654017721409452,0.48428341079389536,0.4866401282050514,1.2625784625953873,0.7537212843913954,1,2.449527646267202,0.28564924594518537,0.2864675383082327,1.0608601788053562,0.5530166603189057,1,2.2458506529346556,0.08701508109646428,0.08709086328178017,0.8599439557858801,0.35311006656082444
2022-04-29,0.8,1.932076231571605,1,3.0597240027147254,0.030154542027893694,-0.030163637734714754,-0.31432395746926467,-0.8134001960636406,1,3.2957055251644496,0.5587200726199892,0.5556157359764669,0.2700784451786564,-0.22609031877569574,1,3.101520194893681,0.3571995915125248,0.35592821737399083,0.06981755852237814,-0.4273475282511541,1,2.9065534347224475,0.15567911040508253,0.15543712726810988,-0.13124920695342102,-0.6294146258934985
